combined_subregion,initial_r_0,post_mitigation_r,inflection_date
Canada-Ontario,1.78,0.87,2020-03-28
Canada-Quebec,2.15,0.94,2020-03-26
US-CA-Los Angeles,2.98,0.97,2020-03-17
US-CA-Santa Clara,3.22,0.71,2020-03-02
US-FL-Miami-Dade,3.79,0.85,2020-03-13
US-IL-Cook,3.40,1.02,2020-03-14
US-MA-Middlesex,2.65,0.86,2020-03-25
US-MI-Wayne,3.61,0.81,2020-03-15
US-NJ-Bergen,3.82,0.83,2020-03-15
US-NJ-Essex,3.60,0.82,2020-03-15
US-NV-Washoe,3.99,0.69,2020-03-09
US-NY-Nassau,4.04,0.78,2020-03-14
US-NY-New York City,5.57,0.77,2020-03-11
US-NY-Suffolk,3.24,0.88,2020-03-15
US-NY-Westchester,4.40,0.72,2020-03-15
US-PA-Philadelphia,3.76,0.99,2020-03-14
