combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.69,0.87,2020-03-22,1.02,2020-07-07
Canada-British Columbia,1.20,0.83,2020-03-23,0.99,2020-07-07
Canada-Ontario,1.70,0.86,2020-03-30,0.97,2020-07-07
Canada-Quebec,2.04,0.88,2020-03-29,0.97,2020-07-07
US-AZ-Maricopa,1.41,1.02,2020-03-21,1.06,2020-07-07
US-CA-Alameda,1.30,0.81,2020-03-23,1.12,2020-07-07
US-CA-Los Angeles,2.27,1.01,2020-03-16,1.08,2020-07-07
US-CA-Orange,1.42,1.05,2020-03-24,1.09,2020-07-07
US-CA-Riverside,1.53,0.98,2020-03-22,1.14,2020-07-07
US-CA-Sacramento,1.18,0.79,2020-03-24,1.14,2020-07-07
US-CA-San Bernardino,1.52,0.91,2020-03-23,1.09,2020-07-07
US-CA-San Diego,1.48,0.95,2020-03-22,1.11,2020-07-07
US-CA-Santa Clara,1.40,0.77,2020-03-09,1.09,2020-07-07
US-FL-Broward,1.45,0.88,2020-03-21,1.12,2020-07-07
US-FL-Hillsborough,1.38,1.04,2020-03-24,1.13,2020-07-07
US-FL-Miami-Dade,2.80,0.90,2020-03-15,1.13,2020-07-07
US-FL-Orange,1.39,0.82,2020-03-23,1.10,2020-07-07
US-FL-Palm Beach,1.84,0.92,2020-03-10,1.17,2020-07-07
US-IL-Cook,3.57,0.94,2020-03-13,1.06,2020-07-07
US-LA-Orleans,1.71,0.70,2020-03-12,0.88,2020-07-07
US-MA-Middlesex,2.28,0.83,2020-03-29,1.05,2020-07-07
US-MA-Suffolk,1.74,0.81,2020-03-31,1.01,2020-07-07
US-MI-Wayne,2.87,0.83,2020-03-09,1.04,2020-07-07
US-NJ-Bergen,2.87,0.86,2020-03-08,1.04,2020-07-07
US-NJ-Essex,3.74,0.82,2020-03-12,1.01,2020-07-07
US-NJ-Hudson,1.88,0.80,2020-03-24,0.99,2020-07-07
US-NV-Clark,1.51,0.88,2020-03-13,1.15,2020-07-07
US-NV-Washoe,2.77,0.83,2020-03-17,1.07,2020-07-07
US-NY-Nassau,3.99,0.77,2020-03-12,0.97,2020-07-07
US-NY-New York City,5.34,0.77,2020-03-08,1.00,2020-07-07
US-NY-Suffolk,3.34,0.83,2020-03-13,1.04,2020-07-07
US-NY-Westchester,4.40,0.72,2020-03-16,0.94,2020-07-07
US-PA-Philadelphia,3.79,0.86,2020-03-15,1.07,2020-07-07
US-TX-Bexar,1.33,0.92,2020-03-24,1.11,2020-07-07
US-TX-Dallas,1.62,1.01,2020-03-21,1.03,2020-07-07
US-TX-Harris,1.56,0.98,2020-03-22,1.03,2020-07-07
US-TX-Tarrant,1.53,0.97,2020-03-23,1.00,2020-07-07
US-WA-King,1.88,0.89,2020-03-05,1.10,2020-07-07
