region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.01,2020-06-01
AK,2.08,0.36,2020-03-15,0.50,2020-06-01
AL,1.95,0.98,2020-03-17,1.07,2020-06-01
AR,1.45,0.94,2020-03-18,1.06,2020-06-01
AZ,1.76,1.03,2020-03-18,1.10,2020-06-01
CA,1.65,0.99,2020-03-23,1.03,2020-06-01
CO,1.59,0.96,2020-03-17,1.07,2020-06-01
CT,2.32,0.90,2020-03-23,0.97,2020-06-01
DC,1.63,0.92,2020-03-30,0.93,2020-06-01
DE,1.84,0.96,2020-03-25,1.01,2020-06-01
FL,1.74,0.97,2020-03-20,1.07,2020-06-01
GA,2.03,0.97,2020-03-17,1.08,2020-06-01
GU,0.63,0.40,2020-03-20,0.47,2020-06-01
HI,2.16,0.34,2020-03-17,0.41,2020-06-01
IA,1.82,0.99,2020-03-21,1.09,2020-06-01
ID,1.94,0.63,2020-03-21,0.81,2020-06-01
IL,2.26,0.94,2020-03-20,1.00,2020-06-01
IN,1.89,0.93,2020-03-22,1.05,2020-06-01
KS,1.30,0.81,2020-03-27,0.97,2020-06-01
KY,1.83,0.94,2020-03-17,1.05,2020-06-01
LA,2.12,0.87,2020-03-15,1.02,2020-06-01
MA,1.96,0.89,2020-03-29,0.91,2020-06-01
MD,1.98,0.95,2020-03-27,1.06,2020-06-01
ME,2.14,0.78,2020-03-17,0.86,2020-06-01
MI,2.44,0.84,2020-03-18,0.92,2020-06-01
MN,1.79,1.01,2020-04-01,1.09,2020-06-01
MO,1.67,0.98,2020-03-19,1.08,2020-06-01
MP,0.92,0.34,2020-03-20,0.41,2020-06-01
MS,1.94,1.03,2020-03-19,1.10,2020-06-01
MT,1.39,0.52,2020-03-27,0.69,2020-06-01
NC,1.79,0.99,2020-03-25,1.08,2020-06-01
ND,1.17,0.94,2020-03-28,1.05,2020-06-01
NE,1.69,1.00,2020-03-20,1.08,2020-06-01
NH,1.73,1.03,2020-03-22,1.10,2020-06-01
NJ,2.58,0.91,2020-03-18,0.91,2020-06-01
NM,1.61,0.97,2020-03-28,1.02,2020-06-01
NV,1.82,0.92,2020-03-17,1.04,2020-06-01
NY,3.67,0.85,2020-03-14,0.93,2020-06-01
OH,1.68,0.98,2020-03-25,1.07,2020-06-01
OK,1.71,0.81,2020-03-15,0.97,2020-06-01
OR,1.55,0.84,2020-03-19,0.92,2020-06-01
PA,2.10,0.91,2020-03-28,0.93,2020-06-01
PR,2.14,0.81,2020-03-17,0.89,2020-06-01
RI,1.74,0.98,2020-03-27,1.07,2020-06-01
SC,1.61,1.00,2020-03-19,1.09,2020-06-01
SD,0.98,0.99,2020-03-25,1.08,2020-06-01
TN,2.05,0.89,2020-03-14,1.03,2020-06-01
TX,1.71,0.97,2020-03-18,1.05,2020-06-01
UT,1.13,0.98,2020-03-28,1.07,2020-06-01
VA,1.46,0.99,2020-03-31,1.03,2020-06-01
VI,1.44,0.32,2020-03-20,0.39,2020-06-01
VT,1.14,0.55,2020-03-20,0.64,2020-06-01
WA,1.54,0.89,2020-03-13,0.96,2020-06-01
WI,1.93,0.93,2020-03-14,1.05,2020-06-01
WV,1.45,0.72,2020-03-31,0.89,2020-06-01
WY,1.23,0.83,2020-03-28,1.03,2020-06-01
