country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.58,2020-03-14,0.86,2020-06-14,1.06,2020-09-12,1.01
Argentina,1.44,2020-03-17,1.09,2020-06-28,1.29,2020-09-12,0.97
Australia,1.27,2020-03-23,0.72,2020-06-01,1.60,2020-09-12,0.90
Austria,1.90,2020-03-12,0.64,2020-05-25,1.15,2020-09-12,0.99
Bangladesh,1.94,2020-03-28,1.06,2020-05-15,1.05,2020-09-12,1.00
Belarus,1.61,2020-04-06,0.97,2020-05-25,1.09,2020-09-12,1.00
Belgium,2.90,2020-03-14,0.69,2020-05-25,1.37,2020-09-12,0.94
Bolivia,1.65,2020-04-05,1.05,2020-06-01,1.19,2020-09-12,0.96
Brazil,1.85,2020-04-09,1.02,2020-06-15,1.14,2020-09-12,0.94
Bulgaria,1.61,2020-03-11,0.99,2020-05-25,1.28,2020-09-12,0.99
Canada,2.00,2020-03-26,0.84,2020-05-25,1.07,2020-09-12,0.97
Chile,1.40,2020-05-18,0.94,2020-07-20,1.08,2020-09-12,1.00
China,3.44,2020-01-21,0.62,2020-04-08,1.03,2020-09-12,0.97
Colombia,2.50,2020-03-19,1.15,2020-06-01,1.22,2020-09-12,0.93
Croatia,1.35,2020-03-20,0.71,2020-05-25,1.30,2020-09-12,1.05
Cuba,1.19,2020-04-08,0.65,2020-06-01,1.18,2020-09-12,1.00
Cyprus,1.57,2020-03-12,0.46,2020-05-25,1.04,2020-09-12,0.98
Czechia,2.20,2020-03-14,0.47,2020-05-25,1.31,2020-09-12,1.02
Denmark,2.43,2020-03-09,0.64,2020-05-25,1.09,2020-09-12,0.97
Dominican Republic,2.61,2020-03-15,0.89,2020-06-01,1.18,2020-09-12,0.99
Ecuador,1.87,2020-04-10,0.87,2020-06-01,1.11,2020-09-12,0.91
Egypt,1.93,2020-03-20,1.07,2020-06-15,0.88,2020-09-12,0.89
Estonia,2.43,2020-03-11,0.42,2020-05-25,0.80,2020-09-12,0.81
Finland,1.75,2020-03-26,0.65,2020-05-25,0.96,2020-09-12,0.92
France,1.77,2020-03-14,0.77,2020-05-25,1.31,2020-09-12,0.96
Germany,2.50,2020-03-14,0.75,2020-05-25,1.17,2020-09-12,0.97
Greece,1.54,2020-03-08,0.63,2020-05-25,1.45,2020-09-12,1.01
Honduras,1.50,2020-04-06,0.98,2020-06-01,1.17,2020-09-12,0.96
Hungary,1.93,2020-03-23,0.78,2020-05-25,1.13,2020-09-12,1.00
Iceland,1.42,2020-03-21,0.47,2020-05-15,1.02,2020-09-12,0.96
India,1.58,2020-04-19,1.10,2020-05-15,1.12,2020-09-12,1.01
Indonesia,1.61,2020-03-15,1.02,2020-06-15,1.09,2020-09-12,1.00
Iran,2.64,2020-02-26,0.90,2020-04-20,1.22,2020-09-12,0.91
Ireland,1.65,2020-03-27,0.68,2020-05-25,1.11,2020-09-12,0.94
Israel,2.77,2020-03-17,0.71,2020-05-15,1.45,2020-09-12,1.00
Italy,2.73,2020-02-27,0.86,2020-05-25,1.15,2020-09-12,0.93
Japan,1.37,2020-03-31,0.80,2020-06-01,1.37,2020-09-12,1.01
Kuwait,1.92,2020-04-16,0.91,2020-06-30,1.05,2020-09-12,0.96
Latvia,1.54,2020-03-30,0.49,2020-05-25,0.97,2020-09-12,0.94
Lithuania,1.80,2020-03-12,0.69,2020-05-25,0.92,2020-09-12,0.91
Luxembourg,1.60,2020-03-18,0.58,2020-05-25,1.21,2020-09-12,0.98
Malaysia,2.28,2020-03-07,0.61,2020-05-15,0.80,2020-09-12,0.81
Malta,1.61,2020-03-20,0.66,2020-05-25,1.28,2020-09-12,1.03
Mexico,2.45,2020-04-01,1.04,2020-06-01,1.10,2020-09-12,0.96
Moldova,1.87,2020-03-19,1.01,2020-05-15,1.14,2020-09-12,0.97
Morocco,2.15,2020-03-12,0.76,2020-06-01,1.52,2020-09-12,1.04
Netherlands,2.74,2020-03-08,0.76,2020-05-25,1.22,2020-09-12,0.97
Nigeria,1.67,2020-04-12,0.95,2020-05-15,0.94,2020-09-12,0.95
Norway,1.71,2020-03-17,0.54,2020-05-15,0.99,2020-09-12,0.94
Pakistan,1.61,2020-05-11,0.84,2020-05-20,0.80,2020-09-12,0.88
