country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.57,2020-03-14,0.84,2020-06-14,1.08,2020-08-29,1.00
Argentina,1.43,2020-03-17,1.09,2020-06-28,1.29,2020-08-29,0.97
Australia,1.24,2020-03-23,0.71,2020-06-01,1.58,2020-08-29,0.90
Austria,1.90,2020-03-12,0.64,2020-05-25,1.15,2020-08-29,0.99
Bangladesh,1.93,2020-03-28,1.09,2020-05-15,1.02,2020-08-29,0.98
Belarus,1.60,2020-04-06,0.98,2021-01-01,1.09,2020-08-29,0.97
Belgium,2.89,2020-03-14,0.71,2020-05-25,1.36,2020-08-29,0.95
Bolivia,1.65,2020-04-05,1.06,2020-06-01,1.18,2020-08-29,0.96
Brazil,1.84,2020-04-08,1.02,2020-06-15,1.14,2020-08-29,0.95
Bulgaria,1.60,2020-03-11,0.99,2020-05-25,1.28,2020-08-29,0.99
Canada,2.00,2020-03-25,0.85,2020-05-25,1.05,2020-08-29,0.98
Chile,1.40,2020-05-18,0.94,2020-07-20,1.03,2020-08-29,0.98
China,3.44,2020-01-21,0.63,2020-04-08,1.03,2020-08-29,0.96
Colombia,2.47,2020-03-19,1.15,2020-06-01,1.22,2020-08-29,0.93
Croatia,1.39,2020-03-20,0.70,2020-05-25,1.27,2020-08-29,1.01
Cuba,1.19,2020-04-08,0.64,2020-06-01,1.14,2020-08-29,0.99
Cyprus,1.59,2020-03-12,0.49,2020-05-25,0.98,2020-08-29,0.95
Czechia,2.20,2020-03-14,0.45,2020-05-25,1.28,2020-08-29,1.01
Denmark,2.43,2020-03-08,0.64,2020-05-25,1.08,2020-08-29,0.97
Dominican Republic,2.62,2020-03-15,0.89,2020-06-01,1.17,2020-08-29,0.99
Ecuador,1.88,2020-04-10,0.87,2020-06-01,1.10,2020-08-29,0.92
Egypt,1.89,2020-03-20,1.08,2020-06-15,0.87,2020-08-29,0.86
Estonia,2.43,2020-03-11,0.42,2020-05-25,0.80,2020-08-29,0.80
Finland,1.73,2020-03-26,0.65,2020-05-25,0.96,2020-08-29,0.92
France,1.77,2020-03-14,0.77,2020-05-25,1.26,2020-08-29,0.95
