combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.40,0.82,2020-03-22,0.92,2020-05-27
Canada-British Columbia,1.13,0.85,2020-03-23,0.99,2020-05-27
Canada-Ontario,1.74,0.86,2020-03-29,0.88,2020-05-27
Canada-Quebec,2.10,0.94,2020-03-28,0.95,2020-05-27
US-AZ-Maricopa,1.25,1.01,2020-03-21,1.11,2020-05-27
US-CA-Alameda,1.32,0.83,2020-03-23,0.85,2020-05-27
US-CA-Los Angeles,2.98,0.97,2020-03-17,0.97,2020-05-27
US-CA-Orange,1.21,1.03,2020-03-24,1.08,2020-05-27
US-CA-Riverside,1.53,0.96,2020-03-22,1.05,2020-05-27
US-CA-Sacramento,1.14,0.73,2020-03-24,0.87,2020-05-27
US-CA-San Bernardino,1.38,0.89,2020-03-23,1.00,2020-05-27
US-CA-San Diego,1.37,0.94,2020-03-22,1.03,2020-05-27
US-CA-Santa Clara,2.42,0.68,2020-02-29,0.70,2020-05-27
US-FL-Broward,1.42,0.80,2020-03-21,0.95,2020-05-27
US-FL-Hillsborough,1.24,1.07,2020-03-24,1.14,2020-05-27
US-FL-Miami-Dade,3.80,0.85,2020-03-11,0.99,2020-05-27
US-FL-Orange,1.51,0.74,2020-03-23,0.91,2020-05-27
US-FL-Palm Beach,1.36,0.86,2020-03-16,0.99,2020-05-27
US-IL-Cook,3.40,1.01,2020-03-14,1.01,2020-05-27
US-LA-Orleans,1.91,0.68,2020-03-15,0.85,2020-05-27
US-MA-Middlesex,2.47,0.84,2020-03-27,0.86,2020-05-27
US-MA-Suffolk,1.81,0.76,2020-03-31,0.78,2020-05-27
US-MI-Wayne,3.59,0.82,2020-03-15,0.84,2020-05-27
US-NJ-Bergen,3.82,0.84,2020-03-15,0.86,2020-05-27
US-NJ-Essex,3.60,0.83,2020-03-15,0.85,2020-05-27
US-NJ-Hudson,2.13,0.78,2020-03-25,0.80,2020-05-27
US-NV-Clark,1.97,0.86,2020-03-16,1.00,2020-05-27
US-NV-Washoe,2.83,0.81,2020-03-17,0.97,2020-05-27
US-NY-Nassau,4.02,0.78,2020-03-14,0.80,2020-05-27
US-NY-New York City,5.61,0.77,2020-03-11,0.77,2020-05-27
US-NY-Suffolk,3.22,0.88,2020-03-15,0.90,2020-05-27
US-NY-Westchester,4.42,0.74,2020-03-15,0.76,2020-05-27
US-PA-Philadelphia,3.79,0.96,2020-03-14,0.96,2020-05-27
US-TX-Bexar,1.17,0.78,2020-03-24,0.95,2020-05-27
US-TX-Dallas,1.27,1.00,2020-03-21,1.09,2020-05-27
US-TX-Harris,1.35,0.89,2020-03-22,1.00,2020-05-27
US-TX-Tarrant,1.21,0.95,2020-03-23,1.05,2020-05-27
US-WA-King,2.17,0.82,2020-03-17,0.84,2020-05-27
