region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.03,2020-06-15
AK,1.97,0.41,2020-03-15,0.56,2020-06-15
AL,1.34,0.95,2020-04-03,1.03,2020-06-15
AR,1.21,0.98,2020-04-04,1.07,2020-06-15
AZ,1.28,0.96,2020-04-13,1.05,2020-06-15
CA,1.62,0.99,2020-03-23,1.07,2020-06-15
CO,1.27,0.89,2020-04-02,1.01,2020-06-15
CT,2.26,0.89,2020-03-24,0.95,2020-06-15
DC,1.65,0.90,2020-03-30,0.97,2020-06-15
DE,1.40,0.89,2020-04-09,1.00,2020-06-15
FL,1.73,0.97,2020-03-20,1.06,2020-06-15
GA,2.04,0.97,2020-03-17,1.01,2020-06-15
GU,0.72,0.37,2020-03-20,0.53,2020-06-15
HI,2.06,0.44,2020-03-17,0.62,2020-06-15
IA,1.22,0.86,2020-04-24,0.94,2020-06-15
ID,2.04,0.66,2020-03-21,0.84,2020-06-15
IL,2.16,0.94,2020-03-22,1.02,2020-06-15
IN,1.55,0.89,2020-04-02,0.97,2020-06-15
KS,1.26,0.82,2020-03-27,0.94,2020-06-15
KY,1.85,0.95,2020-03-17,1.05,2020-06-15
LA,2.18,0.88,2020-03-15,0.97,2020-06-15
MA,1.98,0.90,2020-03-29,0.96,2020-06-15
MD,1.98,0.93,2020-03-27,1.02,2020-06-15
ME,1.45,0.81,2020-03-25,0.96,2020-06-15
MI,2.03,0.85,2020-03-18,0.95,2020-06-15
MN,1.78,0.98,2020-04-03,1.02,2020-06-15
MO,1.86,0.89,2020-03-20,1.01,2020-06-15
MP,1.02,0.34,2020-03-20,0.50,2020-06-15
MS,1.43,0.93,2020-04-10,1.00,2020-06-15
MT,1.43,0.50,2020-03-27,0.67,2020-06-15
NC,1.86,0.98,2020-03-25,1.06,2020-06-15
ND,1.37,0.92,2020-03-28,0.95,2020-06-15
NE,1.87,0.99,2020-03-20,1.00,2020-06-15
NH,1.40,0.95,2020-04-12,1.04,2020-06-15
NJ,2.49,0.92,2020-03-18,0.91,2020-06-15
NM,1.39,0.94,2020-04-08,1.04,2020-06-15
NV,1.85,0.92,2020-03-17,1.03,2020-06-15
NY,3.71,0.84,2020-03-12,0.89,2020-06-15
OH,1.50,0.92,2020-04-03,1.01,2020-06-15
OK,1.77,0.77,2020-03-15,0.88,2020-06-15
OR,1.57,0.86,2020-03-19,1.02,2020-06-15
PA,1.83,0.89,2020-04-03,0.99,2020-06-15
PR,2.15,0.81,2020-03-17,0.97,2020-06-15
RI,1.51,0.92,2020-04-05,0.99,2020-06-15
SC,1.67,0.99,2020-03-19,1.05,2020-06-15
SD,1.11,0.96,2020-03-25,0.98,2020-06-15
TN,2.02,0.91,2020-03-13,1.00,2020-06-15
TX,1.76,0.96,2020-03-18,0.98,2020-06-15
UT,1.16,0.99,2020-03-28,1.08,2020-06-15
VA,1.49,0.93,2020-04-01,1.04,2020-06-15
VI,1.65,0.33,2020-03-20,0.49,2020-06-15
VT,1.25,0.59,2020-03-20,0.80,2020-06-15
WA,1.56,0.87,2020-03-13,1.06,2020-06-15
WI,1.90,0.94,2020-03-13,1.05,2020-06-15
WV,1.48,0.75,2020-03-31,0.88,2020-06-15
WY,1.46,0.75,2020-03-28,0.83,2020-06-15
