combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.51,0.78,2020-03-22,0.95,2020-06-15
Canada-British Columbia,1.20,0.80,2020-03-23,0.97,2020-06-15
Canada-Ontario,1.76,0.86,2020-03-30,0.96,2020-06-15
Canada-Quebec,2.16,0.92,2020-03-28,0.97,2020-06-15
US-AZ-Maricopa,1.28,0.99,2020-03-21,1.05,2020-06-15
US-CA-Alameda,1.24,0.76,2020-03-23,0.93,2020-06-15
US-CA-Los Angeles,2.34,0.99,2020-03-12,1.06,2020-06-15
US-CA-Orange,1.22,1.04,2020-03-24,1.10,2020-06-15
US-CA-Riverside,1.44,0.96,2020-03-22,1.06,2020-06-15
US-CA-Sacramento,1.07,0.71,2020-03-24,0.89,2020-06-15
US-CA-San Bernardino,1.33,0.88,2020-03-23,1.01,2020-06-15
US-CA-San Diego,1.38,0.90,2020-03-22,1.03,2020-06-15
US-CA-Santa Clara,1.23,0.76,2020-03-09,0.92,2020-06-15
US-FL-Broward,1.34,0.84,2020-03-21,0.99,2020-06-15
US-FL-Hillsborough,1.32,0.98,2020-03-24,1.07,2020-06-15
US-FL-Miami-Dade,2.80,0.83,2020-03-14,0.97,2020-06-15
US-FL-Orange,1.39,0.74,2020-03-23,0.92,2020-06-15
US-FL-Palm Beach,1.79,0.86,2020-03-10,1.02,2020-06-15
US-IL-Cook,3.57,0.94,2020-03-12,0.97,2020-06-15
US-LA-Orleans,1.78,0.66,2020-03-11,0.80,2020-06-15
US-MA-Middlesex,2.39,0.85,2020-03-27,0.96,2020-06-15
US-MA-Suffolk,1.75,0.80,2020-03-30,0.92,2020-06-15
US-MI-Wayne,2.93,0.85,2020-03-10,0.93,2020-06-15
US-NJ-Bergen,2.92,0.87,2020-03-09,0.88,2020-06-15
US-NJ-Essex,3.79,0.84,2020-03-13,0.84,2020-06-15
US-NJ-Hudson,1.95,0.81,2020-03-24,0.90,2020-06-15
US-NV-Clark,1.62,0.85,2020-03-13,1.00,2020-06-15
US-NV-Washoe,2.79,0.83,2020-03-17,0.98,2020-06-15
US-NY-Nassau,3.98,0.75,2020-03-12,0.83,2020-06-15
US-NY-New York City,5.37,0.81,2020-03-09,0.83,2020-06-15
US-NY-Suffolk,3.37,0.84,2020-03-13,0.92,2020-06-15
US-NY-Westchester,4.40,0.72,2020-03-16,0.81,2020-06-15
US-PA-Philadelphia,3.78,0.90,2020-03-14,0.94,2020-06-15
US-TX-Bexar,1.32,0.79,2020-03-24,0.94,2020-06-15
US-TX-Dallas,1.35,0.95,2020-03-21,0.97,2020-06-15
US-TX-Harris,1.35,0.88,2020-03-22,0.94,2020-06-15
US-TX-Tarrant,1.20,0.94,2020-03-23,0.98,2020-06-15
US-WA-King,1.91,0.88,2020-03-04,1.01,2020-06-15
