country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.64,2020-03-14,0.83,2020-06-14,1.13,2020-08-02,0.99
Argentina,1.45,2020-03-17,1.13,2020-06-28,1.16,2020-08-02,1.01
Australia,1.21,2020-03-23,0.70,2020-06-01,1.56,2020-08-02,1.00
Austria,1.90,2020-03-13,0.64,2020-05-25,1.19,2020-08-02,1.01
Bangladesh,1.98,2020-03-28,1.10,2020-05-15,1.00,2020-08-02,0.96
Belarus,1.63,2020-04-06,0.97,2021-01-01,1.09,2020-08-02,0.96
Belgium,2.90,2020-03-15,0.70,2020-05-25,1.32,2020-08-02,1.10
Bolivia,1.67,2020-04-05,1.06,2020-06-01,1.17,2020-08-02,0.97
Brazil,1.60,2020-04-19,1.02,2020-06-15,1.14,2020-08-02,1.01
Bulgaria,1.62,2020-03-11,1.00,2020-05-25,1.23,2020-08-02,0.99
Canada,1.96,2020-03-27,0.84,2020-05-25,1.03,2020-08-02,1.00
Chile,1.40,2020-05-18,0.91,2020-07-20,1.12,2020-08-02,0.96
China,3.52,2020-01-20,0.64,2020-04-08,1.15,2020-08-02,1.01
Colombia,2.42,2020-03-18,1.17,2020-06-01,1.21,2020-08-02,0.97
Croatia,1.39,2020-03-20,0.71,2020-05-25,1.35,2020-08-02,1.00
Cuba,1.21,2020-04-08,0.66,2020-06-01,0.98,2020-08-02,0.96
Cyprus,1.57,2020-03-12,0.44,2020-05-25,0.96,2020-08-02,0.93
Czechia,2.20,2020-03-14,0.47,2020-05-25,1.31,2020-08-02,1.02
Denmark,2.42,2020-03-10,0.65,2020-05-25,1.14,2020-08-02,0.99
Dominican Republic,2.61,2020-03-15,0.89,2020-06-01,1.15,2020-08-02,0.98
Ecuador,1.85,2020-04-11,0.87,2020-06-01,1.06,2020-08-02,0.92
Egypt,1.88,2020-03-20,1.08,2020-06-15,0.93,2020-08-02,0.92
Estonia,2.44,2020-03-11,0.42,2020-05-25,0.82,2020-08-02,0.81
Finland,1.71,2020-03-27,0.64,2020-05-25,1.02,2020-08-02,0.96
France,1.72,2020-03-16,0.78,2020-05-25,1.10,2020-08-02,0.93
Germany,2.37,2020-03-15,0.76,2020-05-15,1.13,2020-08-02,0.98
Greece,1.58,2020-03-08,0.60,2020-05-25,1.22,2020-08-02,1.02
Honduras,1.45,2020-04-06,0.97,2020-06-01,1.24,2020-08-02,0.99
Hungary,1.89,2020-03-24,0.79,2020-05-25,1.03,2020-08-02,0.96
Iceland,1.40,2020-03-21,0.44,2020-05-15,1.03,2020-08-02,0.95
India,1.58,2020-04-19,1.08,2020-05-15,1.12,2020-08-02,1.05
Indonesia,1.60,2020-03-15,1.03,2020-06-15,1.11,2020-08-02,1.01
Iran,2.69,2020-02-25,0.88,2020-04-20,1.23,2020-08-02,0.92
Ireland,1.61,2020-03-29,0.69,2020-05-25,1.06,2020-08-02,0.95
Israel,2.85,2020-03-17,0.71,2020-05-15,1.47,2020-08-02,0.98
Italy,2.62,2020-02-29,0.86,2020-05-25,1.01,2020-08-02,0.90
Japan,1.37,2020-04-01,0.76,2020-06-01,1.22,2020-08-02,1.10
Kuwait,1.91,2020-04-16,0.90,2020-06-30,1.13,2020-08-02,1.05
Latvia,1.54,2020-03-30,0.48,2020-05-25,0.96,2020-08-02,0.94
Lithuania,1.88,2020-03-12,0.69,2020-05-25,0.96,2020-08-02,0.93
Luxembourg,1.61,2020-03-18,0.56,2020-05-25,1.41,2020-08-02,1.02
Malaysia,2.31,2020-03-08,0.50,2020-05-15,0.85,2020-08-02,0.85
Malta,1.60,2020-03-20,0.65,2020-05-25,0.98,2020-08-02,0.95
Mexico,2.39,2020-04-01,1.06,2020-06-01,1.09,2020-08-02,0.98
Moldova,1.94,2020-03-18,1.03,2020-05-15,1.13,2020-08-02,0.96
Morocco,2.20,2020-03-13,0.72,2020-06-01,1.43,2020-08-02,1.05
