combined_subregion,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Canada-Alberta,1.70,2020-03-22,0.82,2020-05-25,1.21,2020-08-28,1.00
Canada-British Columbia,1.13,2020-03-23,0.76,2020-05-19,1.05,2020-08-28,0.98
Canada-Ontario,1.83,2020-03-27,0.83,2020-06-01,0.94,2020-08-28,0.93
Canada-Quebec,2.03,2020-03-27,0.87,2020-06-01,0.91,2020-08-28,0.90
US-AZ-Maricopa,1.37,2020-03-21,1.00,2020-05-11,1.45,2020-08-28,0.88
US-CA-Alameda,1.27,2020-03-23,0.76,2020-06-01,1.22,2020-08-28,0.99
US-CA-Los Angeles,2.37,2020-03-13,1.00,2020-06-05,1.17,2020-08-28,0.94
US-CA-Orange,1.37,2020-03-24,1.02,2020-05-26,1.23,2020-08-28,0.97
US-CA-Riverside,1.60,2020-03-22,0.95,2020-05-23,1.26,2020-08-28,0.96
US-CA-Sacramento,1.21,2020-03-24,0.80,2020-05-23,1.46,2020-08-28,0.97
US-CA-San Bernardino,1.35,2020-03-23,0.90,2020-05-23,1.30,2020-08-28,0.97
US-CA-San Diego,1.37,2020-03-22,0.92,2020-05-23,1.17,2020-08-28,0.97
US-CA-Santa Clara,1.27,2020-03-09,0.70,2020-06-05,1.27,2020-08-28,1.00
US-FL-Broward,1.44,2020-03-21,0.82,2020-05-20,1.52,2020-08-28,0.88
US-FL-Hillsborough,1.35,2020-03-24,0.98,2020-05-15,1.42,2020-08-28,0.90
US-FL-Miami-Dade,2.78,2020-03-14,0.89,2020-05-20,1.40,2020-08-28,0.86
US-FL-Orange,1.29,2020-03-23,0.85,2020-05-15,1.47,2020-08-28,0.90
US-FL-Palm Beach,1.80,2020-03-10,0.89,2020-05-20,1.31,2020-08-28,0.91
US-IL-Cook,2.60,2020-03-18,0.94,2020-06-15,1.08,2020-08-28,0.94
US-LA-Orleans,1.82,2020-03-10,0.58,2020-05-15,1.02,2020-08-28,0.87
US-MA-Middlesex,2.29,2020-03-26,0.81,2020-06-06,1.04,2020-08-28,0.91
US-MA-Suffolk,1.85,2020-03-28,0.77,2020-06-06,1.09,2020-08-28,0.92
US-MI-Wayne,2.72,2020-03-11,0.74,2020-06-08,1.05,2020-08-28,0.92
US-NJ-Bergen,2.75,2020-03-09,0.86,2020-06-15,0.95,2020-08-28,0.86
US-NJ-Essex,3.79,2020-03-12,0.81,2020-06-15,0.95,2020-08-28,0.85
US-NJ-Hudson,1.76,2020-03-22,0.78,2020-06-15,0.97,2020-08-28,0.84
US-NV-Clark,1.59,2020-03-13,0.86,2020-05-15,1.46,2020-08-28,0.94
US-NV-Washoe,2.78,2020-03-17,0.85,2020-05-15,1.19,2020-08-28,0.97
US-NY-Nassau,4.02,2020-03-12,0.74,2020-06-01,0.95,2020-08-28,0.80
US-NY-New York City,5.46,2020-03-07,0.68,2020-06-08,1.11,2020-08-28,0.89
US-NY-Suffolk,3.42,2020-03-14,0.80,2020-06-01,0.96,2020-08-28,0.83
US-NY-Westchester,4.40,2020-03-16,0.71,2020-06-01,0.95,2020-08-28,0.81
US-PA-Philadelphia,3.79,2020-03-16,0.88,2020-06-15,1.06,2020-08-28,0.92
US-TX-Bexar,1.28,2020-03-24,0.90,2020-05-01,1.45,2020-08-28,0.94
US-TX-Dallas,1.56,2020-03-21,0.95,2020-05-01,1.35,2020-08-28,0.96
US-TX-Harris,1.54,2020-03-22,0.98,2020-05-01,1.41,2020-08-28,0.95
US-TX-Tarrant,1.50,2020-03-22,0.90,2020-05-01,1.38,2020-08-28,0.98
US-WA-King,1.85,2020-03-03,0.87,2020-06-08,1.13,2020-08-28,0.99
