combined_subregion,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Canada-Alberta,1.83,2020-03-22,0.84,2020-05-25,1.12,2020-07-23,1.02
Canada-British Columbia,1.23,2020-03-23,0.79,2020-05-19,1.05,2020-07-23,0.98
Canada-Ontario,1.82,2020-03-28,0.82,2020-06-01,1.03,2020-07-23,1.02
Canada-Quebec,2.11,2020-03-28,0.87,2020-06-01,1.02,2020-07-23,0.99
US-AZ-Maricopa,1.43,2020-03-21,0.99,2020-05-11,1.44,2020-07-23,0.92
US-CA-Alameda,1.34,2020-03-23,0.87,2020-06-01,1.25,2020-07-23,1.01
US-CA-Los Angeles,2.45,2020-03-13,1.01,2020-06-05,1.18,2020-07-23,0.97
US-CA-Orange,1.54,2020-03-24,1.04,2020-05-26,1.26,2020-07-23,0.98
US-CA-Riverside,1.59,2020-03-22,1.00,2020-05-23,1.26,2020-07-23,0.97
US-CA-Sacramento,1.12,2020-03-24,0.80,2020-05-23,1.40,2020-07-23,1.05
US-CA-San Bernardino,1.49,2020-03-23,0.94,2020-05-23,1.27,2020-07-23,0.98
US-CA-San Diego,1.42,2020-03-22,0.98,2020-05-23,1.27,2020-07-23,1.02
US-CA-Santa Clara,1.57,2020-03-09,0.76,2020-06-05,1.19,2020-07-23,1.05
US-FL-Broward,1.55,2020-03-21,0.83,2020-05-20,1.48,2020-07-23,0.96
US-FL-Hillsborough,1.46,2020-03-24,1.02,2020-05-15,1.36,2020-07-23,0.96
US-FL-Miami-Dade,2.83,2020-03-15,0.89,2020-05-20,1.32,2020-07-23,0.93
US-FL-Orange,1.40,2020-03-23,0.89,2020-05-15,1.57,2020-07-23,0.96
US-FL-Palm Beach,1.78,2020-03-10,0.91,2020-05-20,1.33,2020-07-23,0.94
US-IL-Cook,2.70,2020-03-19,0.94,2020-06-15,1.08,2020-07-23,1.03
US-LA-Orleans,1.92,2020-03-12,0.61,2020-05-15,1.08,2020-07-23,0.91
US-MA-Middlesex,2.37,2020-03-27,0.82,2020-06-06,1.12,2020-07-23,1.06
US-MA-Suffolk,1.90,2020-03-29,0.77,2020-06-06,1.07,2020-07-23,1.00
US-MI-Wayne,2.76,2020-03-11,0.77,2020-06-08,1.17,2020-07-23,1.10
US-NJ-Bergen,2.77,2020-03-09,0.82,2020-06-15,0.96,2020-07-23,0.90
US-NJ-Essex,3.81,2020-03-13,0.78,2020-06-15,0.96,2020-07-23,0.88
US-NJ-Hudson,1.90,2020-03-23,0.78,2020-06-15,0.96,2020-07-23,0.88
US-NV-Clark,1.65,2020-03-13,0.87,2020-05-15,1.49,2020-07-23,0.97
US-NV-Washoe,2.78,2020-03-17,0.86,2020-05-15,1.26,2020-07-23,0.98
US-NY-Nassau,4.05,2020-03-13,0.75,2020-06-01,0.96,2020-07-23,0.83
US-NY-New York City,5.44,2020-03-09,0.71,2020-06-08,1.12,2020-07-23,0.99
US-NY-Suffolk,3.44,2020-03-15,0.81,2020-06-01,0.95,2020-07-23,0.86
US-NY-Westchester,4.41,2020-03-18,0.73,2020-06-01,0.95,2020-07-23,0.84
US-PA-Philadelphia,3.80,2020-03-17,0.88,2020-06-15,1.08,2020-07-23,1.02
US-TX-Bexar,1.38,2020-03-24,0.93,2020-05-01,1.47,2020-07-23,0.96
US-TX-Dallas,1.73,2020-03-21,0.99,2020-05-01,1.28,2020-07-23,0.96
US-TX-Harris,1.67,2020-03-22,0.96,2020-05-01,1.31,2020-07-23,0.98
US-TX-Tarrant,1.64,2020-03-23,0.95,2020-05-01,1.23,2020-07-23,0.98
US-WA-King,1.97,2020-03-05,0.86,2020-06-08,1.19,2020-07-23,1.02
