region,initial_r_0,post_mitigation_r,inflection_date
USA,2.25,0.91,2020-03-18
AK,1.85,0.44,2020-03-15
AL,1.95,0.97,2020-03-17
AR,0.95,0.83,2020-03-18
AZ,1.22,1.02,2020-03-17
CA,1.56,0.98,2020-03-25
CO,1.64,0.96,2020-03-17
CT,2.44,0.90,2020-03-22
DC,1.75,0.94,2020-03-27
DE,1.87,0.97,2020-03-24
FL,1.63,0.95,2020-03-22
GA,1.99,0.95,2020-03-17
GU,0.78,0.56,2020-03-20
HI,2.28,0.55,2020-03-17
IA,1.17,0.99,2020-03-18
ID,1.64,0.55,2020-03-21
IL,2.13,1.03,2020-03-18
IN,1.80,0.99,2020-03-21
KS,1.26,0.80,2020-03-27
KY,1.65,0.91,2020-03-17
LA,2.14,0.86,2020-03-15
MA,1.94,0.88,2020-03-29
MD,2.00,0.94,2020-03-27
ME,2.19,0.74,2020-03-15
MI,2.38,0.82,2020-03-18
MN,1.83,1.00,2020-03-31
MO,1.65,0.97,2020-03-19
MP,0.93,0.43,2020-03-20
MS,1.52,1.03,2020-03-19
MT,1.31,0.57,2020-03-27
NC,1.80,0.93,2020-03-26
ND,0.92,0.94,2020-03-28
NE,1.06,0.96,2020-03-20
NH,1.84,0.99,2020-03-20
NJ,2.55,0.93,2020-03-18
NM,1.59,1.00,2020-03-28
NV,1.41,0.89,2020-03-17
NY,3.70,0.85,2020-03-14
OH,1.64,1.01,2020-03-25
OK,1.75,0.79,2020-03-15
OR,1.57,0.83,2020-03-19
PA,2.43,0.97,2020-03-22
PR,2.13,0.78,2020-03-17
RI,1.74,0.96,2020-03-27
SC,1.68,0.97,2020-03-19
SD,0.83,0.96,2020-03-25
TN,1.87,0.84,2020-03-14
TX,1.72,0.98,2020-03-18
UT,1.07,0.96,2020-03-28
VA,1.48,0.97,2020-03-31
VI,1.35,0.42,2020-03-20
VT,1.40,0.56,2020-03-15
WA,1.45,0.85,2020-03-15
WI,2.01,0.87,2020-03-15
WV,1.39,0.76,2020-03-31
WY,1.24,0.73,2020-03-28
