region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.30,2020-03-17,0.92,2020-05-10,1.23,2020-07-22,0.98
AK,1.94,2020-03-15,0.47,2020-04-24,1.37,2020-07-22,1.00
AL,1.52,2020-04-03,0.96,2020-05-11,1.36,2020-07-22,0.94
AR,1.56,2020-04-04,1.01,2020-05-11,1.23,2020-07-22,0.96
AZ,1.25,2020-04-13,1.00,2020-05-11,1.37,2020-07-22,0.91
CA,1.77,2020-03-21,0.98,2020-06-01,1.23,2020-07-22,0.96
CO,1.30,2020-04-02,0.83,2020-05-15,1.25,2020-07-22,1.04
CT,2.40,2020-03-22,0.82,2020-06-01,1.12,2020-07-22,1.00
DC,1.74,2020-03-28,0.88,2020-06-08,1.08,2020-07-22,1.01
DE,1.49,2020-04-07,0.82,2020-06-01,1.13,2020-07-22,1.01
FL,1.79,2020-03-20,0.94,2020-05-04,1.43,2020-07-22,0.93
GA,2.23,2020-03-17,0.97,2020-04-27,1.30,2020-07-22,0.97
GU,1.18,2020-03-20,0.47,2020-06-01,1.10,2020-07-22,1.05
HI,2.15,2020-03-17,0.47,2020-06-01,1.39,2020-07-22,1.05
IA,1.34,2020-04-24,0.78,2020-05-15,1.27,2020-07-22,0.98
ID,2.13,2020-03-21,0.72,2020-05-16,1.65,2020-07-22,0.99
IL,2.10,2020-03-24,0.94,2020-06-01,1.10,2020-07-22,1.02
IN,1.57,2020-04-01,0.88,2020-05-11,1.24,2020-07-22,1.05
KS,1.36,2020-03-27,0.79,2020-05-04,1.28,2020-07-22,0.98
KY,1.95,2020-03-17,0.93,2020-05-22,1.30,2020-07-22,1.06
LA,2.42,2020-03-13,0.86,2020-05-15,1.42,2020-07-22,0.94
MA,2.24,2020-03-24,0.88,2020-06-06,1.07,2020-07-22,0.99
MD,1.97,2020-03-26,0.91,2020-06-01,1.08,2020-07-22,1.00
ME,1.64,2020-03-25,0.83,2020-06-01,1.11,2020-07-22,1.07
MI,2.01,2020-03-16,0.81,2020-06-08,1.18,2020-07-22,1.03
MN,1.92,2020-04-02,0.92,2020-06-01,1.15,2020-07-22,1.07
MO,1.97,2020-03-20,0.87,2020-05-15,1.23,2020-07-22,1.00
MP,1.27,2020-03-20,0.41,2020-06-01,0.99,2020-07-22,0.97
MS,1.47,2020-04-10,0.93,2020-05-07,1.27,2020-07-22,0.93
MT,1.25,2020-03-27,0.57,2020-05-04,1.54,2020-07-22,0.99
NC,2.19,2020-03-26,0.95,2020-05-08,1.22,2020-07-22,0.97
ND,1.33,2020-03-28,0.87,2020-05-01,1.21,2020-07-22,1.00
NE,2.32,2020-03-23,1.01,2020-05-04,1.06,2020-07-22,0.95
NH,1.48,2020-04-14,0.86,2020-05-18,1.05,2020-07-22,0.97
NJ,2.59,2020-03-17,0.88,2020-06-15,1.06,2020-07-22,0.97
NM,1.42,2020-04-08,0.92,2020-06-01,1.20,2020-07-22,1.04
NV,2.02,2020-03-17,0.93,2020-05-15,1.48,2020-07-22,0.96
NY,3.89,2020-03-12,0.77,2020-06-01,1.16,2020-07-22,1.00
OH,1.58,2020-04-01,0.91,2020-05-21,1.22,2020-07-22,1.02
OK,2.05,2020-03-15,0.77,2020-05-01,1.27,2020-07-22,0.98
OR,1.63,2020-03-19,0.90,2020-05-25,1.38,2020-07-22,1.00
PA,1.84,2020-04-01,0.85,2020-06-05,1.18,2020-07-22,1.01
PR,2.40,2020-03-17,0.83,2020-06-01,1.43,2020-07-22,1.10
RI,1.65,2020-04-05,0.87,2020-05-25,1.10,2020-07-22,0.96
SC,1.98,2020-03-19,0.96,2020-05-11,1.44,2020-07-22,0.92
SD,1.21,2020-03-25,1.00,2020-05-01,1.10,2020-07-22,0.96
TN,2.01,2020-03-13,0.99,2020-05-01,1.29,2020-07-22,0.97
TX,2.01,2020-03-18,0.92,2020-05-01,1.48,2020-07-22,0.94
UT,1.56,2020-03-28,0.99,2020-05-16,1.27,2020-07-22,0.97
VA,1.56,2020-04-03,0.92,2020-06-01,1.23,2020-07-22,1.12
VI,2.07,2020-03-20,0.48,2020-06-01,1.34,2020-07-22,1.22
VT,1.41,2020-03-20,0.47,2020-06-01,1.07,2020-07-22,1.03
WA,1.68,2020-03-11,0.89,2020-06-01,1.10,2020-07-22,1.01
WI,2.19,2020-03-14,0.93,2020-05-14,1.21,2020-07-22,1.02
WV,1.52,2020-03-31,0.74,2020-05-04,1.14,2020-07-22,1.00
WY,1.57,2020-03-28,0.71,2020-05-01,1.09,2020-07-22,0.99
