country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.26,0.82,2020-03-13,1.04,2020-06-10
Argentina,1.15,1.09,2020-03-17,1.09,2020-06-10
Australia,1.11,0.70,2020-03-23,0.87,2020-06-10
Austria,1.82,0.70,2020-03-15,0.88,2020-06-10
Bangladesh,1.34,1.13,2020-03-28,1.15,2020-06-10
Belarus,1.20,0.98,2020-04-06,0.98,2020-06-10
Belgium,2.64,0.83,2020-03-18,0.99,2020-06-10
Bolivia,1.17,1.13,2020-04-05,1.13,2020-06-10
Brazil,1.41,1.06,2020-04-19,1.06,2020-06-10
Bulgaria,1.46,1.02,2020-03-11,1.09,2020-06-10
Canada,1.91,0.90,2020-03-28,1.03,2020-06-10
Chile,1.84,1.19,2020-03-21,1.17,2020-06-10
China,2.89,0.63,2020-01-20,0.71,2020-06-10
Colombia,1.88,1.14,2020-03-18,1.14,2020-06-10
Croatia,1.50,0.76,2020-03-20,0.93,2020-06-10
Cuba,1.08,0.64,2020-04-08,0.81,2020-06-10
Cyprus,1.32,0.35,2020-03-12,0.50,2020-06-10
Czechia,2.14,0.58,2020-03-14,0.76,2020-06-10
Denmark,2.10,0.75,2020-03-11,0.93,2020-06-10
Dominican Republic,2.26,0.87,2020-03-14,1.01,2020-06-10
Ecuador,1.48,0.87,2020-04-13,1.01,2020-06-10
Egypt,1.43,1.08,2020-03-20,1.08,2020-06-10
Estonia,2.31,0.37,2020-03-11,0.52,2020-06-10
Finland,1.78,0.73,2020-03-27,0.91,2020-06-10
France,1.71,0.81,2020-03-18,0.97,2020-06-10
Germany,2.18,0.81,2020-03-17,0.98,2020-06-10
Greece,1.47,0.70,2020-03-08,0.87,2020-06-10
Honduras,0.98,1.03,2020-04-06,1.09,2020-06-10
Hungary,1.82,0.86,2020-03-25,1.01,2020-06-10
Iceland,1.50,0.33,2020-03-21,0.46,2020-06-10
India,1.26,1.16,2020-04-20,1.17,2020-06-10
Indonesia,1.41,1.02,2020-03-15,1.03,2020-06-10
Iran,2.38,0.88,2020-02-25,1.01,2020-06-10
Ireland,1.60,0.73,2020-03-31,0.90,2020-06-10
Israel,2.36,0.68,2020-03-16,0.86,2020-06-10
Italy,2.58,0.89,2020-03-02,0.99,2020-06-10
Japan,1.26,0.84,2020-03-31,0.94,2020-06-10
Kuwait,1.45,1.03,2020-04-04,1.10,2020-06-10
Latvia,1.29,0.48,2020-03-30,0.64,2020-06-10
Lithuania,1.61,0.83,2020-03-12,0.99,2020-06-10
Luxembourg,1.74,0.67,2020-03-18,0.85,2020-06-10
Malaysia,1.91,0.49,2020-03-06,0.66,2020-06-10
Malta,1.37,0.65,2020-03-20,0.80,2020-06-10
Mexico,1.94,1.14,2020-04-01,1.14,2020-06-10
Moldova,1.35,1.04,2020-03-19,1.11,2020-06-10
Morocco,1.73,0.65,2020-03-14,0.82,2020-06-10
Netherlands,2.42,0.85,2020-03-11,1.01,2020-06-10
Nigeria,1.24,1.01,2020-04-13,1.10,2020-06-10
Norway,1.73,0.62,2020-03-17,0.80,2020-06-10
Pakistan,1.45,1.14,2020-04-09,1.15,2020-06-10
Panama,1.26,0.96,2020-03-19,1.08,2020-06-10
Peru,1.73,1.07,2020-04-05,1.09,2020-06-10
Philippines,1.58,0.90,2020-03-15,1.03,2020-06-10
Poland,1.58,0.95,2020-03-20,1.06,2020-06-10
Portugal,2.11,0.83,2020-03-11,0.99,2020-06-10
Romania,1.72,0.83,2020-03-15,0.98,2020-06-10
Russia,1.47,1.01,2020-04-20,1.06,2020-06-10
Saudi Arabia,1.70,1.10,2020-03-19,1.13,2020-06-10
Serbia,1.35,0.71,2020-03-24,0.89,2020-06-10
Slovakia,2.32,0.48,2020-03-28,0.65,2020-06-10
Slovenia,1.67,0.67,2020-03-20,0.85,2020-06-10
South Africa,1.77,1.19,2020-03-26,1.19,2020-06-10
South Korea,1.83,0.84,2020-02-22,0.94,2020-06-10
Spain,3.16,0.81,2020-03-06,0.97,2020-06-10
Sweden,1.89,0.91,2020-03-20,1.00,2020-06-10
Switzerland,2.07,0.75,2020-03-13,0.93,2020-06-10
Turkey,1.83,0.78,2020-03-22,0.94,2020-06-10
Ukraine,1.53,1.01,2020-03-24,1.09,2020-06-10
United Arab Emirates,1.21,0.85,2020-04-06,0.99,2020-06-10
United Kingdom,2.48,0.93,2020-03-15,0.95,2020-06-10
United States,2.27,0.91,2020-03-18,1.03,2020-06-10
