region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.26,2020-03-15,0.90,2020-05-10,1.27,2020-10-02,1.05
AK,1.99,2020-03-15,0.53,2020-04-24,1.37,2020-10-02,1.12
AL,1.53,2020-04-02,0.97,2020-05-11,1.27,2020-10-02,0.94
AR,1.49,2020-04-04,0.97,2020-05-11,1.32,2020-10-02,1.01
AZ,1.26,2020-04-13,1.00,2020-05-11,1.40,2020-10-02,0.97
CA,1.69,2020-03-21,0.97,2020-06-01,1.28,2020-10-02,0.94
CO,1.21,2020-04-02,0.83,2020-05-15,1.10,2020-10-02,1.04
CT,2.21,2020-03-18,0.79,2020-06-01,1.01,2020-10-02,1.05
DC,1.78,2020-03-27,0.86,2020-06-08,1.10,2020-10-02,1.00
DE,1.54,2020-04-06,0.85,2020-06-01,1.15,2020-10-02,1.00
FL,1.65,2020-03-19,0.93,2020-05-04,1.43,2020-10-02,1.01
GA,2.20,2020-03-16,0.91,2020-04-27,1.44,2020-10-02,0.95
GU,1.39,2020-03-20,0.54,2020-06-01,1.93,2020-10-02,0.93
HI,2.13,2020-03-17,0.60,2020-06-01,1.77,2020-10-02,1.00
IA,1.37,2020-04-23,0.81,2020-05-15,1.28,2020-10-02,1.02
ID,2.16,2020-03-21,0.74,2020-05-16,1.56,2020-10-02,1.00
IL,2.19,2020-03-23,0.92,2020-06-01,1.23,2020-10-02,1.00
IN,1.60,2020-03-30,0.89,2020-05-11,1.15,2020-10-02,1.06
KS,1.41,2020-03-26,0.82,2020-05-04,1.31,2020-10-02,1.03
KY,2.00,2020-03-17,0.92,2020-05-22,1.24,2020-10-02,1.02
LA,2.40,2020-03-12,0.79,2020-05-15,1.42,2020-10-02,0.95
MA,2.27,2020-03-22,0.87,2020-06-06,1.16,2020-10-02,1.02
MD,2.06,2020-03-25,0.91,2020-06-01,1.15,2020-10-02,1.00
ME,1.58,2020-03-25,0.87,2020-06-01,0.93,2020-10-02,1.07
MI,2.08,2020-03-15,0.79,2020-06-08,1.28,2020-10-02,1.01
MN,2.09,2020-04-01,0.91,2020-06-01,1.16,2020-10-02,1.06
MO,2.01,2020-03-19,0.86,2020-05-15,1.33,2020-10-02,1.09
MP,1.38,2020-03-20,0.50,2020-06-01,1.06,2020-10-02,1.08
MS,1.41,2020-04-10,0.92,2020-05-07,1.29,2020-10-02,0.92
MT,1.33,2020-03-27,0.55,2020-05-04,1.54,2020-10-02,1.12
NC,2.19,2020-03-25,0.95,2020-05-08,1.22,2020-10-02,1.05
ND,1.44,2020-03-28,0.85,2020-05-01,1.32,2020-10-02,0.98
NE,2.27,2020-03-23,0.98,2020-05-04,1.14,2020-10-02,1.07
NH,1.47,2020-04-14,0.85,2020-05-18,0.91,2020-10-02,0.92
NJ,2.62,2020-03-14,0.87,2020-06-15,1.07,2020-10-02,1.04
NM,1.42,2020-04-07,0.90,2020-06-01,1.18,2020-10-02,1.01
NV,1.97,2020-03-16,0.91,2020-05-15,1.39,2020-10-02,0.96
NY,3.86,2020-03-11,0.72,2020-06-01,1.16,2020-10-02,1.08
OH,1.55,2020-03-31,0.89,2020-05-21,1.16,2020-10-02,1.03
OK,2.00,2020-03-15,0.78,2020-05-01,1.33,2020-10-02,1.05
OR,1.60,2020-03-19,0.90,2020-05-25,1.39,2020-10-02,1.07
PA,1.89,2020-03-31,0.85,2020-06-05,1.17,2020-10-02,1.07
PR,2.37,2020-03-17,0.82,2020-06-01,1.55,2020-10-02,1.00
RI,1.64,2020-04-03,0.87,2020-05-25,1.18,2020-10-02,0.96
SC,1.98,2020-03-19,0.96,2020-05-11,1.50,2020-10-02,0.98
SD,1.22,2020-03-25,0.99,2020-05-01,1.22,2020-10-02,1.08
TN,2.02,2020-03-13,0.99,2020-05-01,1.28,2020-10-02,0.98
TX,1.98,2020-03-18,0.94,2020-05-01,1.53,2020-10-02,0.98
UT,1.64,2020-03-28,0.98,2020-05-16,1.21,2020-10-02,1.06
VA,1.56,2020-04-03,0.90,2020-06-01,1.24,2020-10-02,1.02
VI,2.00,2020-03-20,0.54,2020-06-01,1.60,2020-10-02,0.86
VT,1.73,2020-03-20,0.63,2020-06-01,0.77,2020-10-02,0.81
WA,1.69,2020-03-10,0.91,2020-06-01,1.17,2020-10-02,1.07
WI,2.20,2020-03-13,0.90,2020-05-14,1.19,2020-10-02,1.07
WV,1.48,2020-03-31,0.78,2020-05-04,1.48,2020-10-02,1.02
WY,1.59,2020-03-28,0.72,2020-05-01,1.11,2020-10-02,1.10
