country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.59,2020-03-14,0.83,2020-06-14,1.12,2020-07-25,0.99
Argentina,1.44,2020-03-17,1.13,2020-06-28,1.11,2020-07-25,1.08
Australia,1.39,2020-03-23,0.66,2020-06-01,1.50,2020-07-25,1.07
Austria,2.04,2020-03-13,0.67,2020-05-25,1.07,2020-07-25,0.99
Bangladesh,1.83,2020-03-27,1.10,2020-05-15,0.99,2020-07-25,0.96
Belarus,1.37,2020-04-06,1.01,2021-01-01,1.00,2020-07-25,1.00
Belgium,2.90,2020-03-16,0.73,2020-05-25,1.06,2020-07-25,0.98
Bolivia,1.60,2020-04-05,1.09,2020-06-01,1.15,2020-07-25,0.97
Brazil,1.55,2020-04-19,1.04,2020-06-15,1.10,2020-07-25,1.00
Bulgaria,1.61,2020-03-11,1.03,2020-05-25,1.18,2020-07-25,0.99
Canada,1.99,2020-03-27,0.85,2020-05-25,0.96,2020-07-25,0.95
Chile,1.43,2020-05-20,0.92,2020-07-15,1.13,2020-07-25,0.91
China,3.24,2020-01-20,0.63,2020-04-08,1.00,2020-07-25,0.96
Colombia,2.39,2020-03-19,1.18,2020-06-01,1.18,2020-07-25,0.97
Croatia,1.42,2020-03-20,0.81,2020-05-25,1.31,2020-07-25,1.04
Cuba,1.29,2020-04-08,0.67,2020-06-01,0.93,2020-07-25,0.92
Cyprus,1.60,2020-03-12,0.45,2020-05-25,0.98,2020-07-25,0.95
Czechia,2.34,2020-03-14,0.53,2020-05-25,1.29,2020-07-25,1.04
Denmark,2.37,2020-03-11,0.69,2020-05-25,1.08,2020-07-25,0.99
Dominican Republic,2.56,2020-03-15,0.90,2020-06-01,1.12,2020-07-25,0.98
Ecuador,1.69,2020-04-11,0.86,2020-06-01,1.04,2020-07-25,0.94
Egypt,1.85,2020-03-20,1.08,2020-06-15,0.97,2020-07-25,0.95
Estonia,2.33,2020-03-11,0.42,2020-05-25,0.89,2020-07-25,0.88
Finland,1.84,2020-03-27,0.66,2020-05-25,1.06,2020-07-25,0.98
France,1.73,2020-03-16,0.78,2020-05-25,1.06,2020-07-25,0.93
Germany,2.45,2020-03-16,0.77,2020-05-15,0.97,2020-07-25,0.91
Greece,1.75,2020-03-08,0.66,2020-05-25,1.01,2020-07-25,0.97
Honduras,1.47,2020-04-06,1.00,2020-06-01,1.21,2020-07-25,0.98
Hungary,2.00,2020-03-24,0.80,2020-05-25,1.07,2020-07-25,0.99
Iceland,1.44,2020-03-21,0.45,2020-05-15,1.02,2020-07-25,0.95
India,1.47,2020-04-20,1.10,2020-05-15,1.11,2020-07-25,1.09
Indonesia,1.73,2020-03-15,1.02,2020-06-15,1.17,2020-07-25,1.02
Iran,2.54,2020-02-25,0.89,2020-04-20,1.25,2020-07-25,0.93
Ireland,1.71,2020-03-29,0.71,2020-05-25,1.07,2020-07-25,0.95
Israel,2.92,2020-03-17,0.73,2020-05-15,1.50,2020-07-25,0.99
Italy,2.72,2020-02-29,0.86,2020-05-25,1.01,2020-07-25,0.92
Japan,1.31,2020-04-01,0.79,2020-06-01,1.14,2020-07-25,1.08
Kuwait,2.16,2020-04-16,0.86,2020-06-30,1.13,2020-07-25,1.10
