region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.03,2020-06-17
AK,1.97,0.41,2020-03-15,0.56,2020-06-17
AL,1.36,0.93,2020-04-03,1.00,2020-06-17
AR,1.21,1.00,2020-04-04,1.08,2020-06-17
AZ,1.27,0.96,2020-04-13,1.07,2020-06-17
CA,1.62,0.99,2020-03-23,1.07,2020-06-17
CO,1.27,0.88,2020-04-02,1.01,2020-06-17
CT,2.27,0.88,2020-03-24,0.95,2020-06-17
DC,1.65,0.90,2020-03-30,0.97,2020-06-17
DE,1.41,0.88,2020-04-09,0.99,2020-06-17
FL,1.73,0.97,2020-03-20,1.05,2020-06-17
GA,2.04,0.97,2020-03-17,1.00,2020-06-17
GU,0.72,0.37,2020-03-20,0.53,2020-06-17
HI,2.06,0.44,2020-03-17,0.62,2020-06-17
IA,1.22,0.86,2020-04-24,0.93,2020-06-17
ID,2.04,0.66,2020-03-21,0.84,2020-06-17
IL,2.15,0.95,2020-03-22,1.02,2020-06-17
IN,1.55,0.89,2020-04-02,0.96,2020-06-17
KS,1.27,0.81,2020-03-27,0.92,2020-06-17
KY,1.84,0.94,2020-03-17,1.05,2020-06-17
LA,2.17,0.88,2020-03-15,0.97,2020-06-17
MA,1.98,0.90,2020-03-29,0.96,2020-06-17
MD,1.98,0.93,2020-03-27,1.02,2020-06-17
ME,1.45,0.80,2020-03-25,0.96,2020-06-17
MI,2.04,0.85,2020-03-18,0.96,2020-06-17
MN,1.80,0.98,2020-04-02,1.02,2020-06-17
MO,1.86,0.89,2020-03-20,1.00,2020-06-17
MP,1.02,0.34,2020-03-20,0.50,2020-06-17
MS,1.43,0.93,2020-04-10,0.99,2020-06-17
MT,1.37,0.53,2020-03-27,0.71,2020-06-17
NC,1.86,0.97,2020-03-25,1.06,2020-06-17
ND,1.36,0.90,2020-03-28,0.93,2020-06-17
NE,1.84,1.00,2020-03-20,1.00,2020-06-17
NH,1.40,0.94,2020-04-12,1.04,2020-06-17
NJ,2.49,0.92,2020-03-18,0.93,2020-06-17
NM,1.38,0.94,2020-04-08,1.04,2020-06-17
NV,1.86,0.91,2020-03-17,1.03,2020-06-17
NY,3.72,0.84,2020-03-12,0.91,2020-06-17
OH,1.51,0.92,2020-04-03,1.01,2020-06-17
OK,1.77,0.77,2020-03-15,0.87,2020-06-17
OR,1.56,0.87,2020-03-19,1.02,2020-06-17
PA,1.82,0.88,2020-04-03,0.99,2020-06-17
PR,2.15,0.81,2020-03-17,0.97,2020-06-17
RI,1.51,0.93,2020-04-05,0.99,2020-06-17
SC,1.69,0.98,2020-03-19,1.03,2020-06-17
SD,1.10,0.96,2020-03-25,0.98,2020-06-17
TN,2.03,0.91,2020-03-13,1.00,2020-06-17
TX,1.76,0.96,2020-03-18,0.98,2020-06-17
UT,1.16,0.99,2020-03-28,1.08,2020-06-17
VA,1.49,0.93,2020-04-01,1.04,2020-06-17
VI,1.65,0.33,2020-03-20,0.49,2020-06-17
VT,1.25,0.59,2020-03-20,0.80,2020-06-17
WA,1.56,0.87,2020-03-13,1.06,2020-06-17
WI,1.90,0.94,2020-03-13,1.04,2020-06-17
WV,1.51,0.75,2020-03-31,0.87,2020-06-17
WY,1.49,0.72,2020-03-28,0.80,2020-06-17
