region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.30,2020-03-17,0.91,2020-05-09,1.24,2020-07-23,0.97
AK,1.96,2020-03-15,0.45,2020-04-24,1.34,2020-07-23,1.00
AL,1.54,2020-04-03,0.96,2020-05-11,1.37,2020-07-23,0.93
AR,1.57,2020-04-04,1.01,2020-05-11,1.22,2020-07-23,0.96
AZ,1.25,2020-04-13,1.00,2020-05-11,1.37,2020-07-23,0.91
CA,1.78,2020-03-22,0.97,2020-06-01,1.25,2020-07-23,0.96
CO,1.30,2020-04-02,0.84,2020-05-15,1.27,2020-07-23,1.03
CT,2.46,2020-03-22,0.82,2020-06-01,1.12,2020-07-23,0.99
DC,1.88,2020-03-28,0.89,2020-06-08,1.13,2020-07-23,1.02
DE,1.60,2020-04-07,0.85,2020-06-01,1.09,2020-07-23,0.97
FL,1.79,2020-03-20,0.93,2020-05-04,1.44,2020-07-23,0.92
GA,2.26,2020-03-17,0.96,2020-04-27,1.30,2020-07-23,0.96
GU,1.21,2020-03-20,0.46,2020-06-01,1.10,2020-07-23,1.04
HI,2.16,2020-03-17,0.46,2020-06-01,1.41,2020-07-23,1.05
IA,1.34,2020-04-23,0.78,2020-05-15,1.27,2020-07-23,0.98
ID,2.16,2020-03-21,0.72,2020-05-16,1.64,2020-07-23,0.98
IL,2.13,2020-03-24,0.94,2020-06-01,1.10,2020-07-23,1.01
IN,1.59,2020-03-31,0.87,2020-05-11,1.24,2020-07-23,1.04
KS,1.51,2020-03-26,0.80,2020-05-04,1.26,2020-07-23,0.98
KY,2.06,2020-03-17,0.94,2020-05-22,1.30,2020-07-23,1.04
LA,2.46,2020-03-13,0.85,2020-05-15,1.39,2020-07-23,0.94
MA,2.28,2020-03-24,0.88,2020-06-06,1.08,2020-07-23,0.99
MD,2.01,2020-03-26,0.91,2020-06-01,1.08,2020-07-23,1.00
ME,1.66,2020-03-25,0.84,2020-06-01,1.12,2020-07-23,1.07
MI,2.10,2020-03-16,0.81,2020-06-08,1.18,2020-07-23,1.02
MN,2.02,2020-04-02,0.92,2020-06-01,1.16,2020-07-23,1.06
MO,2.01,2020-03-20,0.86,2020-05-15,1.26,2020-07-23,1.00
MP,1.28,2020-03-20,0.40,2020-06-01,0.99,2020-07-23,0.97
MS,1.47,2020-04-10,0.93,2020-05-07,1.27,2020-07-23,0.93
MT,1.26,2020-03-27,0.55,2020-05-04,1.53,2020-07-23,0.99
NC,2.22,2020-03-26,0.94,2020-05-08,1.23,2020-07-23,0.97
ND,1.37,2020-03-28,0.86,2020-05-01,1.23,2020-07-23,0.99
NE,2.32,2020-03-23,1.01,2020-05-04,1.07,2020-07-23,0.96
NH,1.48,2020-04-14,0.86,2020-05-18,1.05,2020-07-23,0.97
NJ,2.66,2020-03-17,0.88,2020-06-15,1.07,2020-07-23,0.95
NM,1.52,2020-04-07,0.92,2020-06-01,1.21,2020-07-23,1.02
NV,2.07,2020-03-17,0.92,2020-05-15,1.47,2020-07-23,0.96
NY,3.89,2020-03-12,0.77,2020-06-01,1.11,2020-07-23,0.95
OH,1.59,2020-04-01,0.90,2020-05-21,1.22,2020-07-23,1.01
OK,2.10,2020-03-16,0.76,2020-05-01,1.27,2020-07-23,0.98
OR,1.66,2020-03-19,0.89,2020-05-25,1.37,2020-07-23,0.99
PA,1.86,2020-04-01,0.84,2020-06-05,1.19,2020-07-23,1.01
PR,2.43,2020-03-17,0.83,2020-06-01,1.44,2020-07-23,1.09
RI,1.70,2020-04-05,0.87,2020-05-25,1.10,2020-07-23,0.95
SC,2.00,2020-03-19,0.95,2020-05-11,1.46,2020-07-23,0.91
SD,1.22,2020-03-25,1.00,2020-05-01,1.11,2020-07-23,0.96
TN,2.07,2020-03-13,1.01,2020-05-01,1.28,2020-07-23,0.96
TX,2.02,2020-03-18,0.92,2020-05-01,1.48,2020-07-23,0.94
UT,1.57,2020-03-28,0.99,2020-05-16,1.27,2020-07-23,0.97
VA,1.56,2020-04-03,0.92,2020-06-01,1.23,2020-07-23,1.11
VI,2.04,2020-03-20,0.44,2020-06-01,1.34,2020-07-23,1.20
VT,1.50,2020-03-20,0.48,2020-06-01,1.07,2020-07-23,1.03
WA,1.69,2020-03-11,0.90,2020-06-01,1.10,2020-07-23,1.01
WI,2.22,2020-03-14,0.92,2020-05-14,1.24,2020-07-23,1.02
WV,1.58,2020-03-31,0.74,2020-05-04,1.14,2020-07-23,0.99
WY,1.58,2020-03-28,0.71,2020-05-01,1.05,2020-07-23,0.98
