region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.29,0.92,2020-03-18,1.10,2020-07-08
AK,1.91,0.58,2020-03-15,1.01,2020-07-08
AL,1.51,0.97,2020-04-03,1.11,2020-07-08
AR,1.35,1.02,2020-04-04,1.07,2020-07-08
AZ,1.28,0.99,2020-04-13,1.03,2020-07-08
CA,1.72,1.01,2020-03-23,1.10,2020-07-08
CO,1.29,0.88,2020-04-02,1.05,2020-07-08
CT,2.27,0.86,2020-03-24,0.94,2020-07-08
DC,1.68,0.90,2020-03-30,1.02,2020-07-08
DE,1.46,0.86,2020-04-09,1.03,2020-07-08
FL,1.84,0.96,2020-03-20,1.07,2020-07-08
GA,2.09,0.97,2020-03-17,1.11,2020-07-08
GU,0.79,0.45,2020-03-20,0.83,2020-07-08
HI,2.13,0.49,2020-03-17,1.03,2020-07-08
IA,1.33,0.86,2020-04-23,1.00,2020-07-08
ID,2.22,0.68,2020-03-21,1.09,2020-07-08
IL,2.21,0.94,2020-03-22,1.05,2020-07-08
IN,1.58,0.90,2020-04-02,1.07,2020-07-08
KS,1.26,0.85,2020-03-27,0.98,2020-07-08
KY,1.87,0.95,2020-03-17,1.09,2020-07-08
LA,2.10,0.87,2020-03-15,1.11,2020-07-08
MA,1.92,0.90,2020-03-28,0.97,2020-07-08
MD,2.01,0.93,2020-03-28,1.02,2020-07-08
ME,1.70,0.84,2020-03-25,1.06,2020-07-08
MI,1.99,0.84,2020-03-18,1.06,2020-07-08
MN,1.88,0.93,2020-04-02,1.04,2020-07-08
MO,1.90,0.90,2020-03-20,1.04,2020-07-08
MP,1.43,0.43,2020-03-20,0.85,2020-07-08
MS,1.45,0.94,2020-04-10,1.06,2020-07-08
MT,1.45,0.54,2020-03-27,1.03,2020-07-08
NC,2.03,0.97,2020-03-26,0.99,2020-07-08
ND,1.55,0.93,2020-03-28,0.91,2020-07-08
NE,1.98,1.02,2020-03-20,0.95,2020-07-08
NH,1.46,0.92,2020-04-13,1.01,2020-07-08
NJ,2.55,0.89,2020-03-19,1.01,2020-07-08
NM,1.42,0.93,2020-04-08,1.08,2020-07-08
NV,1.91,0.91,2020-03-17,1.16,2020-07-08
NY,3.63,0.82,2020-03-12,0.97,2020-07-08
OH,1.54,0.93,2020-04-03,1.09,2020-07-08
OK,1.81,0.78,2020-03-15,0.99,2020-07-08
OR,1.69,0.91,2020-03-19,1.12,2020-07-08
PA,1.80,0.87,2020-04-03,1.03,2020-07-08
PR,2.30,0.85,2020-03-17,1.07,2020-07-08
RI,1.59,0.93,2020-04-05,0.99,2020-07-08
SC,1.79,1.00,2020-03-19,1.09,2020-07-08
SD,1.20,1.00,2020-03-25,0.95,2020-07-08
TN,2.08,0.97,2020-03-13,1.09,2020-07-08
TX,1.93,0.96,2020-03-18,1.06,2020-07-08
UT,1.48,1.01,2020-03-28,1.05,2020-07-08
VA,1.56,0.92,2020-04-03,1.10,2020-07-08
VI,1.71,0.58,2020-03-20,1.11,2020-07-08
VT,1.36,0.59,2020-03-20,0.98,2020-07-08
WA,1.62,0.81,2020-03-13,1.10,2020-07-08
WI,2.09,0.95,2020-03-14,1.05,2020-07-08
WV,1.51,0.77,2020-03-31,0.93,2020-07-08
WY,1.59,0.74,2020-03-28,0.98,2020-07-08
