country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.51,0.77,2020-03-14,1.09,2020-07-06
Argentina,1.27,1.11,2020-03-17,1.10,2020-07-06
Australia,1.45,0.67,2020-03-23,0.97,2020-07-06
Austria,1.85,0.72,2020-03-15,1.04,2020-07-06
Bangladesh,1.62,1.08,2020-03-28,1.03,2020-07-06
Belarus,1.32,1.02,2020-04-06,1.01,2020-07-06
Belgium,2.59,0.82,2020-03-18,0.92,2020-07-06
Bolivia,1.42,1.13,2020-04-05,1.04,2020-07-06
Brazil,1.49,1.04,2020-04-20,1.00,2020-07-06
Bulgaria,1.53,1.03,2020-03-11,1.10,2020-07-06
Canada,1.94,0.89,2020-03-29,0.97,2020-07-06
Chile,1.40,0.93,2020-05-18,0.88,2020-07-06
China,2.98,0.66,2020-01-20,0.76,2020-07-06
Colombia,2.15,1.15,2020-03-20,1.06,2020-07-06
Croatia,1.48,0.78,2020-03-20,1.11,2020-07-06
Cuba,1.25,0.67,2020-04-08,0.89,2020-07-06
Cyprus,1.37,0.48,2020-03-12,0.95,2020-07-06
Czechia,2.19,0.60,2020-03-14,1.03,2020-07-06
Denmark,2.17,0.75,2020-03-11,0.96,2020-07-06
Dominican Republic,2.52,0.87,2020-03-15,1.12,2020-07-06
Ecuador,1.62,0.85,2020-04-12,1.02,2020-07-06
Egypt,1.66,1.09,2020-03-20,1.08,2020-07-06
Estonia,2.26,0.43,2020-03-11,0.77,2020-07-06
Finland,1.78,0.73,2020-03-28,0.94,2020-07-06
France,1.69,0.81,2020-03-18,0.93,2020-07-06
Germany,2.22,0.80,2020-03-18,0.93,2020-07-06
Greece,1.60,0.70,2020-03-08,0.93,2020-07-06
Honduras,1.26,1.03,2020-04-06,1.10,2020-07-06
Hungary,1.89,0.85,2020-03-25,1.00,2020-07-06
Iceland,1.41,0.48,2020-03-21,0.85,2020-07-06
India,1.36,1.10,2020-04-20,1.09,2020-07-06
Indonesia,1.58,1.03,2020-03-15,1.08,2020-07-06
Iran,2.45,0.88,2020-02-25,1.02,2020-07-06
Ireland,1.69,0.74,2020-03-31,0.91,2020-07-06
Israel,2.70,0.75,2020-03-18,1.06,2020-07-06
Italy,2.49,0.89,2020-03-02,0.94,2020-07-06
Japan,1.29,0.82,2020-04-01,1.08,2020-07-06
Kuwait,1.75,0.89,2020-04-18,0.94,2020-07-06
Latvia,1.34,0.54,2020-03-30,0.80,2020-07-06
Lithuania,1.78,0.80,2020-03-12,1.03,2020-07-06
Luxembourg,1.89,0.67,2020-03-18,0.87,2020-07-06
Malaysia,2.00,0.68,2020-03-07,0.86,2020-07-06
Malta,1.67,0.70,2020-03-20,0.99,2020-07-06
Mexico,2.19,1.08,2020-04-01,1.01,2020-07-06
Moldova,1.47,1.05,2020-03-17,1.00,2020-07-06
Morocco,2.19,0.71,2020-03-14,1.10,2020-07-06
Netherlands,2.47,0.83,2020-03-12,0.96,2020-07-06
Nigeria,1.49,0.95,2020-04-13,1.04,2020-07-06
Norway,1.73,0.64,2020-03-17,0.84,2020-07-06
Pakistan,1.66,1.04,2020-04-09,1.01,2020-07-06
Panama,1.38,1.01,2020-03-19,1.09,2020-07-06
Peru,2.00,1.05,2020-04-03,1.01,2020-07-06
Philippines,1.13,0.95,2020-03-15,1.08,2020-07-06
Poland,1.59,0.97,2020-03-20,1.05,2020-07-06
Portugal,2.18,0.83,2020-03-11,1.02,2020-07-06
Romania,1.78,0.87,2020-03-15,1.06,2020-07-06
Russia,1.61,0.95,2020-04-20,1.00,2020-07-06
Saudi Arabia,2.29,1.10,2020-03-22,1.08,2020-07-06
Serbia,1.50,0.84,2020-03-24,1.07,2020-07-06
Slovakia,1.77,0.60,2020-03-28,0.96,2020-07-06
Slovenia,1.76,0.70,2020-03-20,0.92,2020-07-06
South Africa,2.21,1.12,2020-03-27,1.09,2020-07-06
South Korea,2.09,0.86,2020-02-22,0.95,2020-07-06
Spain,3.25,0.85,2020-03-06,0.95,2020-07-06
Sweden,1.97,0.94,2020-03-19,0.90,2020-07-06
Switzerland,2.14,0.76,2020-03-13,0.95,2020-07-06
Turkey,2.50,0.77,2020-03-21,0.95,2020-07-06
Ukraine,1.55,1.04,2020-03-23,1.00,2020-07-06
United Arab Emirates,1.69,0.80,2020-04-05,1.01,2020-07-06
United Kingdom,2.63,0.93,2020-03-15,0.98,2020-07-06
United States,2.29,0.92,2020-03-18,1.09,2020-07-06
