combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.43,0.80,2020-03-22,0.96,2020-06-17
Canada-British Columbia,1.17,0.81,2020-03-23,0.97,2020-06-17
Canada-Ontario,1.73,0.86,2020-03-30,0.97,2020-06-17
Canada-Quebec,2.11,0.92,2020-03-28,0.98,2020-06-17
US-AZ-Maricopa,1.25,1.00,2020-03-21,1.05,2020-06-17
US-CA-Alameda,1.34,0.81,2020-03-23,0.97,2020-06-17
US-CA-Los Angeles,2.34,0.99,2020-03-12,1.07,2020-06-17
US-CA-Orange,1.24,1.04,2020-03-24,1.11,2020-06-17
US-CA-Riverside,1.40,0.97,2020-03-22,1.06,2020-06-17
US-CA-Sacramento,1.06,0.73,2020-03-24,0.91,2020-06-17
US-CA-San Bernardino,1.28,0.88,2020-03-23,1.00,2020-06-17
US-CA-San Diego,1.31,0.91,2020-03-22,1.03,2020-06-17
US-CA-Santa Clara,1.14,0.76,2020-03-09,0.93,2020-06-17
US-FL-Broward,1.29,0.85,2020-03-21,0.99,2020-06-17
US-FL-Hillsborough,1.33,0.98,2020-03-24,1.07,2020-06-17
US-FL-Miami-Dade,2.77,0.85,2020-03-14,0.99,2020-06-17
US-FL-Orange,1.41,0.76,2020-03-23,0.93,2020-06-17
US-FL-Palm Beach,1.80,0.92,2020-03-10,1.05,2020-06-17
US-IL-Cook,3.56,0.95,2020-03-12,0.99,2020-06-17
US-LA-Orleans,1.66,0.69,2020-03-11,0.82,2020-06-17
US-MA-Middlesex,2.34,0.85,2020-03-28,0.97,2020-06-17
US-MA-Suffolk,1.72,0.81,2020-03-30,0.93,2020-06-17
US-MI-Wayne,2.90,0.85,2020-03-10,0.94,2020-06-17
US-NJ-Bergen,2.90,0.87,2020-03-09,0.91,2020-06-17
US-NJ-Essex,3.77,0.85,2020-03-12,0.88,2020-06-17
US-NJ-Hudson,1.89,0.84,2020-03-24,0.93,2020-06-17
US-NV-Clark,1.52,0.87,2020-03-13,1.00,2020-06-17
US-NV-Washoe,2.77,0.85,2020-03-17,0.99,2020-06-17
US-NY-Nassau,3.97,0.76,2020-03-11,0.86,2020-06-17
US-NY-New York City,5.40,0.81,2020-03-08,0.87,2020-06-17
US-NY-Suffolk,3.34,0.84,2020-03-12,0.94,2020-06-17
US-NY-Westchester,4.41,0.72,2020-03-15,0.83,2020-06-17
US-PA-Philadelphia,3.77,0.91,2020-03-14,0.96,2020-06-17
US-TX-Bexar,1.31,0.80,2020-03-24,0.94,2020-06-17
US-TX-Dallas,1.27,0.97,2020-03-21,0.98,2020-06-17
US-TX-Harris,1.31,0.90,2020-03-22,0.98,2020-06-17
US-TX-Tarrant,1.17,0.94,2020-03-23,0.96,2020-06-17
US-WA-King,1.86,0.88,2020-03-05,1.01,2020-06-17
