country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.60,2020-03-14,0.87,2020-06-14,1.05,2020-10-04,0.99
Argentina,1.45,2020-03-17,1.09,2020-06-28,1.25,2020-10-04,1.01
Australia,1.23,2020-03-22,0.68,2020-06-01,1.66,2020-10-04,0.83
Austria,1.87,2020-03-12,0.65,2020-05-25,1.27,2020-10-04,1.10
Bangladesh,1.96,2020-03-29,1.08,2020-05-15,1.03,2020-10-04,0.98
Belarus,1.63,2020-04-06,0.99,2020-05-25,1.07,2020-10-04,1.04
Belgium,2.89,2020-03-15,0.68,2020-05-25,1.42,2020-10-04,1.06
Bolivia,1.77,2020-04-06,1.08,2020-06-01,1.20,2020-10-04,0.95
Brazil,1.84,2020-04-09,1.02,2020-06-15,1.13,2020-10-04,0.97
Bulgaria,1.66,2020-03-12,0.98,2020-05-25,1.29,2020-10-04,1.00
Canada,2.01,2020-03-25,0.83,2020-05-25,1.18,2020-10-04,1.08
Chile,1.40,2020-05-18,0.94,2020-07-20,1.09,2020-10-04,0.93
China,3.44,2020-01-21,0.62,2020-04-08,0.91,2020-10-04,0.89
Colombia,2.39,2020-03-19,1.16,2020-06-01,1.22,2020-10-04,0.97
Croatia,1.37,2020-03-20,0.74,2020-05-25,1.35,2020-10-04,1.06
Cuba,1.18,2020-04-08,0.67,2020-06-01,1.16,2020-10-04,1.05
Cyprus,1.58,2020-03-12,0.51,2020-05-25,1.02,2020-10-04,0.93
Czechia,2.17,2020-03-13,0.53,2020-05-25,1.71,2020-10-04,1.05
Denmark,2.42,2020-03-09,0.64,2020-05-25,1.35,2020-10-04,0.97
Dominican Republic,2.63,2020-03-16,0.92,2020-06-01,1.19,2020-10-04,0.93
Ecuador,1.85,2020-04-10,0.87,2020-06-01,1.12,2020-10-04,0.96
Egypt,1.91,2020-03-20,1.07,2020-06-15,0.84,2020-10-04,1.00
Estonia,2.44,2020-03-11,0.45,2020-05-25,0.83,2020-10-04,1.09
Finland,1.74,2020-03-26,0.64,2020-05-25,0.91,2020-10-04,1.10
France,1.78,2020-03-14,0.76,2020-05-25,1.41,2020-10-04,0.98
Germany,2.50,2020-03-14,0.75,2020-05-25,1.25,2020-10-04,1.05
Greece,1.54,2020-03-07,0.65,2020-05-25,1.39,2020-10-04,1.04
Honduras,1.56,2020-04-06,0.98,2020-06-01,1.20,2020-10-04,1.00
Hungary,1.83,2020-03-24,0.75,2020-05-25,1.33,2020-10-04,1.11
Iceland,1.55,2020-03-21,0.53,2020-05-25,1.03,2020-10-04,1.11
India,1.59,2020-04-19,1.09,2020-05-15,1.11,2020-10-04,0.96
Indonesia,1.59,2020-03-15,1.01,2020-06-15,1.12,2020-10-04,1.01
Iran,2.65,2020-02-25,0.90,2020-04-20,1.17,2020-10-04,1.02
Ireland,1.65,2020-03-27,0.67,2020-05-25,1.20,2020-10-04,1.08
Israel,2.77,2020-03-17,0.72,2020-05-15,1.23,2020-10-04,0.83
Italy,2.73,2020-02-27,0.86,2020-05-25,1.20,2020-10-04,1.07
Japan,1.38,2020-03-31,0.79,2020-06-01,1.43,2020-10-04,0.94
Kuwait,1.93,2020-04-16,0.89,2020-06-30,1.12,2020-10-04,0.99
Latvia,1.56,2020-03-30,0.49,2020-05-25,0.92,2020-10-04,1.11
Lithuania,1.81,2020-03-12,0.69,2020-05-25,0.95,2020-10-04,1.12
Luxembourg,1.75,2020-03-18,0.63,2020-05-25,1.15,2020-10-04,0.98
Malaysia,2.29,2020-03-07,0.55,2020-05-15,0.91,2020-10-04,1.09
Malta,1.60,2020-03-20,0.69,2020-05-25,1.45,2020-10-04,0.98
Mexico,2.45,2020-04-01,1.05,2020-06-01,1.10,2020-10-04,0.96
Moldova,1.90,2020-03-19,1.01,2020-05-15,1.17,2020-10-04,1.04
Morocco,2.14,2020-03-12,0.77,2020-06-01,1.51,2020-10-04,1.08
Netherlands,2.70,2020-03-09,0.74,2020-05-25,1.37,2020-10-04,1.03
Nigeria,1.70,2020-04-12,0.95,2020-05-15,0.86,2020-10-04,0.94
Norway,1.71,2020-03-17,0.53,2020-05-25,0.96,2020-10-04,1.10
Pakistan,1.61,2020-05-11,0.84,2020-05-20,0.80,2020-10-04,0.99
Panama,1.43,2020-03-19,0.97,2020-05-15,1.28,2020-10-04,1.00
Peru,2.28,2020-04-02,1.05,2020-06-01,1.15,2020-10-04,0.90
Philippines,1.18,2020-03-15,0.93,2020-06-01,1.29,2020-10-04,1.01
Poland,1.47,2020-03-19,0.92,2020-05-25,1.22,2020-10-04,1.16
Portugal,2.20,2020-03-10,0.78,2020-05-25,1.08,2020-10-04,1.08
Romania,1.76,2020-03-15,0.83,2020-05-25,1.35,2020-10-04,1.03
Russia,1.64,2020-04-19,0.92,2020-05-15,1.06,2020-10-04,1.04
Saudi Arabia,2.55,2020-03-23,1.12,2020-06-21,1.08,2020-10-04,1.00
Serbia,1.70,2020-03-24,0.73,2020-05-15,1.48,2020-10-04,0.92
Slovakia,1.46,2020-03-28,0.55,2020-05-25,1.47,2020-10-04,1.16
Slovenia,1.48,2020-03-20,0.64,2020-05-25,1.12,2020-10-04,1.12
South Africa,2.77,2020-03-30,1.11,2020-06-01,1.37,2020-10-04,0.90
South Korea,2.21,2020-02-21,0.84,2020-05-06,1.33,2020-10-04,0.96
Spain,3.48,2020-03-04,0.79,2020-05-25,1.58,2020-10-04,0.96
Sweden,1.97,2020-03-17,0.90,2020-05-25,0.96,2020-10-04,1.02
Switzerland,2.35,2020-03-08,0.66,2020-05-25,1.27,2020-10-04,1.08
Turkey,2.63,2020-03-19,0.71,2020-06-01,1.12,2020-10-04,1.06
Ukraine,1.85,2020-03-23,0.98,2020-05-15,1.23,2020-10-04,1.06
United Arab Emirates,1.73,2020-04-03,0.80,2020-06-01,1.12,2020-10-04,1.06
United Kingdom,3.00,2020-03-10,0.84,2020-06-01,1.49,2020-10-04,0.93
United States,2.26,2020-03-15,0.90,2020-05-10,1.27,2020-10-04,1.05
