region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.01,2020-05-27
AK,1.92,0.40,2020-03-15,0.54,2020-05-27
AL,1.97,0.96,2020-03-17,1.08,2020-05-27
AR,1.49,0.91,2020-03-18,1.04,2020-05-27
AZ,1.82,1.03,2020-03-18,1.12,2020-05-27
CA,1.61,0.97,2020-03-24,0.98,2020-05-27
CO,1.60,0.97,2020-03-17,1.08,2020-05-27
CT,2.35,0.89,2020-03-23,0.91,2020-05-27
DC,1.64,0.92,2020-03-30,0.92,2020-05-27
DE,1.85,0.97,2020-03-25,0.98,2020-05-27
FL,1.70,0.96,2020-03-20,1.07,2020-05-27
GA,2.04,0.95,2020-03-17,1.07,2020-05-27
GU,0.63,0.44,2020-03-20,0.46,2020-05-27
HI,2.16,0.44,2020-03-17,0.45,2020-05-27
IA,1.80,0.99,2020-03-21,1.10,2020-05-27
ID,1.86,0.61,2020-03-21,0.78,2020-05-27
IL,2.12,1.02,2020-03-19,1.03,2020-05-27
IN,1.84,0.97,2020-03-21,1.08,2020-05-27
KS,1.28,0.82,2020-03-27,0.98,2020-05-27
KY,1.80,0.92,2020-03-17,1.03,2020-05-27
LA,2.14,0.87,2020-03-15,1.01,2020-05-27
MA,1.94,0.88,2020-03-29,1.01,2020-05-27
MD,1.97,0.94,2020-03-27,1.06,2020-05-27
ME,2.20,0.78,2020-03-17,0.80,2020-05-27
MI,2.47,0.83,2020-03-18,0.85,2020-05-27
MN,1.79,0.99,2020-04-01,1.09,2020-05-27
MO,1.70,0.96,2020-03-19,1.06,2020-05-27
MP,0.92,0.34,2020-03-20,0.35,2020-05-27
MS,1.77,1.02,2020-03-19,1.12,2020-05-27
MT,1.41,0.51,2020-03-27,0.68,2020-05-27
NC,1.84,0.95,2020-03-26,1.05,2020-05-27
ND,1.17,0.94,2020-03-28,1.06,2020-05-27
NE,1.56,1.01,2020-03-20,1.11,2020-05-27
NH,1.73,1.03,2020-03-22,1.12,2020-05-27
NJ,2.55,0.93,2020-03-18,0.93,2020-05-27
NM,1.60,1.00,2020-03-28,1.01,2020-05-27
NV,1.71,0.92,2020-03-17,1.05,2020-05-27
NY,3.70,0.85,2020-03-14,0.87,2020-05-27
OH,1.66,0.99,2020-03-25,1.10,2020-05-27
OK,1.76,0.80,2020-03-15,0.96,2020-05-27
OR,1.58,0.83,2020-03-19,0.85,2020-05-27
PA,2.08,0.93,2020-03-28,0.94,2020-05-27
PR,2.15,0.80,2020-03-17,0.82,2020-05-27
RI,1.72,0.99,2020-03-27,1.06,2020-05-27
SC,1.63,1.00,2020-03-19,1.10,2020-05-27
SD,0.98,0.99,2020-03-25,1.09,2020-05-27
TN,1.74,0.84,2020-03-13,1.00,2020-05-27
TX,1.73,0.98,2020-03-18,1.07,2020-05-27
UT,1.11,0.98,2020-03-28,1.09,2020-05-27
VA,1.46,0.98,2020-03-31,0.99,2020-05-27
VI,1.44,0.33,2020-03-20,0.35,2020-05-27
VT,1.17,0.54,2020-03-20,0.56,2020-05-27
WA,1.53,0.88,2020-03-13,0.90,2020-05-27
WI,2.00,0.89,2020-03-15,1.03,2020-05-27
WV,1.40,0.76,2020-03-31,0.93,2020-05-27
WY,1.10,0.79,2020-03-28,1.00,2020-05-27
