combined_subregion,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Canada-Alberta,1.59,2020-03-22,0.91,2020-05-25,1.32,2020-07-30,1.03
Canada-British Columbia,1.14,2020-03-23,0.78,2020-05-19,1.06,2020-07-30,0.99
Canada-Ontario,1.79,2020-03-29,0.82,2020-06-01,1.04,2020-07-30,1.02
Canada-Quebec,2.08,2020-03-28,0.86,2020-06-01,0.96,2020-07-30,0.94
US-AZ-Maricopa,1.38,2020-03-21,1.00,2020-05-11,1.42,2020-07-30,0.92
US-CA-Alameda,1.24,2020-03-23,0.75,2020-06-01,1.19,2020-07-30,1.00
US-CA-Los Angeles,2.42,2020-03-13,1.00,2020-06-05,1.17,2020-07-30,0.96
US-CA-Orange,1.36,2020-03-24,1.02,2020-05-26,1.25,2020-07-30,0.99
US-CA-Riverside,1.64,2020-03-22,0.95,2020-05-23,1.24,2020-07-30,0.98
US-CA-Sacramento,1.14,2020-03-24,0.80,2020-05-23,1.45,2020-07-30,1.01
US-CA-San Bernardino,1.40,2020-03-23,0.89,2020-05-23,1.30,2020-07-30,0.99
US-CA-San Diego,1.42,2020-03-22,0.89,2020-05-23,1.24,2020-07-30,0.99
US-CA-Santa Clara,1.30,2020-03-09,0.69,2020-06-05,1.22,2020-07-30,1.04
US-FL-Broward,1.55,2020-03-21,0.84,2020-05-20,1.54,2020-07-30,0.94
US-FL-Hillsborough,1.41,2020-03-24,1.00,2020-05-15,1.40,2020-07-30,0.96
US-FL-Miami-Dade,2.82,2020-03-14,0.88,2020-05-20,1.34,2020-07-30,0.93
US-FL-Orange,1.32,2020-03-23,0.87,2020-05-15,1.54,2020-07-30,0.96
US-FL-Palm Beach,1.82,2020-03-10,0.91,2020-05-20,1.33,2020-07-30,0.95
US-IL-Cook,2.57,2020-03-19,0.94,2020-06-15,1.12,2020-07-30,1.01
US-LA-Orleans,1.83,2020-03-11,0.58,2020-05-15,1.08,2020-07-30,0.90
US-MA-Middlesex,2.33,2020-03-27,0.81,2020-06-06,1.14,2020-07-30,1.03
US-MA-Suffolk,1.83,2020-03-29,0.77,2020-06-06,1.13,2020-07-30,1.01
US-MI-Wayne,2.80,2020-03-11,0.76,2020-06-08,1.18,2020-07-30,1.06
US-NJ-Bergen,2.75,2020-03-10,0.82,2020-06-15,0.97,2020-07-30,0.90
US-NJ-Essex,3.81,2020-03-13,0.77,2020-06-15,0.97,2020-07-30,0.88
US-NJ-Hudson,1.80,2020-03-23,0.75,2020-06-15,0.96,2020-07-30,0.87
US-NV-Clark,1.58,2020-03-13,0.84,2020-05-15,1.43,2020-07-30,0.98
US-NV-Washoe,2.75,2020-03-17,0.84,2020-05-15,1.24,2020-07-30,0.99
US-NY-Nassau,4.04,2020-03-13,0.74,2020-06-01,0.95,2020-07-30,0.81
US-NY-New York City,5.43,2020-03-09,0.70,2020-06-08,1.11,2020-07-30,0.94
US-NY-Suffolk,3.41,2020-03-15,0.81,2020-06-01,0.96,2020-07-30,0.86
US-NY-Westchester,4.41,2020-03-17,0.71,2020-06-01,0.96,2020-07-30,0.84
US-PA-Philadelphia,3.79,2020-03-16,0.88,2020-06-15,1.08,2020-07-30,1.01
US-TX-Bexar,1.27,2020-03-24,0.89,2020-05-01,1.44,2020-07-30,0.96
US-TX-Dallas,1.67,2020-03-21,0.99,2020-05-01,1.28,2020-07-30,0.96
US-TX-Harris,1.60,2020-03-22,0.95,2020-05-01,1.33,2020-07-30,0.99
US-TX-Tarrant,1.60,2020-03-23,0.94,2020-05-01,1.24,2020-07-30,0.99
US-WA-King,1.91,2020-03-04,0.85,2020-06-08,1.18,2020-07-30,1.03
