region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.00,2020-05-24
AK,1.92,0.40,2020-03-15,0.43,2020-05-24
AL,1.96,0.96,2020-03-17,1.06,2020-05-24
AR,0.93,0.82,2020-03-18,0.90,2020-05-24
AZ,1.02,1.01,2020-03-17,1.11,2020-05-24
CA,1.61,0.98,2020-03-23,0.98,2020-05-24
CO,1.59,0.97,2020-03-17,1.06,2020-05-24
CT,2.34,0.89,2020-03-23,0.89,2020-05-24
DC,1.62,0.92,2020-03-30,0.92,2020-05-24
DE,1.83,0.97,2020-03-25,0.98,2020-05-24
FL,1.68,0.97,2020-03-20,1.05,2020-05-24
GA,2.04,0.95,2020-03-17,1.04,2020-05-24
GU,0.63,0.49,2020-03-20,0.50,2020-05-24
HI,2.24,0.49,2020-03-17,0.49,2020-05-24
IA,1.15,0.99,2020-03-19,1.10,2020-05-24
ID,1.65,0.52,2020-03-21,0.56,2020-05-24
IL,2.12,1.02,2020-03-19,1.03,2020-05-24
IN,1.81,0.98,2020-03-21,1.08,2020-05-24
KS,1.26,0.80,2020-03-27,0.88,2020-05-24
KY,1.53,0.91,2020-03-17,0.96,2020-05-24
LA,2.14,0.87,2020-03-15,0.95,2020-05-24
MA,1.94,0.88,2020-03-29,0.96,2020-05-24
MD,1.97,0.94,2020-03-27,1.02,2020-05-24
ME,2.25,0.71,2020-03-17,0.71,2020-05-24
MI,2.46,0.82,2020-03-18,0.82,2020-05-24
MN,1.79,0.99,2020-04-01,1.07,2020-05-24
MO,1.66,0.98,2020-03-19,1.07,2020-05-24
MP,0.92,0.38,2020-03-20,0.38,2020-05-24
MS,1.37,1.02,2020-03-19,1.13,2020-05-24
MT,1.37,0.53,2020-03-27,0.59,2020-05-24
NC,1.85,0.93,2020-03-26,0.99,2020-05-24
ND,0.92,0.94,2020-03-28,1.03,2020-05-24
NE,1.09,0.96,2020-03-20,1.05,2020-05-24
NH,1.71,1.03,2020-03-22,1.12,2020-05-24
NJ,2.55,0.93,2020-03-18,0.93,2020-05-24
NM,1.57,1.01,2020-03-28,1.01,2020-05-24
NV,1.43,0.87,2020-03-17,0.96,2020-05-24
NY,3.68,0.85,2020-03-14,0.85,2020-05-24
OH,1.64,1.00,2020-03-25,1.10,2020-05-24
OK,1.78,0.78,2020-03-15,0.86,2020-05-24
OR,1.56,0.83,2020-03-19,0.83,2020-05-24
PA,2.07,0.93,2020-03-28,0.94,2020-05-24
PR,2.13,0.77,2020-03-17,0.78,2020-05-24
RI,1.73,0.97,2020-03-27,1.01,2020-05-24
SC,1.68,0.97,2020-03-19,1.07,2020-05-24
SD,0.59,0.98,2020-03-25,1.07,2020-05-24
TN,1.74,0.84,2020-03-13,0.92,2020-05-24
TX,1.70,0.98,2020-03-18,1.07,2020-05-24
UT,1.11,0.97,2020-03-28,1.06,2020-05-24
VA,1.48,0.95,2020-04-01,0.95,2020-05-24
VI,1.40,0.37,2020-03-20,0.37,2020-05-24
VT,1.17,0.54,2020-03-20,0.54,2020-05-24
WA,1.53,0.87,2020-03-13,0.87,2020-05-24
WI,2.02,0.87,2020-03-15,0.95,2020-05-24
WV,1.41,0.74,2020-03-31,0.81,2020-05-24
WY,1.23,0.73,2020-03-28,0.84,2020-05-24
