region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.91,2020-03-18,1.01,2020-06-03
AK,2.07,0.36,2020-03-15,0.49,2020-06-03
AL,1.96,0.97,2020-03-17,1.07,2020-06-03
AR,1.41,0.95,2020-03-18,1.07,2020-06-03
AZ,1.27,0.96,2020-04-13,1.07,2020-06-03
CA,1.65,0.99,2020-03-23,1.05,2020-06-03
CO,1.28,0.90,2020-04-02,1.03,2020-06-03
CT,2.33,0.89,2020-03-23,0.98,2020-06-03
DC,1.64,0.91,2020-03-30,0.92,2020-06-03
DE,1.37,0.88,2020-04-09,0.97,2020-06-03
FL,1.74,0.97,2020-03-20,1.07,2020-06-03
GA,2.03,0.97,2020-03-17,1.05,2020-06-03
GU,0.63,0.40,2020-03-20,0.50,2020-06-03
HI,2.15,0.34,2020-03-17,0.43,2020-06-03
IA,1.82,0.99,2020-03-21,1.04,2020-06-03
ID,1.92,0.64,2020-03-21,0.82,2020-06-03
IL,2.26,0.94,2020-03-20,1.02,2020-06-03
IN,1.89,0.93,2020-03-22,1.05,2020-06-03
KS,1.28,0.82,2020-03-27,0.98,2020-06-03
KY,1.80,0.95,2020-03-17,1.06,2020-06-03
LA,2.12,0.88,2020-03-15,1.03,2020-06-03
MA,1.96,0.89,2020-03-29,0.93,2020-06-03
MD,1.97,0.95,2020-03-27,1.06,2020-06-03
ME,1.36,0.82,2020-03-25,0.92,2020-06-03
MI,2.44,0.84,2020-03-18,0.94,2020-06-03
MN,1.79,1.00,2020-04-01,1.08,2020-06-03
MO,1.66,0.97,2020-03-19,1.07,2020-06-03
MP,0.86,0.36,2020-03-20,0.46,2020-06-03
MS,1.38,0.98,2020-04-10,1.08,2020-06-03
MT,1.39,0.52,2020-03-27,0.69,2020-06-03
NC,1.77,1.00,2020-03-25,1.08,2020-06-03
ND,1.15,0.95,2020-03-28,1.01,2020-06-03
NE,1.77,0.97,2020-03-20,1.02,2020-06-03
NH,1.39,0.94,2020-04-12,1.05,2020-06-03
NJ,2.57,0.92,2020-03-18,0.92,2020-06-03
NM,1.60,0.98,2020-03-28,1.04,2020-06-03
NV,1.81,0.92,2020-03-17,1.05,2020-06-03
NY,3.67,0.85,2020-03-14,0.95,2020-06-03
OH,1.68,0.98,2020-03-25,1.07,2020-06-03
OK,1.72,0.80,2020-03-15,0.95,2020-06-03
OR,1.55,0.85,2020-03-19,0.95,2020-06-03
PA,2.09,0.91,2020-03-28,0.95,2020-06-03
PR,2.11,0.81,2020-03-17,0.92,2020-06-03
RI,1.74,0.98,2020-03-27,1.07,2020-06-03
SC,1.67,0.98,2020-03-19,1.07,2020-06-03
SD,0.98,0.99,2020-03-25,1.04,2020-06-03
TN,2.03,0.90,2020-03-14,1.04,2020-06-03
TX,1.72,0.97,2020-03-18,1.04,2020-06-03
UT,1.13,0.98,2020-03-28,1.08,2020-06-03
VA,1.47,0.97,2020-03-31,1.04,2020-06-03
VI,1.42,0.32,2020-03-20,0.41,2020-06-03
VT,1.15,0.55,2020-03-20,0.66,2020-06-03
WA,1.55,0.87,2020-03-13,1.01,2020-06-03
WI,1.91,0.94,2020-03-14,1.06,2020-06-03
WV,1.45,0.75,2020-03-31,0.91,2020-06-03
WY,1.24,0.82,2020-03-28,0.94,2020-06-03
