region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.92,2020-03-18,1.04,2020-06-29
AK,1.96,0.49,2020-03-15,0.97,2020-06-29
AL,1.48,0.96,2020-04-03,1.11,2020-06-29
AR,1.32,1.02,2020-04-04,1.08,2020-06-29
AZ,1.28,0.97,2020-04-13,1.07,2020-06-29
CA,1.71,1.00,2020-03-23,1.09,2020-06-29
CO,1.27,0.89,2020-04-02,1.04,2020-06-29
CT,2.18,0.87,2020-03-24,0.98,2020-06-29
DC,1.66,0.90,2020-03-30,1.01,2020-06-29
DE,1.42,0.87,2020-04-09,1.02,2020-06-29
FL,1.83,0.95,2020-03-20,1.06,2020-06-29
GA,2.05,0.98,2020-03-17,1.06,2020-06-29
GU,0.79,0.45,2020-03-20,0.80,2020-06-29
HI,2.14,0.50,2020-03-17,0.87,2020-06-29
IA,1.29,0.85,2020-04-24,0.98,2020-06-29
ID,2.19,0.67,2020-03-21,1.11,2020-06-29
IL,2.15,0.94,2020-03-22,1.04,2020-06-29
IN,1.56,0.90,2020-04-01,1.05,2020-06-29
KS,1.24,0.84,2020-03-27,1.01,2020-06-29
KY,1.86,0.94,2020-03-17,1.08,2020-06-29
LA,2.08,0.87,2020-03-15,1.03,2020-06-29
MA,1.88,0.88,2020-03-29,1.00,2020-06-29
MD,1.98,0.93,2020-03-27,1.04,2020-06-29
ME,1.69,0.83,2020-03-25,1.03,2020-06-29
MI,1.98,0.83,2020-03-18,1.03,2020-06-29
MN,1.85,0.93,2020-04-02,1.06,2020-06-29
MO,1.87,0.90,2020-03-20,1.06,2020-06-29
MP,1.03,0.43,2020-03-20,0.76,2020-06-29
MS,1.43,0.93,2020-04-10,1.07,2020-06-29
MT,1.42,0.54,2020-03-27,1.01,2020-06-29
NC,2.01,0.96,2020-03-26,1.06,2020-06-29
ND,1.41,0.89,2020-03-28,0.93,2020-06-29
NE,1.94,1.01,2020-03-20,1.01,2020-06-29
NH,1.44,0.92,2020-04-13,1.06,2020-06-29
NJ,2.53,0.89,2020-03-19,0.97,2020-06-29
NM,1.40,0.93,2020-04-08,1.06,2020-06-29
NV,1.88,0.91,2020-03-17,1.11,2020-06-29
NY,3.69,0.82,2020-03-13,0.98,2020-06-29
OH,1.51,0.93,2020-04-03,1.06,2020-06-29
OK,1.79,0.77,2020-03-15,1.01,2020-06-29
OR,1.66,0.90,2020-03-19,1.11,2020-06-29
PA,1.76,0.87,2020-04-03,1.03,2020-06-29
PR,2.28,0.84,2020-03-17,1.04,2020-06-29
RI,1.53,0.93,2020-04-05,1.03,2020-06-29
SC,1.82,0.99,2020-03-19,1.07,2020-06-29
SD,1.16,0.98,2020-03-25,1.01,2020-06-29
TN,2.08,0.97,2020-03-13,1.07,2020-06-29
TX,1.93,0.95,2020-03-18,1.08,2020-06-29
UT,1.50,0.99,2020-03-28,1.07,2020-06-29
VA,1.54,0.92,2020-04-03,1.06,2020-06-29
VI,1.60,0.43,2020-03-20,0.76,2020-06-29
VT,1.32,0.56,2020-03-20,0.96,2020-06-29
WA,1.60,0.81,2020-03-13,1.09,2020-06-29
WI,2.07,0.96,2020-03-14,1.07,2020-06-29
WV,1.50,0.75,2020-03-31,0.93,2020-06-29
WY,1.57,0.79,2020-03-28,0.92,2020-06-29
