combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.47,0.79,2020-03-22,0.98,2020-06-21
Canada-British Columbia,1.18,0.81,2020-03-23,1.01,2020-06-21
Canada-Ontario,1.74,0.86,2020-03-30,0.92,2020-06-21
Canada-Quebec,2.12,0.92,2020-03-29,0.94,2020-06-21
US-AZ-Maricopa,1.24,0.99,2020-03-21,1.07,2020-06-21
US-CA-Alameda,1.32,0.81,2020-03-23,0.96,2020-06-21
US-CA-Los Angeles,2.27,1.01,2020-03-12,1.07,2020-06-21
US-CA-Orange,1.25,1.05,2020-03-24,1.11,2020-06-21
US-CA-Riverside,1.42,0.96,2020-03-22,1.09,2020-06-21
US-CA-Sacramento,1.09,0.74,2020-03-24,0.96,2020-06-21
US-CA-San Bernardino,1.29,0.87,2020-03-23,1.04,2020-06-21
US-CA-San Diego,1.28,0.91,2020-03-22,1.06,2020-06-21
US-CA-Santa Clara,1.17,0.76,2020-03-09,0.88,2020-06-21
US-FL-Broward,1.31,0.85,2020-03-21,1.04,2020-06-21
US-FL-Hillsborough,1.39,1.00,2020-03-24,1.09,2020-06-21
US-FL-Miami-Dade,2.77,0.87,2020-03-14,1.04,2020-06-21
US-FL-Orange,1.47,0.79,2020-03-23,1.01,2020-06-21
US-FL-Palm Beach,1.81,0.93,2020-03-10,1.09,2020-06-21
US-IL-Cook,3.56,0.95,2020-03-12,0.94,2020-06-21
US-LA-Orleans,1.67,0.69,2020-03-12,0.86,2020-06-21
US-MA-Middlesex,2.35,0.85,2020-03-28,0.91,2020-06-21
US-MA-Suffolk,1.73,0.81,2020-03-30,0.88,2020-06-21
US-MI-Wayne,2.90,0.85,2020-03-10,0.88,2020-06-21
US-NJ-Bergen,2.91,0.87,2020-03-09,0.84,2020-06-21
US-NJ-Essex,3.78,0.84,2020-03-13,0.80,2020-06-21
US-NJ-Hudson,1.91,0.83,2020-03-24,0.91,2020-06-21
US-NV-Clark,1.52,0.87,2020-03-13,1.06,2020-06-21
US-NV-Washoe,2.77,0.85,2020-03-17,1.03,2020-06-21
US-NY-Nassau,3.98,0.76,2020-03-11,0.78,2020-06-21
US-NY-New York City,5.39,0.80,2020-03-09,0.77,2020-06-21
US-NY-Suffolk,3.35,0.84,2020-03-13,0.86,2020-06-21
US-NY-Westchester,4.41,0.72,2020-03-15,0.76,2020-06-21
US-PA-Philadelphia,3.77,0.90,2020-03-14,0.89,2020-06-21
US-TX-Bexar,1.28,0.87,2020-03-24,1.06,2020-06-21
US-TX-Dallas,1.29,0.97,2020-03-21,1.07,2020-06-21
US-TX-Harris,1.27,0.93,2020-03-22,1.09,2020-06-21
US-TX-Tarrant,1.19,0.95,2020-03-23,1.06,2020-06-21
US-WA-King,1.87,0.88,2020-03-05,0.95,2020-06-21
