region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.29,0.93,2020-03-18,1.07,2020-07-15
AK,1.94,0.50,2020-03-15,0.94,2020-07-15
AL,1.47,0.99,2020-04-03,1.09,2020-07-15
AR,1.53,1.01,2020-04-04,1.01,2020-07-15
AZ,1.29,0.99,2020-04-13,0.99,2020-07-15
CA,1.70,1.01,2020-03-23,1.03,2020-07-15
CO,1.29,0.89,2020-04-02,1.02,2020-07-15
CT,2.15,0.83,2020-03-25,0.93,2020-07-15
DC,1.67,0.90,2020-03-30,1.03,2020-07-15
DE,1.46,0.87,2020-04-09,1.01,2020-07-15
FL,1.82,0.96,2020-03-20,1.08,2020-07-15
GA,2.08,0.98,2020-03-17,1.08,2020-07-15
GU,1.25,0.48,2020-03-20,0.87,2020-07-15
HI,2.12,0.51,2020-03-17,1.10,2020-07-15
IA,1.30,0.87,2020-04-24,1.02,2020-07-15
ID,2.29,0.68,2020-03-21,1.11,2020-07-15
IL,2.07,0.94,2020-03-25,1.03,2020-07-15
IN,1.57,0.90,2020-04-02,1.04,2020-07-15
KS,1.29,0.83,2020-03-27,1.04,2020-07-15
KY,1.86,0.95,2020-03-17,1.13,2020-07-15
LA,2.10,0.88,2020-03-15,1.09,2020-07-15
MA,1.97,0.90,2020-03-28,0.97,2020-07-15
MD,1.96,0.93,2020-03-28,1.02,2020-07-15
ME,1.67,0.85,2020-03-25,1.07,2020-07-15
MI,1.94,0.84,2020-03-18,1.07,2020-07-15
MN,1.89,0.93,2020-04-02,1.05,2020-07-15
MO,1.90,0.91,2020-03-20,1.06,2020-07-15
MP,1.43,0.43,2020-03-20,0.85,2020-07-15
MS,1.44,0.95,2020-04-10,1.04,2020-07-15
MT,1.28,0.71,2020-03-27,1.13,2020-07-15
NC,2.08,0.98,2020-03-26,1.01,2020-07-15
ND,1.40,0.91,2020-03-28,0.99,2020-07-15
NE,2.26,1.01,2020-03-22,0.93,2020-07-15
NH,1.50,0.87,2020-04-15,0.90,2020-07-15
NJ,2.55,0.88,2020-03-19,1.02,2020-07-15
NM,1.42,0.94,2020-04-08,1.06,2020-07-15
NV,1.87,0.93,2020-03-17,1.16,2020-07-15
NY,3.64,0.83,2020-03-13,0.99,2020-07-15
OH,1.54,0.92,2020-04-03,1.06,2020-07-15
OK,1.82,0.78,2020-03-15,1.01,2020-07-15
OR,1.67,0.93,2020-03-19,1.11,2020-07-15
PA,1.80,0.88,2020-04-03,1.01,2020-07-15
PR,2.27,0.86,2020-03-17,1.09,2020-07-15
RI,1.68,0.88,2020-04-05,0.95,2020-07-15
SC,1.83,1.01,2020-03-19,1.06,2020-07-15
SD,1.21,1.00,2020-03-25,0.94,2020-07-15
TN,2.03,0.98,2020-03-13,1.05,2020-07-15
TX,1.97,0.97,2020-03-18,1.04,2020-07-15
UT,1.53,0.99,2020-03-28,1.07,2020-07-15
VA,1.55,0.93,2020-04-03,1.14,2020-07-15
VI,1.90,0.57,2020-03-20,1.12,2020-07-15
VT,1.39,0.59,2020-03-20,0.98,2020-07-15
WA,1.58,0.89,2020-03-12,1.06,2020-07-15
WI,2.08,0.95,2020-03-14,1.02,2020-07-15
WV,1.52,0.76,2020-03-31,0.98,2020-07-15
WY,1.60,0.70,2020-03-28,0.90,2020-07-15
