country,initial_r_0,post_mitigation_r,inflection_date
Ukraine,1.4421435874566328,1.0121019496764148,2020-03-24
Colombia,1.93751092583116,1.0106240047098314,2020-03-20
South Africa,1.5691563716316164,1.0092148224790423,2020-03-27
Saudi Arabia,1.6164164187781973,1.006323034494472,2020-03-19
Brazil,1.4174650843606125,1.0055146971085538,2020-04-17
India,1.30414222972199,1.0030381239261033,2020-04-20
Russia,1.428020310038785,0.9992961070961123,2020-04-20
Moldova,1.2078488349642882,0.9926262177981512,2020-03-21
Mexico,2.026723872861655,0.987536092759953,2020-04-02
Pakistan,1.4855702373598327,0.9724516677168289,2020-04-09
Japan,1.1825801727397567,0.9716164807176442,2020-03-22
Argentina,1.2687117118849183,0.971570513059552,2020-03-20
Canada,1.8311112423705107,0.95747396961025,2020-03-25
Egypt,1.4574736723077633,0.9550314101495281,2020-03-22
Sweden,1.7849119211166786,0.9468842705140059,2020-03-20
Chile,1.8779785790681285,0.9426054816488751,2020-03-20
Bulgaria,1.002153110047847,0.9389952153110048,2020-03-11
Philippines,1.2367776119511378,0.9289418983369975,2020-03-15
Poland,1.647908499067819,0.9280206171877998,2020-03-20
Ecuador,1.481488640579234,0.9261465540326623,2020-04-13
Bangladesh,1.3427188267443597,0.9245133767063577,2020-03-29
Peru,1.62962666527001,0.9182131802903828,2020-04-09
Panama,1.2990900197646416,0.9171158265680677,2020-03-20
Romania,1.6091478066029823,0.9126176424199985,2020-03-14
Italy,2.414223801693899,0.9017512225072668,2020-03-01
United Kingdom,2.4336289154914352,0.8955004982945209,2020-03-15
Nigeria,1.3082349668526967,0.8920337154474769,2020-04-17
Iran,2.309308756298962,0.8834103881324087,2020-02-25
Hungary,1.7420993543730223,0.8679611709027885,2020-03-25
Netherlands,2.4220972775767247,0.8677339883837693,2020-03-10
Finland,1.9732409754231393,0.8570314188443957,2020-03-22
Indonesia,1.6949293869726252,0.8565491733672603,2020-03-16
Germany,2.177808453421571,0.8424274906321225,2020-03-16
Croatia,1.2398365679264556,0.842339121552605,2020-03-20
Dominican Republic,2.1118569355645236,0.8398101152438627,2020-03-16
Spain,3.2015925576110074,0.8325060878360481,2020-03-05
Serbia,1.1645009587637143,0.8272231114584521,2020-03-24
France,1.6897863790007355,0.8270142495507615,2020-03-17
Portugal,2.397536360997985,0.806981543767049,2020-03-11
Belgium,2.3700560213935904,0.8020125725362073,2020-03-19
Ireland,1.6454429490905957,0.772915671838935,2020-03-29
South Korea,1.6427930305797813,0.7583994620667909,2020-02-22
Switzerland,2.1530579741245637,0.7565368043878524,2020-03-11
Denmark,2.1136401546273076,0.7548250974724334,2020-03-11
Turkey,1.650384070369569,0.742467834218628,2020-03-26
Austria,1.9466759079185625,0.7124616866153084,2020-03-13
Greece,1.8018386108273745,0.6725229826353422,2020-03-07
Norway,1.6596809211722636,0.6697455888509912,2020-03-16
Algeria,2.284829625740933,0.664268345908147,2020-03-15
Slovenia,1.4145814581458143,0.6583708370837085,2020-03-20
Israel,2.3397457241817516,0.6497601207094238,2020-03-17
Luxembourg,1.4520939734422877,0.6378447395301328,2020-03-16
Morocco,1.6696287900520534,0.6353386762327256,2020-03-15
China,1.7814341142064145,0.5917211559270393,2020-01-23
Lithuania,1.6860061287027577,0.5862104187946884,2020-03-12
Slovakia,1.9624036979969182,0.5828197226502312,2020-03-28
Czechia,2.193108820893849,0.5816752195104695,2020-03-14
Latvia,1.590194075587334,0.5303370786516853,2020-03-12
Estonia,1.9160367722165472,0.5056179775280898,2020-03-12
Malaysia,0.9394122204149998,0.49870985712821697,2020-03-20
Iceland,1.2945454545454549,0.4827272727272728,2020-03-21
Cyprus,1.2500510725229828,0.4532686414708887,2020-03-12
Malta,1.5728294177732378,0.4292134831460675,2020-03-07
