combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.80,0.86,2020-03-22,1.00,2020-07-16
Canada-British Columbia,1.19,0.84,2020-03-23,0.96,2020-07-16
Canada-Ontario,1.70,0.86,2020-03-30,0.97,2020-07-16
Canada-Quebec,1.97,0.88,2020-03-30,0.97,2020-07-16
US-AZ-Maricopa,1.45,1.00,2020-03-21,0.96,2020-07-16
US-CA-Alameda,1.36,0.84,2020-03-23,1.15,2020-07-16
US-CA-Los Angeles,2.38,1.03,2020-03-13,1.04,2020-07-16
US-CA-Orange,1.46,1.04,2020-03-24,1.07,2020-07-16
US-CA-Riverside,1.55,0.99,2020-03-22,1.12,2020-07-16
US-CA-Sacramento,1.21,0.82,2020-03-24,1.12,2020-07-16
US-CA-San Bernardino,1.46,0.93,2020-03-23,1.06,2020-07-16
US-CA-San Diego,1.40,0.98,2020-03-22,1.15,2020-07-16
US-CA-Santa Clara,1.43,0.79,2020-03-09,1.12,2020-07-16
US-FL-Broward,1.42,0.88,2020-03-21,1.10,2020-07-16
US-FL-Hillsborough,1.39,1.04,2020-03-24,1.04,2020-07-16
US-FL-Miami-Dade,2.79,0.92,2020-03-14,1.11,2020-07-16
US-FL-Orange,1.35,0.93,2020-03-23,1.12,2020-07-16
US-FL-Palm Beach,1.80,0.95,2020-03-10,1.09,2020-07-16
US-IL-Cook,2.61,0.94,2020-03-20,1.00,2020-07-16
US-LA-Orleans,1.70,0.71,2020-03-12,0.95,2020-07-16
US-MA-Middlesex,2.15,0.85,2020-03-30,1.07,2020-07-16
US-MA-Suffolk,1.74,0.81,2020-03-31,1.02,2020-07-16
US-MI-Wayne,2.70,0.85,2020-03-10,1.05,2020-07-16
US-NJ-Bergen,2.70,0.87,2020-03-09,1.05,2020-07-16
US-NJ-Essex,3.75,0.84,2020-03-12,1.02,2020-07-16
US-NJ-Hudson,1.82,0.82,2020-03-24,1.01,2020-07-16
US-NV-Clark,1.52,0.90,2020-03-13,1.15,2020-07-16
US-NV-Washoe,2.79,0.93,2020-03-17,1.05,2020-07-16
US-NY-Nassau,3.98,0.78,2020-03-12,0.96,2020-07-16
US-NY-New York City,5.27,0.78,2020-03-08,0.99,2020-07-16
US-NY-Suffolk,3.34,0.84,2020-03-13,1.03,2020-07-16
US-NY-Westchester,4.42,0.73,2020-03-16,0.93,2020-07-16
US-PA-Philadelphia,3.79,0.91,2020-03-15,1.05,2020-07-16
US-TX-Bexar,1.37,0.95,2020-03-24,1.02,2020-07-16
US-TX-Dallas,1.66,1.01,2020-03-21,0.98,2020-07-16
US-TX-Harris,1.64,0.95,2020-03-22,1.00,2020-07-16
US-TX-Tarrant,1.57,0.96,2020-03-23,0.98,2020-07-16
US-WA-King,1.85,0.89,2020-03-06,1.05,2020-07-16
