combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.41,0.81,2020-03-22,0.91,2020-05-26
Canada-British Columbia,1.13,0.85,2020-03-23,0.99,2020-05-26
Canada-Ontario,1.74,0.86,2020-03-29,0.87,2020-05-26
Canada-Quebec,2.10,0.93,2020-03-28,0.94,2020-05-26
US-AZ-Maricopa,1.22,1.03,2020-03-21,1.12,2020-05-26
US-CA-Alameda,1.28,0.83,2020-03-23,0.84,2020-05-26
US-CA-Los Angeles,2.97,0.98,2020-03-17,0.98,2020-05-26
US-CA-Orange,1.20,1.03,2020-03-24,1.07,2020-05-26
US-CA-Riverside,1.51,0.97,2020-03-22,1.05,2020-05-26
US-CA-Sacramento,1.14,0.73,2020-03-24,0.86,2020-05-26
US-CA-San Bernardino,1.31,0.92,2020-03-23,1.01,2020-05-26
US-CA-San Diego,1.31,0.96,2020-03-22,1.04,2020-05-26
US-CA-Santa Clara,2.42,0.68,2020-02-29,0.70,2020-05-26
US-FL-Broward,1.43,0.79,2020-03-21,0.93,2020-05-26
US-FL-Hillsborough,1.26,1.08,2020-03-24,1.15,2020-05-26
US-FL-Miami-Dade,3.81,0.86,2020-03-11,0.98,2020-05-26
US-FL-Orange,1.50,0.74,2020-03-23,0.90,2020-05-26
US-FL-Palm Beach,1.34,0.86,2020-03-16,0.99,2020-05-26
US-IL-Cook,3.40,1.02,2020-03-14,1.02,2020-05-26
US-LA-Orleans,1.91,0.68,2020-03-15,0.85,2020-05-26
US-MA-Middlesex,2.47,0.85,2020-03-27,0.86,2020-05-26
US-MA-Suffolk,1.81,0.76,2020-03-31,0.77,2020-05-26
US-MI-Wayne,3.60,0.82,2020-03-15,0.83,2020-05-26
US-NJ-Bergen,3.81,0.84,2020-03-15,0.85,2020-05-26
US-NJ-Essex,3.60,0.83,2020-03-15,0.84,2020-05-26
US-NJ-Hudson,2.13,0.78,2020-03-25,0.79,2020-05-26
US-NV-Clark,1.96,0.86,2020-03-15,1.01,2020-05-26
US-NV-Washoe,2.84,0.81,2020-03-17,0.97,2020-05-26
US-NY-Nassau,4.02,0.78,2020-03-14,0.79,2020-05-26
US-NY-New York City,5.61,0.77,2020-03-11,0.77,2020-05-26
US-NY-Suffolk,3.22,0.89,2020-03-15,0.90,2020-05-26
US-NY-Westchester,4.41,0.74,2020-03-15,0.76,2020-05-26
US-PA-Philadelphia,3.78,0.97,2020-03-14,0.97,2020-05-26
US-TX-Bexar,1.18,0.78,2020-03-24,0.95,2020-05-26
US-TX-Dallas,1.26,1.01,2020-03-21,1.09,2020-05-26
US-TX-Harris,1.31,0.91,2020-03-22,1.02,2020-05-26
US-TX-Tarrant,1.19,0.98,2020-03-23,1.07,2020-05-26
US-WA-King,2.18,0.81,2020-03-17,0.83,2020-05-26
