region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.26,0.91,2020-03-18,1.01,2020-05-25
AK,1.92,0.40,2020-03-15,0.55,2020-05-25
AL,1.96,0.97,2020-03-17,1.08,2020-05-25
AR,0.98,0.84,2020-03-18,0.99,2020-05-25
AZ,1.03,1.02,2020-03-17,1.11,2020-05-25
CA,1.61,0.98,2020-03-23,0.99,2020-05-25
CO,1.59,0.98,2020-03-17,1.08,2020-05-25
CT,2.34,0.89,2020-03-23,0.90,2020-05-25
DC,1.63,0.93,2020-03-30,0.93,2020-05-25
DE,1.81,0.98,2020-03-25,0.99,2020-05-25
FL,1.69,0.97,2020-03-20,1.07,2020-05-25
GA,2.04,0.95,2020-03-17,1.07,2020-05-25
GU,0.63,0.45,2020-03-20,0.46,2020-05-25
HI,2.16,0.43,2020-03-17,0.44,2020-05-25
IA,1.19,0.99,2020-03-19,1.10,2020-05-25
ID,1.63,0.52,2020-03-21,0.69,2020-05-25
IL,2.12,1.03,2020-03-19,1.03,2020-05-25
IN,1.81,0.99,2020-03-21,1.09,2020-05-25
KS,1.26,0.83,2020-03-27,0.98,2020-05-25
KY,1.52,0.92,2020-03-17,1.01,2020-05-25
LA,2.14,0.87,2020-03-15,1.01,2020-05-25
MA,1.94,0.88,2020-03-29,1.01,2020-05-25
MD,1.97,0.94,2020-03-27,1.05,2020-05-25
ME,2.20,0.78,2020-03-17,0.79,2020-05-25
MI,2.47,0.83,2020-03-18,0.84,2020-05-25
MN,1.80,0.99,2020-04-01,1.08,2020-05-25
MO,1.67,0.99,2020-03-19,1.09,2020-05-25
MP,0.92,0.34,2020-03-20,0.34,2020-05-25
MS,1.40,1.03,2020-03-19,1.12,2020-05-25
MT,1.41,0.50,2020-03-27,0.67,2020-05-25
NC,1.85,0.94,2020-03-26,1.03,2020-05-25
ND,0.93,0.94,2020-03-28,1.07,2020-05-25
NE,1.09,0.98,2020-03-20,1.09,2020-05-25
NH,1.73,1.03,2020-03-22,1.11,2020-05-25
NJ,2.55,0.93,2020-03-18,0.93,2020-05-25
NM,1.57,1.01,2020-03-28,1.02,2020-05-25
NV,1.42,0.90,2020-03-17,1.04,2020-05-25
NY,3.69,0.85,2020-03-14,0.86,2020-05-25
OH,1.64,1.00,2020-03-25,1.10,2020-05-25
OK,1.77,0.80,2020-03-15,0.96,2020-05-25
OR,1.57,0.84,2020-03-19,0.85,2020-05-25
PA,2.08,0.93,2020-03-28,0.94,2020-05-25
PR,2.14,0.80,2020-03-17,0.81,2020-05-25
RI,1.76,0.97,2020-03-27,1.02,2020-05-25
SC,1.66,0.98,2020-03-19,1.09,2020-05-25
SD,0.63,1.00,2020-03-25,1.09,2020-05-25
TN,1.74,0.84,2020-03-13,0.99,2020-05-25
TX,1.71,0.99,2020-03-18,1.08,2020-05-25
UT,1.10,0.98,2020-03-28,1.09,2020-05-25
VA,1.48,0.96,2020-04-01,0.96,2020-05-25
VI,1.47,0.33,2020-03-20,0.34,2020-05-25
VT,1.16,0.54,2020-03-20,0.55,2020-05-25
WA,1.53,0.88,2020-03-13,0.88,2020-05-25
WI,2.02,0.88,2020-03-15,1.02,2020-05-25
WV,1.39,0.76,2020-03-31,0.93,2020-05-25
WY,1.23,0.73,2020-03-28,0.94,2020-05-25
