region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.27,0.92,2020-03-18,1.04,2020-06-20
AK,1.96,0.42,2020-03-15,0.65,2020-06-20
AL,1.34,0.96,2020-04-03,1.10,2020-06-20
AR,1.21,1.02,2020-04-04,1.10,2020-06-20
AZ,1.27,0.97,2020-04-13,1.08,2020-06-20
CA,1.62,1.00,2020-03-23,1.08,2020-06-20
CO,1.27,0.89,2020-04-02,1.03,2020-06-20
CT,2.29,0.88,2020-03-24,0.93,2020-06-20
DC,1.66,0.90,2020-03-30,0.91,2020-06-20
DE,1.41,0.88,2020-04-09,0.98,2020-06-20
FL,1.75,0.96,2020-03-20,1.08,2020-06-20
GA,2.05,0.98,2020-03-17,1.05,2020-06-20
GU,0.73,0.36,2020-03-20,0.51,2020-06-20
HI,2.12,0.43,2020-03-17,0.59,2020-06-20
IA,1.22,0.85,2020-04-24,0.98,2020-06-20
ID,2.06,0.65,2020-03-21,0.97,2020-06-20
IL,2.15,0.95,2020-03-22,1.00,2020-06-20
IN,1.56,0.89,2020-04-02,1.04,2020-06-20
KS,1.24,0.83,2020-03-27,1.03,2020-06-20
KY,1.86,0.94,2020-03-17,1.06,2020-06-20
LA,2.19,0.88,2020-03-15,1.02,2020-06-20
MA,2.00,0.90,2020-03-28,0.90,2020-06-20
MD,1.98,0.93,2020-03-27,1.00,2020-06-20
ME,1.50,0.80,2020-03-25,0.95,2020-06-20
MI,2.06,0.85,2020-03-18,0.88,2020-06-20
MN,1.81,0.98,2020-04-02,1.04,2020-06-20
MO,1.86,0.90,2020-03-20,1.05,2020-06-20
MP,1.02,0.34,2020-03-20,0.48,2020-06-20
MS,1.44,0.93,2020-04-10,1.04,2020-06-20
MT,1.38,0.51,2020-03-27,0.79,2020-06-20
NC,1.87,0.97,2020-03-25,1.08,2020-06-20
ND,1.36,0.90,2020-03-28,0.98,2020-06-20
NE,1.86,1.00,2020-03-20,1.04,2020-06-20
NH,1.40,0.95,2020-04-12,1.06,2020-06-20
NJ,2.53,0.92,2020-03-18,0.86,2020-06-20
NM,1.39,0.94,2020-04-08,1.02,2020-06-20
NV,1.87,0.92,2020-03-17,1.06,2020-06-20
NY,3.75,0.84,2020-03-12,0.81,2020-06-20
OH,1.51,0.93,2020-04-02,1.06,2020-06-20
OK,1.79,0.77,2020-03-15,1.02,2020-06-20
OR,1.57,0.87,2020-03-19,1.11,2020-06-20
PA,1.83,0.89,2020-04-03,0.94,2020-06-20
PR,2.17,0.81,2020-03-17,0.96,2020-06-20
RI,1.53,0.92,2020-04-05,1.01,2020-06-20
SC,1.70,0.98,2020-03-19,1.10,2020-06-20
SD,1.11,0.97,2020-03-25,1.03,2020-06-20
TN,1.96,0.95,2020-03-13,1.08,2020-06-20
TX,1.75,0.97,2020-03-18,1.09,2020-06-20
UT,1.16,1.00,2020-03-28,1.11,2020-06-20
VA,1.48,0.91,2020-04-03,1.01,2020-06-20
VI,1.63,0.33,2020-03-20,0.46,2020-06-20
VT,1.32,0.58,2020-03-20,0.78,2020-06-20
WA,1.55,0.88,2020-03-13,1.05,2020-06-20
WI,1.89,0.95,2020-03-13,1.07,2020-06-20
WV,1.50,0.75,2020-03-31,0.94,2020-06-20
WY,1.47,0.79,2020-03-28,1.04,2020-06-20
