combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.80,0.86,2020-03-22,1.00,2020-07-17
Canada-British Columbia,1.19,0.84,2020-03-23,0.96,2020-07-17
Canada-Ontario,1.70,0.86,2020-03-30,0.97,2020-07-17
Canada-Quebec,1.97,0.88,2020-03-30,0.97,2020-07-17
US-AZ-Maricopa,1.50,0.99,2020-03-21,0.96,2020-07-17
US-CA-Alameda,1.33,0.86,2020-03-23,1.18,2020-07-17
US-CA-Los Angeles,2.39,1.03,2020-03-13,1.04,2020-07-17
US-CA-Orange,1.45,1.04,2020-03-24,1.06,2020-07-17
US-CA-Riverside,1.55,0.99,2020-03-22,1.10,2020-07-17
US-CA-Sacramento,1.21,0.82,2020-03-24,1.12,2020-07-17
US-CA-San Bernardino,1.45,0.93,2020-03-23,1.06,2020-07-17
US-CA-San Diego,1.41,0.97,2020-03-22,1.14,2020-07-17
US-CA-Santa Clara,1.43,0.79,2020-03-09,1.12,2020-07-17
US-FL-Broward,1.42,0.89,2020-03-21,1.11,2020-07-17
US-FL-Hillsborough,1.37,1.05,2020-03-24,1.02,2020-07-17
US-FL-Miami-Dade,2.79,0.92,2020-03-14,1.10,2020-07-17
US-FL-Orange,1.34,0.93,2020-03-23,1.11,2020-07-17
US-FL-Palm Beach,1.80,0.95,2020-03-10,1.09,2020-07-17
US-IL-Cook,2.61,0.94,2020-03-20,1.00,2020-07-17
US-LA-Orleans,1.70,0.71,2020-03-12,0.95,2020-07-17
US-MA-Middlesex,2.15,0.85,2020-03-30,1.07,2020-07-17
US-MA-Suffolk,1.74,0.81,2020-03-31,1.02,2020-07-17
US-MI-Wayne,2.70,0.85,2020-03-10,1.05,2020-07-17
US-NJ-Bergen,2.70,0.87,2020-03-09,1.05,2020-07-17
US-NJ-Essex,3.75,0.84,2020-03-12,1.02,2020-07-17
US-NJ-Hudson,1.81,0.82,2020-03-24,1.00,2020-07-17
US-NV-Clark,1.52,0.90,2020-03-13,1.15,2020-07-17
US-NV-Washoe,2.79,0.93,2020-03-17,1.04,2020-07-17
US-NY-Nassau,3.98,0.78,2020-03-12,0.95,2020-07-17
US-NY-New York City,5.27,0.78,2020-03-08,0.99,2020-07-17
US-NY-Suffolk,3.34,0.84,2020-03-13,1.02,2020-07-17
US-NY-Westchester,4.42,0.73,2020-03-16,0.93,2020-07-17
US-PA-Philadelphia,3.79,0.91,2020-03-15,1.05,2020-07-17
US-TX-Bexar,1.38,0.95,2020-03-24,1.01,2020-07-17
US-TX-Dallas,1.71,0.99,2020-03-21,0.98,2020-07-17
US-TX-Harris,1.64,0.95,2020-03-22,1.00,2020-07-17
US-TX-Tarrant,1.57,0.96,2020-03-23,0.98,2020-07-17
US-WA-King,1.85,0.89,2020-03-06,1.04,2020-07-17
