country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.60,2020-03-14,0.86,2020-06-14,1.05,2020-09-24,0.98
Argentina,1.46,2020-03-17,1.08,2020-06-28,1.25,2020-09-24,0.95
Australia,1.29,2020-03-23,0.71,2020-06-01,1.76,2020-09-24,0.80
Austria,1.87,2020-03-12,0.64,2020-05-25,1.18,2020-09-24,1.08
Bangladesh,1.95,2020-03-28,1.06,2020-05-15,1.07,2020-09-24,0.98
Belarus,1.63,2020-04-06,0.98,2020-05-25,1.09,2020-09-24,1.01
Belgium,2.90,2020-03-14,0.68,2020-05-25,1.37,2020-09-24,1.03
Bolivia,1.66,2020-04-05,1.04,2020-06-01,1.22,2020-09-24,0.92
Brazil,1.87,2020-04-08,1.02,2020-06-15,1.13,2020-09-24,0.93
Bulgaria,1.65,2020-03-12,0.98,2020-05-25,1.30,2020-09-24,0.98
Canada,2.01,2020-03-25,0.84,2020-05-25,1.10,2020-09-24,1.05
Chile,1.40,2020-05-18,0.94,2020-07-20,1.08,2020-09-24,0.95
China,3.44,2020-01-21,0.62,2020-04-08,1.03,2020-09-24,0.98
Colombia,2.44,2020-03-19,1.15,2020-06-01,1.25,2020-09-24,0.91
Croatia,1.36,2020-03-20,0.73,2020-05-25,1.35,2020-09-24,1.02
Cuba,1.18,2020-04-08,0.66,2020-06-01,1.19,2020-09-24,1.00
Cyprus,1.56,2020-03-12,0.49,2020-05-25,1.01,2020-09-24,0.95
Czechia,2.16,2020-03-14,0.51,2020-05-25,1.42,2020-09-24,1.11
Denmark,2.44,2020-03-09,0.64,2020-05-25,1.12,2020-09-24,1.05
Dominican Republic,2.61,2020-03-15,0.89,2020-06-01,1.18,2020-09-24,0.98
Ecuador,1.86,2020-04-10,0.87,2020-06-01,1.11,2020-09-24,0.96
Egypt,1.91,2020-03-20,1.07,2020-06-15,0.84,2020-09-24,1.03
Estonia,2.42,2020-03-11,0.42,2020-05-25,0.79,2020-09-24,0.83
Finland,1.75,2020-03-26,0.65,2020-05-25,0.97,2020-09-24,0.96
France,1.77,2020-03-14,0.76,2020-05-25,1.37,2020-09-24,1.04
Germany,2.50,2020-03-14,0.75,2020-05-25,1.17,2020-09-24,1.00
Greece,1.54,2020-03-08,0.64,2020-05-25,1.43,2020-09-24,1.09
Honduras,1.51,2020-04-06,0.98,2020-06-01,1.17,2020-09-24,0.96
Hungary,1.86,2020-03-24,0.75,2020-05-25,1.29,2020-09-24,1.10
Iceland,1.42,2020-03-21,0.47,2020-05-15,0.98,2020-09-24,0.96
India,1.59,2020-04-19,1.10,2020-05-15,1.11,2020-09-24,1.00
Indonesia,1.60,2020-03-15,1.02,2020-06-15,1.09,2020-09-24,1.05
