region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.29,0.93,2020-03-18,1.08,2020-07-10
AK,1.93,0.56,2020-03-15,0.98,2020-07-10
AL,1.47,0.99,2020-04-03,1.10,2020-07-10
AR,1.36,1.02,2020-04-04,1.06,2020-07-10
AZ,1.28,1.00,2020-04-13,1.01,2020-07-10
CA,1.72,1.01,2020-03-23,1.07,2020-07-10
CO,1.29,0.89,2020-04-02,1.05,2020-07-10
CT,2.27,0.86,2020-03-24,0.94,2020-07-10
DC,1.67,0.91,2020-03-30,1.03,2020-07-10
DE,1.46,0.87,2020-04-09,1.03,2020-07-10
FL,1.81,0.97,2020-03-20,1.08,2020-07-10
GA,2.09,0.98,2020-03-17,1.11,2020-07-10
GU,0.79,0.45,2020-03-20,0.83,2020-07-10
HI,2.13,0.49,2020-03-17,1.03,2020-07-10
IA,1.33,0.87,2020-04-23,1.00,2020-07-10
ID,2.21,0.69,2020-03-21,1.10,2020-07-10
IL,2.21,0.94,2020-03-22,1.05,2020-07-10
IN,1.57,0.90,2020-04-02,1.07,2020-07-10
KS,1.26,0.86,2020-03-27,0.98,2020-07-10
KY,1.84,0.96,2020-03-17,1.09,2020-07-10
LA,2.10,0.88,2020-03-15,1.10,2020-07-10
MA,1.93,0.90,2020-03-28,0.97,2020-07-10
MD,2.01,0.93,2020-03-28,1.02,2020-07-10
ME,1.69,0.85,2020-03-25,1.07,2020-07-10
MI,1.98,0.84,2020-03-18,1.06,2020-07-10
MN,1.88,0.93,2020-04-02,1.05,2020-07-10
MO,1.89,0.91,2020-03-20,1.04,2020-07-10
MP,1.43,0.43,2020-03-20,0.85,2020-07-10
MS,1.45,0.95,2020-04-10,1.05,2020-07-10
MT,1.30,0.68,2020-03-27,1.14,2020-07-10
NC,2.01,0.99,2020-03-26,0.99,2020-07-10
ND,1.54,0.93,2020-03-28,0.90,2020-07-10
NE,1.98,1.02,2020-03-20,0.95,2020-07-10
NH,1.46,0.92,2020-04-13,1.01,2020-07-10
NJ,2.60,0.89,2020-03-19,1.01,2020-07-10
NM,1.41,0.94,2020-04-08,1.09,2020-07-10
NV,1.88,0.93,2020-03-17,1.16,2020-07-10
NY,3.64,0.83,2020-03-12,0.98,2020-07-10
OH,1.53,0.93,2020-04-02,1.10,2020-07-10
OK,1.82,0.79,2020-03-15,1.00,2020-07-10
OR,1.67,0.92,2020-03-19,1.12,2020-07-10
PA,1.80,0.88,2020-04-03,1.04,2020-07-10
PR,2.30,0.85,2020-03-17,1.07,2020-07-10
RI,1.59,0.93,2020-04-05,0.99,2020-07-10
SC,1.79,1.02,2020-03-19,1.08,2020-07-10
SD,1.20,1.01,2020-03-25,0.95,2020-07-10
TN,2.04,0.99,2020-03-13,1.07,2020-07-10
TX,1.90,0.98,2020-03-18,1.06,2020-07-10
UT,1.48,1.01,2020-03-28,1.05,2020-07-10
VA,1.56,0.93,2020-04-03,1.10,2020-07-10
VI,1.71,0.58,2020-03-20,1.13,2020-07-10
VT,1.36,0.59,2020-03-20,0.98,2020-07-10
WA,1.61,0.82,2020-03-13,1.10,2020-07-10
WI,2.08,0.95,2020-03-14,1.05,2020-07-10
WV,1.50,0.77,2020-03-31,0.93,2020-07-10
WY,1.59,0.74,2020-03-28,0.97,2020-07-10
