combined_subregion,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Canada-Alberta,1.82,2020-03-22,0.83,2020-05-25,1.11,2020-07-22,1.02
Canada-British Columbia,1.22,2020-03-23,0.78,2020-05-19,1.05,2020-07-22,0.98
Canada-Ontario,1.78,2020-03-29,0.83,2020-06-01,1.02,2020-07-22,1.01
Canada-Quebec,2.08,2020-03-28,0.87,2020-06-01,1.03,2020-07-22,1.01
US-AZ-Maricopa,1.42,2020-03-21,0.99,2020-05-11,1.44,2020-07-22,0.92
US-CA-Alameda,1.34,2020-03-23,0.88,2020-06-01,1.24,2020-07-22,1.02
US-CA-Los Angeles,2.42,2020-03-13,1.02,2020-06-05,1.17,2020-07-22,0.98
US-CA-Orange,1.53,2020-03-24,1.04,2020-05-26,1.25,2020-07-22,0.98
US-CA-Riverside,1.58,2020-03-22,0.99,2020-05-23,1.24,2020-07-22,0.97
US-CA-Sacramento,1.11,2020-03-24,0.80,2020-05-23,1.40,2020-07-22,1.07
US-CA-San Bernardino,1.46,2020-03-23,0.93,2020-05-23,1.25,2020-07-22,0.99
US-CA-San Diego,1.40,2020-03-22,0.98,2020-05-23,1.27,2020-07-22,1.03
US-CA-Santa Clara,1.50,2020-03-09,0.77,2020-06-05,1.18,2020-07-22,1.06
US-FL-Broward,1.49,2020-03-21,0.84,2020-05-20,1.48,2020-07-22,0.96
US-FL-Hillsborough,1.42,2020-03-24,1.04,2020-05-15,1.29,2020-07-22,0.96
US-FL-Miami-Dade,2.81,2020-03-15,0.89,2020-05-20,1.34,2020-07-22,0.93
US-FL-Orange,1.36,2020-03-23,0.89,2020-05-15,1.55,2020-07-22,0.97
US-FL-Palm Beach,1.79,2020-03-10,0.92,2020-05-20,1.32,2020-07-22,0.94
US-IL-Cook,2.64,2020-03-19,0.94,2020-06-15,1.07,2020-07-22,1.03
US-LA-Orleans,1.83,2020-03-11,0.61,2020-05-15,1.08,2020-07-22,0.92
US-MA-Middlesex,2.33,2020-03-27,0.83,2020-06-06,1.13,2020-07-22,1.07
US-MA-Suffolk,1.85,2020-03-29,0.77,2020-06-06,1.08,2020-07-22,1.01
US-MI-Wayne,2.73,2020-03-11,0.78,2020-06-08,1.16,2020-07-22,1.10
US-NJ-Bergen,2.73,2020-03-09,0.84,2020-06-15,0.96,2020-07-22,0.91
US-NJ-Essex,3.78,2020-03-13,0.80,2020-06-15,0.96,2020-07-22,0.89
US-NJ-Hudson,1.85,2020-03-23,0.78,2020-06-15,0.95,2020-07-22,0.88
US-NV-Clark,1.59,2020-03-13,0.88,2020-05-15,1.50,2020-07-22,0.97
US-NV-Washoe,2.78,2020-03-17,0.88,2020-05-15,1.26,2020-07-22,0.98
US-NY-Nassau,4.05,2020-03-13,0.75,2020-06-01,0.95,2020-07-22,0.85
US-NY-New York City,5.37,2020-03-09,0.65,2020-06-08,1.18,2020-07-22,1.07
US-NY-Suffolk,3.40,2020-03-15,0.81,2020-06-01,0.96,2020-07-22,0.87
US-NY-Westchester,4.42,2020-03-17,0.73,2020-06-01,0.96,2020-07-22,0.86
US-PA-Philadelphia,3.79,2020-03-16,0.89,2020-06-15,1.08,2020-07-22,1.03
US-TX-Bexar,1.37,2020-03-24,0.94,2020-05-01,1.47,2020-07-22,0.96
US-TX-Dallas,1.71,2020-03-21,0.99,2020-05-01,1.28,2020-07-22,0.96
US-TX-Harris,1.64,2020-03-22,0.96,2020-05-01,1.29,2020-07-22,0.98
US-TX-Tarrant,1.60,2020-03-23,0.96,2020-05-01,1.20,2020-07-22,0.98
US-WA-King,1.93,2020-03-05,0.87,2020-06-08,1.18,2020-07-22,1.03
