country,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Algeria,2.28,0.80,2020-03-13,1.02,2020-06-05
Argentina,1.21,1.07,2020-03-17,1.07,2020-06-05
Australia,1.11,0.71,2020-03-23,0.84,2020-06-05
Austria,1.81,0.70,2020-03-14,0.88,2020-06-05
Bangladesh,1.32,1.13,2020-03-28,1.14,2020-06-05
Belarus,1.20,0.97,2020-04-06,0.97,2020-06-05
Belgium,2.64,0.83,2020-03-18,0.99,2020-06-05
Bolivia,1.23,1.08,2020-04-05,1.10,2020-06-05
Brazil,1.41,1.08,2020-04-19,1.08,2020-06-05
Bulgaria,1.32,1.03,2020-03-11,1.10,2020-06-05
Canada,1.91,0.90,2020-03-28,1.03,2020-06-05
Chile,1.95,1.14,2020-03-21,1.14,2020-06-05
China,2.76,0.63,2020-01-20,0.72,2020-06-05
Colombia,1.93,1.14,2020-03-18,1.14,2020-06-05
Croatia,1.48,0.74,2020-03-20,0.91,2020-06-05
Cuba,1.08,0.64,2020-04-08,0.78,2020-06-05
Cyprus,1.23,0.36,2020-03-12,0.50,2020-06-05
Czechia,2.14,0.59,2020-03-14,0.76,2020-06-05
Denmark,2.10,0.75,2020-03-11,0.92,2020-06-05
Dominican Republic,2.27,0.87,2020-03-14,0.98,2020-06-05
Ecuador,1.48,0.87,2020-04-13,0.98,2020-06-05
Egypt,1.42,1.08,2020-03-20,1.11,2020-06-05
Estonia,2.28,0.38,2020-03-11,0.52,2020-06-05
Finland,1.87,0.74,2020-03-26,0.91,2020-06-05
France,1.71,0.81,2020-03-18,0.97,2020-06-05
Germany,2.18,0.82,2020-03-17,0.98,2020-06-05
Greece,1.47,0.70,2020-03-08,0.87,2020-06-05
Honduras,0.96,1.02,2020-04-06,1.08,2020-06-05
Hungary,1.82,0.87,2020-03-25,1.01,2020-06-05
Iceland,1.47,0.33,2020-03-21,0.47,2020-06-05
India,1.30,1.12,2020-04-20,1.14,2020-06-05
Indonesia,1.42,1.01,2020-03-15,1.01,2020-06-05
Iran,2.38,0.88,2020-02-25,1.01,2020-06-05
Ireland,1.60,0.72,2020-03-31,0.89,2020-06-05
Israel,2.34,0.68,2020-03-17,0.86,2020-06-05
Italy,2.71,0.92,2020-03-01,1.01,2020-06-05
Japan,1.23,0.90,2020-03-30,0.97,2020-06-05
Kuwait,1.44,1.04,2020-04-04,1.09,2020-06-05
Latvia,1.53,0.36,2020-03-12,0.50,2020-06-05
Lithuania,1.64,0.80,2020-03-12,0.96,2020-06-05
Luxembourg,1.75,0.67,2020-03-18,0.85,2020-06-05
Malaysia,1.90,0.53,2020-03-06,0.71,2020-06-05
Malta,1.53,0.65,2020-03-07,0.79,2020-06-05
Mexico,1.98,1.13,2020-04-01,1.13,2020-06-05
Moldova,1.29,1.02,2020-03-19,1.09,2020-06-05
Morocco,1.72,0.66,2020-03-14,0.79,2020-06-05
Netherlands,2.46,0.85,2020-03-11,1.01,2020-06-05
Nigeria,1.25,0.99,2020-04-14,1.08,2020-06-05
Norway,1.73,0.62,2020-03-17,0.80,2020-06-05
Pakistan,1.52,1.06,2020-04-09,1.09,2020-06-05
Panama,1.29,0.95,2020-03-19,1.06,2020-06-05
Peru,1.72,1.08,2020-04-05,1.08,2020-06-05
Philippines,1.63,0.88,2020-03-15,1.04,2020-06-05
Poland,1.66,0.92,2020-03-20,1.05,2020-06-05
Portugal,2.26,0.85,2020-03-11,1.00,2020-06-05
Romania,1.71,0.83,2020-03-15,0.98,2020-06-05
Russia,1.47,1.00,2020-04-19,1.09,2020-06-05
Saudi Arabia,1.74,1.05,2020-03-19,1.10,2020-06-05
Serbia,1.37,0.72,2020-03-24,0.90,2020-06-05
Slovakia,2.15,0.48,2020-03-28,0.64,2020-06-05
Slovenia,1.68,0.68,2020-03-20,0.85,2020-06-05
South Africa,1.83,1.14,2020-03-26,1.15,2020-06-05
South Korea,1.83,0.84,2020-02-22,0.95,2020-06-05
Spain,3.22,0.81,2020-03-06,0.97,2020-06-05
Sweden,1.87,0.92,2020-03-20,1.02,2020-06-05
Switzerland,2.11,0.75,2020-03-13,0.92,2020-06-05
Turkey,1.83,0.78,2020-03-23,0.91,2020-06-05
Ukraine,1.54,1.01,2020-03-24,1.09,2020-06-05
United Arab Emirates,1.24,0.85,2020-04-06,0.97,2020-06-05
United Kingdom,2.45,0.94,2020-03-15,0.94,2020-06-05
United States,2.26,0.91,2020-03-18,1.02,2020-06-05
