region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.25,0.93,2020-03-18,1.01,2020-07-20
AK,1.94,0.47,2020-03-15,1.00,2020-07-20
AL,1.49,0.98,2020-04-03,1.02,2020-07-20
AR,1.55,1.01,2020-04-04,0.98,2020-07-20
AZ,1.20,0.99,2020-04-13,0.94,2020-07-20
CA,1.74,0.98,2020-03-23,0.98,2020-07-20
CO,1.29,0.87,2020-04-02,1.04,2020-07-20
CT,2.18,0.83,2020-03-25,0.97,2020-07-20
DC,1.68,0.91,2020-03-30,1.03,2020-07-20
DE,1.46,0.87,2020-04-09,0.98,2020-07-20
FL,1.82,0.94,2020-03-20,1.01,2020-07-20
GA,2.20,0.97,2020-03-17,0.98,2020-07-20
GU,1.26,0.48,2020-03-20,0.86,2020-07-20
HI,2.08,0.56,2020-03-17,1.09,2020-07-20
IA,1.30,0.87,2020-04-24,0.99,2020-07-20
ID,2.35,0.76,2020-03-21,1.05,2020-07-20
IL,2.07,0.94,2020-03-25,1.01,2020-07-20
IN,1.57,0.91,2020-04-02,1.01,2020-07-20
KS,1.40,0.81,2020-03-27,1.00,2020-07-20
KY,1.85,0.95,2020-03-17,1.09,2020-07-20
LA,2.23,0.88,2020-03-15,1.03,2020-07-20
MA,1.97,0.90,2020-03-28,1.02,2020-07-20
MD,1.96,0.92,2020-03-28,1.04,2020-07-20
ME,1.65,0.86,2020-03-25,1.06,2020-07-20
MI,1.94,0.84,2020-03-18,1.03,2020-07-20
MN,1.89,0.93,2020-04-02,1.07,2020-07-20
MO,1.89,0.90,2020-03-20,1.02,2020-07-20
MP,1.42,0.43,2020-03-20,0.83,2020-07-20
MS,1.45,0.94,2020-04-10,0.97,2020-07-20
MT,1.35,0.72,2020-03-27,1.02,2020-07-20
NC,2.09,0.97,2020-03-26,0.99,2020-07-20
ND,1.38,0.91,2020-03-28,0.97,2020-07-20
NE,2.25,1.02,2020-03-22,0.94,2020-07-20
NH,1.51,0.87,2020-04-15,0.89,2020-07-20
NJ,2.44,0.89,2020-03-19,1.03,2020-07-20
NM,1.42,0.93,2020-04-08,1.06,2020-07-20
NV,2.03,0.91,2020-03-17,1.03,2020-07-20
NY,3.64,0.83,2020-03-13,0.97,2020-07-20
OH,1.54,0.92,2020-04-03,1.04,2020-07-20
OK,1.96,0.78,2020-03-16,1.00,2020-07-20
OR,1.67,0.93,2020-03-19,1.05,2020-07-20
PA,1.80,0.88,2020-04-03,0.97,2020-07-20
PR,2.28,0.86,2020-03-17,1.11,2020-07-20
RI,1.68,0.88,2020-04-05,0.92,2020-07-20
SC,1.85,1.00,2020-03-19,0.99,2020-07-20
SD,1.20,1.01,2020-03-25,0.94,2020-07-20
TN,2.05,0.98,2020-03-13,1.00,2020-07-20
TX,2.00,0.93,2020-03-18,0.97,2020-07-20
UT,1.56,1.00,2020-03-28,1.01,2020-07-20
VA,1.56,0.93,2020-04-03,1.08,2020-07-20
VI,1.89,0.57,2020-03-20,1.12,2020-07-20
VT,1.39,0.59,2020-03-20,0.97,2020-07-20
WA,1.67,0.90,2020-03-12,1.03,2020-07-20
WI,2.10,0.94,2020-03-14,1.02,2020-07-20
WV,1.52,0.76,2020-03-31,0.96,2020-07-20
WY,1.55,0.72,2020-03-28,0.94,2020-07-20
