combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.47,0.79,2020-03-22,1.00,2020-06-26
Canada-British Columbia,1.17,0.82,2020-03-23,1.03,2020-06-26
Canada-Ontario,1.74,0.86,2020-03-30,0.98,2020-06-26
Canada-Quebec,2.13,0.92,2020-03-28,0.98,2020-06-26
US-AZ-Maricopa,1.25,0.99,2020-03-21,1.08,2020-06-26
US-CA-Alameda,1.37,0.81,2020-03-23,1.09,2020-06-26
US-CA-Los Angeles,2.27,1.01,2020-03-13,1.10,2020-06-26
US-CA-Orange,1.31,1.05,2020-03-24,1.12,2020-06-26
US-CA-Riverside,1.41,0.97,2020-03-22,1.12,2020-06-26
US-CA-Sacramento,1.11,0.71,2020-03-24,1.02,2020-06-26
US-CA-San Bernardino,1.28,0.88,2020-03-23,1.09,2020-06-26
US-CA-San Diego,1.26,0.92,2020-03-22,1.08,2020-06-26
US-CA-Santa Clara,1.23,0.73,2020-03-09,0.99,2020-06-26
US-FL-Broward,1.42,0.87,2020-03-21,1.11,2020-06-26
US-FL-Hillsborough,1.36,1.04,2020-03-24,1.14,2020-06-26
US-FL-Miami-Dade,2.80,0.90,2020-03-14,1.13,2020-06-26
US-FL-Orange,1.37,0.81,2020-03-23,1.12,2020-06-26
US-FL-Palm Beach,1.78,0.91,2020-03-10,1.13,2020-06-26
US-IL-Cook,3.56,0.95,2020-03-13,0.97,2020-06-26
US-LA-Orleans,1.67,0.69,2020-03-12,0.91,2020-06-26
US-MA-Middlesex,2.33,0.84,2020-03-29,1.01,2020-06-26
US-MA-Suffolk,1.71,0.82,2020-03-30,0.98,2020-06-26
US-MI-Wayne,2.90,0.84,2020-03-11,0.97,2020-06-26
US-NJ-Bergen,2.90,0.87,2020-03-09,0.98,2020-06-26
US-NJ-Essex,3.75,0.84,2020-03-14,0.94,2020-06-26
US-NJ-Hudson,1.92,0.82,2020-03-24,0.93,2020-06-26
US-NV-Clark,1.53,0.87,2020-03-13,1.06,2020-06-26
US-NV-Washoe,2.79,0.83,2020-03-17,1.03,2020-06-26
US-NY-Nassau,3.99,0.76,2020-03-12,0.94,2020-06-26
US-NY-New York City,5.39,0.78,2020-03-09,0.93,2020-06-26
US-NY-Suffolk,3.33,0.83,2020-03-13,1.02,2020-06-26
US-NY-Westchester,4.40,0.71,2020-03-16,0.90,2020-06-26
US-PA-Philadelphia,3.78,0.87,2020-03-15,1.06,2020-06-26
US-TX-Bexar,1.26,0.86,2020-03-24,1.13,2020-06-26
US-TX-Dallas,1.63,0.99,2020-03-21,1.11,2020-06-26
US-TX-Harris,1.54,0.97,2020-03-22,1.14,2020-06-26
US-TX-Tarrant,1.50,0.97,2020-03-23,1.08,2020-06-26
US-WA-King,1.86,0.88,2020-03-05,1.07,2020-06-26
