region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.28,2020-03-16,0.90,2020-05-09,1.25,2020-08-02,0.96
AK,1.97,2020-03-15,0.47,2020-04-24,1.44,2020-08-02,1.01
AL,1.50,2020-04-03,0.97,2020-05-11,1.30,2020-08-02,0.94
AR,1.55,2020-04-04,1.00,2020-05-11,1.24,2020-08-02,0.97
AZ,1.23,2020-04-13,1.00,2020-05-11,1.38,2020-08-02,0.90
CA,1.73,2020-03-21,0.98,2020-06-01,1.26,2020-08-02,0.96
CO,1.22,2020-04-02,0.81,2020-05-15,1.20,2020-08-02,0.98
CT,2.28,2020-03-20,0.82,2020-06-01,1.13,2020-08-02,0.95
DC,1.85,2020-03-28,0.89,2020-06-08,1.13,2020-08-02,0.95
DE,1.54,2020-04-07,0.84,2020-06-01,1.10,2020-08-02,0.94
FL,1.75,2020-03-20,0.93,2020-05-04,1.48,2020-08-02,0.91
GA,2.22,2020-03-17,0.95,2020-04-27,1.32,2020-08-02,0.95
GU,1.22,2020-03-20,0.44,2020-06-01,1.13,2020-08-02,1.01
HI,2.20,2020-03-17,0.44,2020-06-01,1.29,2020-08-02,1.01
IA,1.33,2020-04-23,0.79,2020-05-15,1.22,2020-08-02,0.97
ID,2.16,2020-03-21,0.72,2020-05-16,1.60,2020-08-02,0.96
IL,2.12,2020-03-23,0.94,2020-06-01,1.18,2020-08-02,1.00
IN,1.55,2020-03-31,0.88,2020-05-11,1.21,2020-08-02,0.99
KS,1.46,2020-03-26,0.81,2020-05-04,1.32,2020-08-02,0.99
KY,2.01,2020-03-17,0.93,2020-05-22,1.23,2020-08-02,0.98
LA,2.44,2020-03-14,0.80,2020-05-15,1.41,2020-08-02,0.91
MA,2.21,2020-03-24,0.87,2020-06-06,1.17,2020-08-02,0.99
MD,1.95,2020-03-26,0.90,2020-06-01,1.22,2020-08-02,1.00
ME,1.61,2020-03-25,0.79,2020-06-01,1.20,2020-08-02,1.05
MI,2.03,2020-03-15,0.79,2020-06-08,1.19,2020-08-02,0.98
MN,2.02,2020-04-01,0.92,2020-06-01,1.12,2020-08-02,0.97
MO,1.96,2020-03-19,0.85,2020-05-15,1.34,2020-08-02,0.99
MP,1.34,2020-03-20,0.44,2020-06-01,1.05,2020-08-02,0.98
MS,1.44,2020-04-10,0.95,2020-05-07,1.40,2020-08-02,0.90
MT,1.25,2020-03-27,0.51,2020-05-04,1.55,2020-08-02,1.00
NC,2.19,2020-03-26,0.94,2020-05-08,1.21,2020-08-02,0.98
ND,1.35,2020-03-28,0.85,2020-05-01,1.19,2020-08-02,0.99
NE,2.29,2020-03-23,1.00,2020-05-04,1.09,2020-08-02,0.97
NH,1.39,2020-04-14,0.85,2020-05-18,1.04,2020-08-02,0.96
NJ,2.66,2020-03-15,0.88,2020-06-15,1.14,2020-08-02,0.95
NM,1.41,2020-04-07,0.88,2020-06-01,1.21,2020-08-02,0.97
NV,2.02,2020-03-17,0.89,2020-05-15,1.43,2020-08-02,0.95
NY,3.86,2020-03-12,0.77,2020-06-01,1.06,2020-08-02,0.89
OH,1.56,2020-04-01,0.89,2020-05-21,1.21,2020-08-02,0.98
OK,2.04,2020-03-15,0.75,2020-05-01,1.40,2020-08-02,0.99
OR,1.61,2020-03-19,0.91,2020-05-25,1.36,2020-08-02,1.00
PA,1.84,2020-04-01,0.87,2020-06-05,1.09,2020-08-02,0.97
PR,2.40,2020-03-17,0.81,2020-06-01,1.47,2020-08-02,1.00
RI,1.64,2020-04-04,0.88,2020-05-25,1.09,2020-08-02,0.97
SC,1.93,2020-03-19,0.93,2020-05-11,1.51,2020-08-02,0.94
SD,1.21,2020-03-25,0.98,2020-05-01,1.13,2020-08-02,0.96
TN,2.04,2020-03-13,1.00,2020-05-01,1.27,2020-08-02,0.96
TX,2.01,2020-03-18,0.93,2020-05-01,1.50,2020-08-02,0.94
UT,1.55,2020-03-28,0.99,2020-05-16,1.25,2020-08-02,0.98
VA,1.54,2020-04-03,0.92,2020-06-01,1.26,2020-08-02,1.03
VI,2.03,2020-03-20,0.45,2020-06-01,1.18,2020-08-02,0.99
VT,1.41,2020-03-20,0.44,2020-06-01,1.04,2020-08-02,0.97
WA,1.68,2020-03-11,0.87,2020-06-01,1.27,2020-08-02,1.00
WI,2.17,2020-03-14,0.92,2020-05-14,1.22,2020-08-02,0.99
WV,1.63,2020-03-31,0.74,2020-05-04,1.29,2020-08-02,1.00
WY,1.58,2020-03-28,0.71,2020-05-01,0.97,2020-08-02,0.94
