country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.59,2020-03-14,0.87,2020-06-14,1.04,2020-09-28,0.93
Argentina,1.46,2020-03-17,1.09,2020-06-28,1.23,2020-09-28,0.98
Australia,1.25,2020-03-23,0.71,2020-06-01,1.67,2020-09-28,0.80
Austria,1.87,2020-03-12,0.64,2020-05-25,1.27,2020-09-28,1.10
Bangladesh,1.95,2020-03-29,1.08,2020-05-15,1.03,2020-09-28,1.02
Belarus,1.63,2020-04-06,0.99,2020-05-25,1.07,2020-09-28,1.04
Belgium,2.89,2020-03-15,0.68,2020-05-25,1.38,2020-09-28,1.06
Bolivia,1.67,2020-04-05,1.04,2020-06-01,1.22,2020-09-28,0.92
Brazil,1.87,2020-04-08,1.02,2020-06-15,1.13,2020-09-28,0.92
Bulgaria,1.65,2020-03-12,0.98,2020-05-25,1.29,2020-09-28,0.99
Canada,2.03,2020-03-25,0.83,2020-05-25,1.17,2020-09-28,1.09
Chile,1.40,2020-05-18,0.94,2020-07-20,1.08,2020-09-28,0.94
China,3.44,2020-01-21,0.62,2020-04-08,0.97,2020-09-28,0.95
Colombia,2.44,2020-03-19,1.16,2020-06-01,1.22,2020-09-28,0.91
Croatia,1.36,2020-03-20,0.74,2020-05-25,1.35,2020-09-28,1.03
Cuba,1.18,2020-04-08,0.66,2020-06-01,1.19,2020-09-28,1.00
Cyprus,1.57,2020-03-12,0.50,2020-05-25,1.01,2020-09-28,0.95
Czechia,2.17,2020-03-14,0.52,2020-05-25,1.77,2020-09-28,1.04
Denmark,2.44,2020-03-09,0.63,2020-05-25,1.37,2020-09-28,1.08
Dominican Republic,2.58,2020-03-16,0.91,2020-06-01,1.19,2020-09-28,0.90
Ecuador,1.87,2020-04-10,0.87,2020-06-01,1.11,2020-09-28,0.96
Egypt,1.91,2020-03-20,1.07,2020-06-15,0.84,2020-09-28,1.04
Estonia,2.44,2020-03-11,0.47,2020-05-25,0.78,2020-09-28,1.09
Finland,1.74,2020-03-26,0.64,2020-05-25,0.93,2020-09-28,1.10
France,1.77,2020-03-14,0.76,2020-05-25,1.41,2020-09-28,1.02
Germany,2.50,2020-03-14,0.75,2020-05-25,1.22,2020-09-28,1.05
Greece,1.54,2020-03-08,0.65,2020-05-25,1.36,2020-09-28,1.07
Honduras,1.51,2020-04-06,0.98,2020-06-01,1.17,2020-09-28,0.96
Hungary,1.85,2020-03-24,0.75,2020-05-25,1.31,2020-09-28,1.11
Iceland,1.55,2020-03-21,0.51,2020-05-25,1.04,2020-09-28,1.11
India,1.59,2020-04-19,1.10,2020-05-15,1.12,2020-09-28,0.99
Indonesia,1.59,2020-03-15,1.03,2020-06-15,1.09,2020-09-28,1.05
Iran,2.64,2020-02-25,0.90,2020-04-20,1.17,2020-09-28,1.01
Ireland,1.65,2020-03-27,0.67,2020-05-25,1.21,2020-09-28,1.08
Israel,2.77,2020-03-17,0.72,2020-05-15,1.23,2020-09-28,0.84
Italy,2.74,2020-02-27,0.86,2020-05-25,1.21,2020-09-28,1.06
Japan,1.38,2020-03-31,0.79,2020-06-01,1.43,2020-09-28,0.93
Kuwait,1.93,2020-04-16,0.89,2020-06-30,1.12,2020-09-28,0.98
Latvia,1.57,2020-03-30,0.51,2020-05-25,0.86,2020-09-28,1.10
Lithuania,1.80,2020-03-12,0.69,2020-05-25,0.95,2020-09-28,1.11
Luxembourg,1.66,2020-03-18,0.60,2020-05-25,1.20,2020-09-28,1.02
Malaysia,2.29,2020-03-07,0.57,2020-05-15,0.85,2020-09-28,1.02
Malta,1.61,2020-03-20,0.70,2020-05-25,1.35,2020-09-28,1.13
Mexico,2.45,2020-04-01,1.05,2020-06-01,1.10,2020-09-28,0.96
Moldova,1.88,2020-03-19,1.01,2020-05-15,1.17,2020-09-28,1.00
Morocco,2.14,2020-03-12,0.76,2020-06-01,1.51,2020-09-28,1.07
Netherlands,2.71,2020-03-09,0.74,2020-05-25,1.38,2020-09-28,1.11
Nigeria,1.69,2020-04-13,0.95,2020-05-15,0.92,2020-09-28,0.94
Norway,1.73,2020-03-16,0.53,2020-05-25,0.98,2020-09-28,1.10
Pakistan,1.61,2020-05-11,0.84,2020-05-20,0.80,2020-09-28,0.99
Panama,1.38,2020-03-19,0.96,2020-05-15,1.28,2020-09-28,0.93
Peru,2.32,2020-04-02,1.05,2020-06-01,1.15,2020-09-28,0.90
Philippines,1.18,2020-03-15,0.93,2020-06-01,1.29,2020-09-28,1.01
