region,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
USA,2.25,0.93,2020-03-18,1.03,2020-07-18
AK,1.92,0.52,2020-03-15,0.95,2020-07-18
AL,1.50,0.98,2020-04-03,1.06,2020-07-18
AR,1.53,1.01,2020-04-04,0.99,2020-07-18
AZ,1.22,0.99,2020-04-13,0.95,2020-07-18
CA,1.75,0.98,2020-03-23,0.98,2020-07-18
CO,1.29,0.88,2020-04-02,1.03,2020-07-18
CT,2.15,0.83,2020-03-25,0.92,2020-07-18
DC,1.68,0.91,2020-03-30,1.03,2020-07-18
DE,1.46,0.87,2020-04-09,0.99,2020-07-18
FL,1.83,0.93,2020-03-20,1.01,2020-07-18
GA,2.21,0.97,2020-03-17,1.00,2020-07-18
GU,1.26,0.48,2020-03-20,0.86,2020-07-18
HI,2.08,0.54,2020-03-17,1.16,2020-07-18
IA,1.31,0.87,2020-04-24,0.99,2020-07-18
ID,2.28,0.69,2020-03-21,1.08,2020-07-18
IL,2.08,0.94,2020-03-24,1.02,2020-07-18
IN,1.57,0.90,2020-04-02,1.02,2020-07-18
KS,1.28,0.82,2020-03-27,1.00,2020-07-18
KY,1.85,0.95,2020-03-17,1.11,2020-07-18
LA,2.09,0.87,2020-03-15,1.06,2020-07-18
MA,1.97,0.90,2020-03-28,0.97,2020-07-18
MD,1.96,0.93,2020-03-28,1.01,2020-07-18
ME,1.65,0.86,2020-03-25,1.08,2020-07-18
MI,1.94,0.84,2020-03-18,1.05,2020-07-18
MN,1.89,0.93,2020-04-02,1.08,2020-07-18
MO,1.89,0.90,2020-03-20,1.02,2020-07-18
MP,1.42,0.43,2020-03-20,0.84,2020-07-18
MS,1.45,0.94,2020-04-10,1.00,2020-07-18
MT,1.35,0.72,2020-03-27,1.08,2020-07-18
NC,2.09,0.97,2020-03-26,0.99,2020-07-18
ND,1.40,0.91,2020-03-28,0.97,2020-07-18
NE,2.25,1.02,2020-03-22,0.93,2020-07-18
NH,1.50,0.87,2020-04-15,0.88,2020-07-18
NJ,2.55,0.88,2020-03-19,1.02,2020-07-18
NM,1.41,0.94,2020-04-08,1.04,2020-07-18
NV,2.05,0.91,2020-03-17,1.07,2020-07-18
NY,3.64,0.83,2020-03-13,0.98,2020-07-18
OH,1.54,0.92,2020-04-03,1.04,2020-07-18
OK,1.81,0.79,2020-03-15,0.99,2020-07-18
OR,1.65,0.93,2020-03-19,1.09,2020-07-18
PA,1.80,0.88,2020-04-03,0.98,2020-07-18
PR,2.27,0.88,2020-03-17,1.10,2020-07-18
RI,1.68,0.88,2020-04-05,0.93,2020-07-18
SC,1.82,1.00,2020-03-19,1.02,2020-07-18
SD,1.20,1.01,2020-03-25,0.95,2020-07-18
TN,2.12,0.95,2020-03-13,1.03,2020-07-18
TX,1.96,0.93,2020-03-18,0.99,2020-07-18
UT,1.54,0.99,2020-03-28,1.05,2020-07-18
VA,1.56,0.93,2020-04-03,1.10,2020-07-18
VI,1.90,0.57,2020-03-20,1.12,2020-07-18
VT,1.39,0.59,2020-03-20,0.98,2020-07-18
WA,1.57,0.90,2020-03-12,1.04,2020-07-18
WI,2.10,0.94,2020-03-14,1.04,2020-07-18
WV,1.52,0.76,2020-03-31,0.96,2020-07-18
WY,1.55,0.73,2020-03-28,0.93,2020-07-18
