country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.58,2020-03-14,0.84,2020-06-14,1.08,2020-08-25,1.00
Argentina,1.42,2020-03-17,1.09,2020-06-28,1.28,2020-08-25,0.98
Australia,1.23,2020-03-23,0.70,2020-06-01,1.57,2020-08-25,0.99
Austria,1.90,2020-03-12,0.64,2020-05-25,1.16,2020-08-25,0.99
Bangladesh,1.94,2020-03-28,1.09,2020-05-15,1.02,2020-08-25,0.98
Belarus,1.62,2020-04-06,0.97,2021-01-01,1.09,2020-08-25,0.96
Belgium,2.90,2020-03-14,0.72,2020-05-25,1.37,2020-08-25,0.94
Bolivia,1.65,2020-04-05,1.06,2020-06-01,1.18,2020-08-25,0.96
Brazil,1.85,2020-04-08,1.01,2020-06-15,1.14,2020-08-25,0.98
Bulgaria,1.60,2020-03-11,0.99,2020-05-25,1.28,2020-08-25,0.98
Canada,2.00,2020-03-25,0.85,2020-05-25,1.05,2020-08-25,0.98
Chile,1.40,2020-05-18,0.94,2020-07-20,1.02,2020-08-25,0.99
China,3.44,2020-01-21,0.63,2020-04-08,1.03,2020-08-25,0.95
Colombia,2.47,2020-03-19,1.15,2020-06-01,1.22,2020-08-25,0.94
Croatia,1.40,2020-03-20,0.69,2020-05-25,1.27,2020-08-25,0.99
Cuba,1.19,2020-04-08,0.64,2020-06-01,1.13,2020-08-25,0.99
Cyprus,1.58,2020-03-12,0.47,2020-05-25,0.99,2020-08-25,0.95
Czechia,2.21,2020-03-14,0.45,2020-05-25,1.29,2020-08-25,1.01
Denmark,2.43,2020-03-08,0.64,2020-05-25,1.14,2020-08-25,0.98
Dominican Republic,2.62,2020-03-15,0.89,2020-06-01,1.17,2020-08-25,0.98
Ecuador,1.89,2020-04-10,0.86,2020-06-01,1.10,2020-08-25,0.92
Egypt,1.89,2020-03-20,1.08,2020-06-15,0.86,2020-08-25,0.85
Estonia,2.43,2020-03-11,0.42,2020-05-25,0.80,2020-08-25,0.79
Finland,1.73,2020-03-26,0.65,2020-05-25,1.01,2020-08-25,0.94
France,1.76,2020-03-14,0.77,2020-05-25,1.26,2020-08-25,0.94
Germany,2.51,2020-03-13,0.77,2020-05-15,1.16,2020-08-25,0.97
Greece,1.53,2020-03-08,0.63,2020-05-25,1.35,2020-08-25,1.01
Honduras,1.49,2020-04-06,0.99,2020-06-01,1.15,2020-08-25,0.95
Hungary,1.90,2020-03-23,0.80,2020-05-25,1.04,2020-08-25,0.97
Iceland,1.41,2020-03-21,0.46,2020-05-15,1.02,2020-08-25,0.95
India,1.58,2020-04-19,1.10,2020-05-15,1.12,2020-08-25,0.97
Indonesia,1.57,2020-03-15,1.04,2020-06-15,1.07,2020-08-25,1.00
Iran,2.64,2020-02-25,0.89,2020-04-20,1.22,2020-08-25,0.90
