country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.60,2020-03-14,0.83,2020-06-14,1.10,2020-08-17,0.99
Argentina,1.44,2020-03-17,1.09,2020-06-28,1.27,2020-08-17,0.97
Australia,1.23,2020-03-23,0.70,2020-06-01,1.57,2020-08-17,1.00
Austria,1.91,2020-03-12,0.64,2020-05-25,1.14,2020-08-17,0.98
Bangladesh,1.94,2020-03-28,1.09,2020-05-15,1.01,2020-08-17,0.97
Belarus,1.64,2020-04-06,0.96,2021-01-01,1.09,2020-08-17,0.95
Belgium,2.90,2020-03-14,0.72,2020-05-25,1.38,2020-08-17,0.95
Bolivia,1.63,2020-04-05,1.06,2020-06-01,1.18,2020-08-17,0.94
Brazil,1.86,2020-04-08,1.01,2020-06-15,1.14,2020-08-17,0.99
Bulgaria,1.60,2020-03-11,0.99,2020-05-25,1.28,2020-08-17,0.97
Canada,1.99,2020-03-25,0.85,2020-05-25,1.03,2020-08-17,0.98
Chile,1.40,2020-05-18,0.94,2020-07-20,1.07,2020-08-17,1.02
China,3.44,2020-01-21,0.63,2020-04-08,1.09,2020-08-17,0.97
Colombia,2.45,2020-03-18,1.16,2020-06-01,1.22,2020-08-17,0.94
Croatia,1.40,2020-03-20,0.69,2020-05-25,1.29,2020-08-17,0.98
Cuba,1.19,2020-04-08,0.64,2020-06-01,1.07,2020-08-17,0.97
Cyprus,1.59,2020-03-12,0.44,2020-05-25,1.04,2020-08-17,0.97
Czechia,2.21,2020-03-14,0.44,2020-05-25,1.26,2020-08-17,1.00
Denmark,2.43,2020-03-08,0.64,2020-05-25,1.16,2020-08-17,0.99
Dominican Republic,2.61,2020-03-15,0.89,2020-06-01,1.18,2020-08-17,0.99
Ecuador,1.89,2020-04-10,0.86,2020-06-01,1.09,2020-08-17,0.91
Egypt,1.88,2020-03-20,1.08,2020-06-15,0.86,2020-08-17,0.85
Estonia,2.43,2020-03-11,0.43,2020-05-25,0.79,2020-08-17,0.78
Finland,1.74,2020-03-26,0.65,2020-05-25,1.02,2020-08-17,0.94
France,1.76,2020-03-14,0.78,2020-05-25,1.21,2020-08-17,0.93
Germany,2.51,2020-03-13,0.77,2020-05-15,1.17,2020-08-17,0.97
Greece,1.52,2020-03-08,0.63,2020-05-25,1.36,2020-08-17,1.01
Honduras,1.47,2020-04-06,0.98,2020-06-01,1.18,2020-08-17,0.96
Hungary,1.90,2020-03-23,0.79,2020-05-25,1.05,2020-08-17,0.97
Iceland,1.41,2020-03-21,0.45,2020-05-15,1.01,2020-08-17,0.94
India,1.59,2020-04-18,1.09,2020-05-15,1.13,2020-08-17,1.00
Indonesia,1.57,2020-03-15,1.03,2020-06-15,1.08,2020-08-17,0.98
Iran,2.65,2020-02-25,0.88,2020-04-20,1.22,2020-08-17,0.90
Ireland,1.63,2020-03-27,0.69,2020-05-25,1.12,2020-08-17,0.94
Israel,2.81,2020-03-17,0.69,2020-05-15,1.43,2020-08-17,0.98
Italy,2.74,2020-02-26,0.88,2020-05-25,1.05,2020-08-17,0.89
Japan,1.37,2020-04-01,0.79,2020-06-01,1.28,2020-08-17,1.02
