combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.69,0.87,2020-03-22,1.01,2020-07-13
Canada-British Columbia,1.18,0.84,2020-03-23,0.98,2020-07-13
Canada-Ontario,1.70,0.86,2020-03-30,0.97,2020-07-13
Canada-Quebec,2.04,0.88,2020-03-29,0.97,2020-07-13
US-AZ-Maricopa,1.42,1.01,2020-03-21,1.00,2020-07-13
US-CA-Alameda,1.32,0.83,2020-03-23,1.13,2020-07-13
US-CA-Los Angeles,2.41,1.03,2020-03-12,1.06,2020-07-13
US-CA-Orange,1.45,1.05,2020-03-24,1.09,2020-07-13
US-CA-Riverside,1.52,0.99,2020-03-22,1.13,2020-07-13
US-CA-Sacramento,1.19,0.80,2020-03-24,1.13,2020-07-13
US-CA-San Bernardino,1.43,0.94,2020-03-23,1.15,2020-07-13
US-CA-San Diego,1.49,0.96,2020-03-22,1.12,2020-07-13
US-CA-Santa Clara,1.40,0.77,2020-03-09,1.09,2020-07-13
US-FL-Broward,1.42,0.89,2020-03-21,1.15,2020-07-13
US-FL-Hillsborough,1.37,1.05,2020-03-24,1.09,2020-07-13
US-FL-Miami-Dade,2.80,0.92,2020-03-15,1.14,2020-07-13
US-FL-Orange,1.30,0.92,2020-03-23,1.17,2020-07-13
US-FL-Palm Beach,1.81,0.95,2020-03-10,1.14,2020-07-13
US-IL-Cook,2.61,0.94,2020-03-20,1.00,2020-07-13
US-LA-Orleans,1.71,0.70,2020-03-12,0.86,2020-07-13
US-MA-Middlesex,2.28,0.84,2020-03-28,1.07,2020-07-13
US-MA-Suffolk,1.74,0.81,2020-03-31,1.01,2020-07-13
US-MI-Wayne,2.88,0.84,2020-03-09,1.04,2020-07-13
US-NJ-Bergen,2.86,0.87,2020-03-08,1.05,2020-07-13
US-NJ-Essex,3.74,0.84,2020-03-12,1.02,2020-07-13
US-NJ-Hudson,1.87,0.81,2020-03-24,0.99,2020-07-13
US-NV-Clark,1.50,0.90,2020-03-13,1.17,2020-07-13
US-NV-Washoe,2.79,0.89,2020-03-17,1.07,2020-07-13
US-NY-Nassau,3.99,0.78,2020-03-12,0.96,2020-07-13
US-NY-New York City,5.36,0.79,2020-03-08,1.01,2020-07-13
US-NY-Suffolk,3.34,0.84,2020-03-13,1.03,2020-07-13
US-NY-Westchester,4.42,0.73,2020-03-16,0.93,2020-07-13
US-PA-Philadelphia,3.77,0.90,2020-03-15,1.04,2020-07-13
US-TX-Bexar,1.36,0.94,2020-03-24,1.11,2020-07-13
US-TX-Dallas,1.61,1.00,2020-03-21,1.02,2020-07-13
US-TX-Harris,1.57,0.96,2020-03-22,1.03,2020-07-13
US-TX-Tarrant,1.54,0.95,2020-03-23,1.00,2020-07-13
US-WA-King,1.88,0.89,2020-03-05,1.08,2020-07-13
