country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.62,2020-03-14,0.83,2020-06-14,1.12,2020-08-05,0.99
Argentina,1.44,2020-03-17,1.13,2020-06-28,1.17,2020-08-05,1.01
Australia,1.21,2020-03-23,0.71,2020-06-01,1.58,2020-08-05,1.00
Austria,1.83,2020-03-13,0.63,2020-05-25,1.18,2020-08-05,1.00
Bangladesh,1.98,2020-03-28,1.10,2020-05-15,1.00,2020-08-05,0.96
Belarus,1.63,2020-04-06,0.97,2021-01-01,1.09,2020-08-05,0.96
Belgium,2.80,2020-03-15,0.71,2020-05-25,1.30,2020-08-05,1.06
Bolivia,1.62,2020-04-05,1.07,2020-06-01,1.17,2020-08-05,0.96
Brazil,1.83,2020-04-09,1.01,2020-06-15,1.15,2020-08-05,1.01
Bulgaria,1.61,2020-03-11,1.00,2020-05-25,1.25,2020-08-05,0.99
Canada,1.95,2020-03-27,0.84,2020-05-25,1.04,2020-08-05,1.01
Chile,1.40,2020-05-18,0.91,2020-07-20,1.12,2020-08-05,0.98
China,3.50,2020-01-20,0.63,2020-04-08,1.12,2020-08-05,0.98
Colombia,2.45,2020-03-18,1.16,2020-06-01,1.21,2020-08-05,0.96
Croatia,1.39,2020-03-20,0.71,2020-05-25,1.34,2020-08-05,0.99
Cuba,1.18,2020-04-08,0.65,2020-06-01,0.98,2020-08-05,0.95
Cyprus,1.58,2020-03-12,0.43,2020-05-25,0.93,2020-08-05,0.91
Czechia,2.21,2020-03-14,0.45,2020-05-25,1.30,2020-08-05,1.01
Denmark,2.42,2020-03-09,0.63,2020-05-25,1.13,2020-08-05,0.98
Dominican Republic,2.61,2020-03-15,0.89,2020-06-01,1.14,2020-08-05,0.98
Ecuador,1.85,2020-04-11,0.86,2020-06-01,1.07,2020-08-05,0.92
Egypt,1.88,2020-03-20,1.08,2020-06-15,0.93,2020-08-05,0.91
Estonia,2.44,2020-03-11,0.43,2020-05-25,0.81,2020-08-05,0.80
Finland,1.69,2020-03-27,0.64,2020-05-25,1.01,2020-08-05,0.95
France,1.71,2020-03-16,0.77,2020-05-25,1.09,2020-08-05,0.92
Germany,2.37,2020-03-15,0.75,2020-05-15,1.14,2020-08-05,0.98
Greece,1.54,2020-03-08,0.60,2020-05-25,1.23,2020-08-05,1.01
Honduras,1.46,2020-04-06,0.98,2020-06-01,1.21,2020-08-05,0.97
Hungary,1.86,2020-03-24,0.78,2020-05-25,1.04,2020-08-05,0.97
Iceland,1.41,2020-03-21,0.44,2020-05-15,1.03,2020-08-05,0.95
India,1.58,2020-04-19,1.09,2020-05-15,1.12,2020-08-05,1.04
Indonesia,1.57,2020-03-15,1.03,2020-06-15,1.10,2020-08-05,1.00
Iran,2.66,2020-02-25,0.88,2020-04-20,1.23,2020-08-05,0.91
Ireland,1.58,2020-03-29,0.68,2020-05-25,1.06,2020-08-05,0.94
Israel,2.84,2020-03-17,0.69,2020-05-15,1.43,2020-08-05,0.98
Italy,2.62,2020-02-28,0.86,2020-05-25,1.01,2020-08-05,0.90
Japan,1.40,2020-04-02,0.76,2020-06-01,1.22,2020-08-05,1.07
Kuwait,1.91,2020-04-16,0.90,2020-06-30,1.13,2020-08-05,1.03
Latvia,1.52,2020-03-30,0.46,2020-05-25,0.93,2020-08-05,0.91
Lithuania,1.85,2020-03-12,0.67,2020-05-25,0.96,2020-08-05,0.93
Luxembourg,1.52,2020-03-18,0.55,2020-05-25,1.38,2020-08-05,1.00
Malaysia,2.29,2020-03-07,0.44,2020-05-15,0.83,2020-08-05,0.83
Malta,1.62,2020-03-20,0.63,2020-05-25,0.91,2020-08-05,0.90
Mexico,2.39,2020-04-01,1.05,2020-06-01,1.09,2020-08-05,0.98
Moldova,1.88,2020-03-18,1.02,2020-05-15,1.16,2020-08-05,0.95
Morocco,2.13,2020-03-13,0.74,2020-06-01,1.44,2020-08-05,1.04
Netherlands,2.61,2020-03-09,0.78,2020-05-25,1.11,2020-08-05,1.00
Nigeria,1.64,2020-04-13,0.96,2020-05-15,0.96,2020-08-05,0.96
Norway,1.70,2020-03-17,0.53,2020-05-15,0.97,2020-08-05,0.92
Pakistan,1.60,2020-05-12,0.88,2020-05-20,0.83,2020-08-05,0.87
Panama,1.39,2020-03-19,1.00,2020-05-15,1.24,2020-08-05,0.95
Peru,2.27,2020-04-02,1.04,2020-06-01,1.13,2020-08-05,0.92
Philippines,1.16,2020-03-15,0.95,2020-06-01,1.17,2020-08-05,1.02
Poland,1.51,2020-03-19,0.93,2020-05-25,1.13,2020-08-05,0.99
Portugal,2.19,2020-03-10,0.78,2020-05-25,1.06,2020-08-05,0.95
Romania,1.77,2020-03-15,0.79,2020-05-25,1.30,2020-08-05,0.99
Russia,1.63,2020-04-19,0.94,2020-05-15,1.00,2020-08-05,0.95
Saudi Arabia,2.60,2020-03-23,1.13,2020-06-21,1.02,2020-08-05,0.95
Serbia,1.63,2020-03-24,0.74,2020-05-15,1.40,2020-08-05,0.96
Slovakia,1.59,2020-03-28,0.47,2020-05-25,1.12,2020-08-05,0.99
Slovenia,1.45,2020-03-20,0.63,2020-05-25,1.23,2020-08-05,1.01
South Africa,2.76,2020-03-28,1.12,2020-06-01,1.20,2020-08-05,0.95
South Korea,2.20,2020-02-21,0.81,2020-05-06,1.08,2020-08-05,0.99
Spain,3.49,2020-03-04,0.77,2020-05-25,1.32,2020-08-05,0.96
Sweden,1.95,2020-03-18,0.94,2021-01-01,1.00,2020-08-05,0.88
