region,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
USA,2.30,2020-03-17,0.91,2020-05-10,1.26,2020-07-29,0.96
AK,1.96,2020-03-15,0.49,2020-04-24,1.42,2020-07-29,1.01
AL,1.53,2020-04-03,0.97,2020-05-11,1.33,2020-07-29,0.94
AR,1.57,2020-04-04,1.00,2020-05-11,1.24,2020-07-29,0.97
AZ,1.24,2020-04-13,1.00,2020-05-11,1.38,2020-07-29,0.91
CA,1.77,2020-03-22,0.97,2020-06-01,1.29,2020-07-29,0.96
CO,1.31,2020-04-02,0.85,2020-05-15,1.14,2020-07-29,0.97
CT,2.46,2020-03-22,0.82,2020-06-01,1.12,2020-07-29,0.96
DC,1.88,2020-03-28,0.89,2020-06-08,1.13,2020-07-29,0.99
DE,1.60,2020-04-07,0.85,2020-06-01,1.09,2020-07-29,0.95
FL,1.79,2020-03-20,0.93,2020-05-04,1.45,2020-07-29,0.93
GA,2.25,2020-03-17,0.96,2020-04-27,1.34,2020-07-29,0.95
GU,1.21,2020-03-20,0.46,2020-06-01,1.10,2020-07-29,1.01
HI,2.19,2020-03-17,0.45,2020-06-01,1.33,2020-07-29,1.02
IA,1.33,2020-04-24,0.79,2020-05-15,1.24,2020-07-29,0.97
ID,2.14,2020-03-21,0.79,2020-05-16,1.53,2020-07-29,0.98
IL,2.13,2020-03-23,0.94,2020-06-01,1.15,2020-07-29,1.01
IN,1.60,2020-03-31,0.86,2020-05-11,1.23,2020-07-29,0.98
KS,1.51,2020-03-26,0.80,2020-05-04,1.28,2020-07-29,0.99
KY,2.05,2020-03-17,0.94,2020-05-22,1.27,2020-07-29,1.00
LA,2.44,2020-03-13,0.86,2020-05-15,1.41,2020-07-29,0.92
MA,2.27,2020-03-24,0.88,2020-06-06,1.15,2020-07-29,1.01
MD,2.00,2020-03-26,0.90,2020-06-01,1.23,2020-07-29,1.04
ME,1.62,2020-03-25,0.85,2020-06-01,1.10,2020-07-29,1.03
MI,2.10,2020-03-16,0.81,2020-06-08,1.08,2020-07-29,0.96
MN,2.02,2020-04-02,0.92,2020-06-01,1.12,2020-07-29,1.01
MO,2.02,2020-03-20,0.86,2020-05-15,1.34,2020-07-29,0.99
MP,1.28,2020-03-20,0.40,2020-06-01,0.99,2020-07-29,0.95
MS,1.45,2020-04-10,0.97,2020-05-07,1.30,2020-07-29,0.94
MT,1.27,2020-03-27,0.57,2020-05-04,1.50,2020-07-29,1.00
NC,2.21,2020-03-26,0.95,2020-05-08,1.22,2020-07-29,0.98
ND,1.38,2020-03-28,0.86,2020-05-01,1.22,2020-07-29,0.99
NE,2.32,2020-03-23,1.01,2020-05-04,1.07,2020-07-29,0.96
NH,1.48,2020-04-14,0.86,2020-05-18,1.06,2020-07-29,0.96
NJ,2.66,2020-03-17,0.88,2020-06-15,1.07,2020-07-29,0.94
NM,1.54,2020-04-08,0.89,2020-06-01,1.21,2020-07-29,0.96
NV,2.08,2020-03-17,0.90,2020-05-15,1.41,2020-07-29,0.96
NY,3.90,2020-03-12,0.77,2020-06-01,1.11,2020-07-29,0.92
OH,1.60,2020-04-01,0.89,2020-05-21,1.20,2020-07-29,0.98
OK,2.06,2020-03-15,0.78,2020-05-01,1.42,2020-07-29,0.99
OR,1.60,2020-03-19,0.93,2020-05-25,1.34,2020-07-29,1.00
PA,1.86,2020-04-01,0.86,2020-06-05,1.16,2020-07-29,1.02
PR,2.41,2020-03-17,0.83,2020-06-01,1.47,2020-07-29,1.01
RI,1.70,2020-04-05,0.87,2020-05-25,1.10,2020-07-29,0.93
SC,1.94,2020-03-19,0.92,2020-05-11,1.46,2020-07-29,0.94
SD,1.23,2020-03-25,0.99,2020-05-01,1.11,2020-07-29,0.96
TN,2.08,2020-03-14,1.01,2020-05-01,1.28,2020-07-29,0.97
TX,2.01,2020-03-18,0.93,2020-05-01,1.48,2020-07-29,0.95
UT,1.58,2020-03-28,0.99,2020-05-16,1.25,2020-07-29,0.99
VA,1.57,2020-04-03,0.92,2020-06-01,1.17,2020-07-29,1.03
VI,2.01,2020-03-20,0.45,2020-06-01,1.30,2020-07-29,1.10
VT,1.50,2020-03-20,0.48,2020-06-01,1.07,2020-07-29,1.01
WA,1.68,2020-03-11,0.90,2020-06-01,1.11,2020-07-29,0.99
WI,2.21,2020-03-14,0.92,2020-05-14,1.22,2020-07-29,1.00
WV,1.56,2020-03-31,0.74,2020-05-04,1.17,2020-07-29,1.00
WY,1.57,2020-03-28,0.72,2020-05-01,0.99,2020-07-29,0.95
