combined_subregion,initial_r_0,post_mitigation_r,inflection_date,current_r,cur_date
Canada-Alberta,1.69,0.85,2020-03-22,1.06,2020-06-29
Canada-British Columbia,1.18,0.82,2020-03-23,1.03,2020-06-29
Canada-Ontario,1.66,0.86,2020-03-30,1.00,2020-06-29
Canada-Quebec,2.01,0.88,2020-03-29,1.00,2020-06-29
US-AZ-Maricopa,1.36,1.01,2020-03-21,1.07,2020-06-29
US-CA-Alameda,1.24,0.80,2020-03-23,1.09,2020-06-29
US-CA-Los Angeles,2.26,1.01,2020-03-15,1.09,2020-06-29
US-CA-Orange,1.39,1.05,2020-03-24,1.11,2020-06-29
US-CA-Riverside,1.53,0.97,2020-03-22,1.11,2020-06-29
US-CA-Sacramento,1.18,0.74,2020-03-24,1.06,2020-06-29
US-CA-San Bernardino,1.50,0.89,2020-03-23,1.09,2020-06-29
US-CA-San Diego,1.42,0.93,2020-03-22,1.08,2020-06-29
US-CA-Santa Clara,1.34,0.77,2020-03-09,1.05,2020-06-29
US-FL-Broward,1.42,0.87,2020-03-21,1.11,2020-06-29
US-FL-Hillsborough,1.34,1.03,2020-03-24,1.13,2020-06-29
US-FL-Miami-Dade,2.80,0.89,2020-03-14,1.12,2020-06-29
US-FL-Orange,1.39,0.81,2020-03-23,1.11,2020-06-29
US-FL-Palm Beach,1.83,0.91,2020-03-10,1.14,2020-06-29
US-IL-Cook,3.56,0.95,2020-03-13,0.99,2020-06-29
US-LA-Orleans,1.66,0.69,2020-03-12,0.91,2020-06-29
US-MA-Middlesex,2.26,0.84,2020-03-28,1.03,2020-06-29
US-MA-Suffolk,1.72,0.82,2020-03-30,1.00,2020-06-29
US-MI-Wayne,2.86,0.82,2020-03-09,1.00,2020-06-29
US-NJ-Bergen,2.86,0.85,2020-03-08,1.01,2020-06-29
US-NJ-Essex,3.75,0.82,2020-03-12,0.98,2020-06-29
US-NJ-Hudson,1.86,0.81,2020-03-24,0.96,2020-06-29
US-NV-Clark,1.54,0.87,2020-03-13,1.06,2020-06-29
US-NV-Washoe,2.77,0.82,2020-03-17,1.02,2020-06-29
US-NY-Nassau,3.99,0.77,2020-03-12,0.96,2020-06-29
US-NY-New York City,5.38,0.77,2020-03-08,0.96,2020-06-29
US-NY-Suffolk,3.33,0.83,2020-03-13,1.03,2020-06-29
US-NY-Westchester,4.39,0.71,2020-03-16,0.92,2020-06-29
US-PA-Philadelphia,3.79,0.87,2020-03-15,1.06,2020-06-29
US-TX-Bexar,1.26,0.86,2020-03-24,1.12,2020-06-29
US-TX-Dallas,1.63,0.99,2020-03-21,1.09,2020-06-29
US-TX-Harris,1.54,0.97,2020-03-22,1.13,2020-06-29
US-TX-Tarrant,1.52,0.95,2020-03-23,1.07,2020-06-29
US-WA-King,1.86,0.89,2020-03-05,1.07,2020-06-29
