combined_subregion,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Canada-Alberta,1.63,2020-03-22,0.85,2020-05-25,1.26,2020-08-14,0.99
Canada-British Columbia,1.14,2020-03-23,0.76,2020-05-19,1.02,2020-08-14,0.96
Canada-Ontario,1.83,2020-03-27,0.83,2020-06-01,1.00,2020-08-14,0.96
Canada-Quebec,2.02,2020-03-27,0.86,2020-06-01,0.96,2020-08-14,0.93
US-AZ-Maricopa,1.37,2020-03-21,1.00,2020-05-11,1.45,2020-08-14,0.91
US-CA-Alameda,1.28,2020-03-23,0.76,2020-06-01,1.22,2020-08-14,1.00
US-CA-Los Angeles,2.38,2020-03-12,1.00,2020-06-05,1.17,2020-08-14,0.95
US-CA-Orange,1.36,2020-03-24,1.02,2020-05-26,1.23,2020-08-14,0.98
US-CA-Riverside,1.60,2020-03-22,0.94,2020-05-23,1.27,2020-08-14,0.97
US-CA-Sacramento,1.21,2020-03-24,0.82,2020-05-23,1.37,2020-08-14,0.99
US-CA-San Bernardino,1.37,2020-03-23,0.90,2020-05-23,1.30,2020-08-14,0.98
US-CA-San Diego,1.39,2020-03-22,0.91,2020-05-23,1.19,2020-08-14,0.98
US-CA-Santa Clara,1.28,2020-03-09,0.68,2020-06-05,1.24,2020-08-14,1.00
US-FL-Broward,1.48,2020-03-21,0.82,2020-05-20,1.49,2020-08-14,0.93
US-FL-Hillsborough,1.34,2020-03-24,0.97,2020-05-15,1.41,2020-08-14,0.96
US-FL-Miami-Dade,2.78,2020-03-14,0.89,2020-05-20,1.39,2020-08-14,0.91
US-FL-Orange,1.28,2020-03-23,0.84,2020-05-15,1.50,2020-08-14,0.95
US-FL-Palm Beach,1.78,2020-03-10,0.89,2020-05-20,1.30,2020-08-14,0.96
US-IL-Cook,2.61,2020-03-18,0.94,2020-06-15,1.07,2020-08-14,0.95
US-LA-Orleans,1.82,2020-03-10,0.58,2020-05-15,1.07,2020-08-14,0.89
US-MA-Middlesex,2.30,2020-03-26,0.80,2020-06-06,1.07,2020-08-14,0.94
US-MA-Suffolk,1.90,2020-03-27,0.75,2020-06-06,1.17,2020-08-14,0.96
US-MI-Wayne,2.71,2020-03-11,0.73,2020-06-08,1.08,2020-08-14,0.94
US-NJ-Bergen,2.76,2020-03-09,0.85,2020-06-15,0.95,2020-08-14,0.87
US-NJ-Essex,3.79,2020-03-12,0.80,2020-06-15,0.96,2020-08-14,0.86
US-NJ-Hudson,1.77,2020-03-22,0.77,2020-06-15,0.97,2020-08-14,0.86
US-NV-Clark,1.62,2020-03-13,0.86,2020-05-15,1.46,2020-08-14,0.95
US-NV-Washoe,2.77,2020-03-17,0.85,2020-05-15,1.19,2020-08-14,0.98
US-NY-Nassau,4.02,2020-03-12,0.74,2020-06-01,0.95,2020-08-14,0.81
US-NY-New York City,5.52,2020-03-08,0.70,2020-06-08,1.06,2020-08-14,0.90
US-NY-Suffolk,3.42,2020-03-14,0.80,2020-06-01,0.96,2020-08-14,0.84
US-NY-Westchester,4.40,2020-03-16,0.71,2020-06-01,0.95,2020-08-14,0.81
US-PA-Philadelphia,3.78,2020-03-16,0.88,2020-06-15,1.01,2020-08-14,0.92
US-TX-Bexar,1.27,2020-03-24,0.90,2020-05-01,1.45,2020-08-14,0.96
US-TX-Dallas,1.57,2020-03-21,0.95,2020-05-01,1.35,2020-08-14,0.97
US-TX-Harris,1.54,2020-03-22,0.98,2020-05-01,1.41,2020-08-14,0.96
US-TX-Tarrant,1.49,2020-03-23,0.90,2020-05-01,1.37,2020-08-14,0.99
US-WA-King,1.85,2020-03-03,0.86,2020-06-08,1.12,2020-08-14,0.98
