country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Italy,,24114,44117,32060,71448,2020-03-27,919,1.7
France,,20292,43242,27900,82402,2020-04-15,1440,1.6
United Kingdom,,16550,39218,23968,80454,2020-04-10,981,1.8
Spain,,20852,31657,26212,47525,2020-04-02,961,2.2
Brazil,,2587,18788,8455,43201,2020-05-01,247,2.0
Germany,,4862,16440,7655,29631,2020-04-15,510,0.8
Belgium,,5828,12457,8098,23612,2020-04-10,496,2.2
Iran,,5209,9892,6915,15403,2020-04-04,158,1.6
Netherlands,,3764,9128,5177,16777,2020-04-07,234,2.3
Turkey,,2140,8920,4090,22332,2020-04-25,167,1.4
Canada,,1726,6975,3447,12847,2020-04-16,251,0.7
Sweden,,1580,5005,2717,11447,2020-04-15,170,2.1
Mexico,,686,3566,1544,7433,2020-04-19,104,1.8
Russia,,405,3503,1391,8183,2020-05-01,63,1.4
Portugal,,735,3387,1515,7024,2020-08-04,38,1.8
Switzerland,,1429,2777,1826,5601,2020-04-04,75,1.6
Ireland,,687,2567,1180,5817,2020-04-20,77,0.6
Romania,,478,2324,1070,5437,2020-04-19,30,1.0
India,,592,1872,974,4069,2020-04-09,48,1.1
Indonesia,,590,1709,866,3143,2020-04-14,60,3.2
Poland,,380,1385,621,3447,2020-04-08,30,0.9
Austria,,470,1172,669,2675,2020-04-08,30,1.1
Philippines,,428,1065,567,1922,2020-04-12,50,0.8
Denmark,,364,884,545,1770,2020-04-04,22,1.7
Hungary,,199,825,362,2099,2020-04-19,17,1.2
Czechia,,194,652,372,1179,2020-04-14,18,1.1
Norway,,181,548,278,1387,2020-04-20,16,0.5
Finland,,98,429,190,1102,2020-04-18,8,1.2
Greece,,116,293,183,495,2020-04-03,10,1.3
Slovenia,,77,217,111,491,2020-04-07,6,1.0
Croatia,,47,204,100,519,2020-04-19,8,
Lithuania,,37,179,85,386,2020-04-10,6,1.0
Luxembourg,,75,176,109,305,2020-04-11,8,1.5
Bulgaria,,43,171,89,407,2020-04-03,4,2.0
Estonia,,40,166,97,274,2020-04-02,6,
Slovakia,,13,75,28,193,2020-04-15,4,1.0
Cyprus,,12,46,31,83,2020-03-30,2,
Latvia,,5,40,28,60,2020-04-12,2,
Malta,,3,25,13,54,2020-04-11,1,
