date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper
2020-07-13,,,24,2,135,11882,8079,19990
2020-07-14,,,24,1,137,11906,8080,20127
2020-07-15,,,24,1,139,11930,8081,20267
2020-07-16,,,24,1,142,11954,8083,20408
2020-07-17,,,24,1,144,11979,8084,20553
2020-07-18,,,25,1,147,12003,8085,20699
2020-07-19,,,25,1,149,12028,8086,20849
2020-07-20,,,25,1,152,12053,8087,21001
2020-07-21,,,25,1,156,12078,8088,21157
2020-07-22,,,25,1,157,12103,8089,21314
2020-07-23,,,26,1,160,12129,8090,21474
2020-07-24,,,26,1,163,12155,8091,21637
2020-07-25,,,26,1,166,12181,8092,21804
2020-07-26,,,26,1,169,12207,8093,21972
2020-07-27,,,27,1,171,12234,8094,22143
2020-07-28,,,27,1,174,12260,8094,22318
2020-07-29,,,27,1,177,12288,8095,22495
2020-07-30,,,27,1,180,12315,8096,22674
2020-07-31,,,28,1,182,12343,8096,22857
2020-08-01,,,28,1,185,12371,8097,23042
2020-08-02,,,28,1,187,12399,8097,23229
2020-08-03,,,29,1,190,12428,8098,23419
2020-08-04,,,29,0,193,12457,8098,23612
