country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
Argentina,,,1647.08198971,1432,2210
India,,,1086.19110586,639,1491
Brazil,,,710.06641554,445,1204
Mexico,,,411.771998736,291,606
Iran,,,188.14983559,121,287
Colombia,,,178.149840346,109,292
Spain,,,154.639631038,65,403
Russia,,,138.361841608,97,305
Indonesia,,,113.19971254,76,190
Peru,,,101.33918288,25,200
South Africa,,,82.718959228,28,180
Turkey,,,66.9730436014,15,122
France,,,64.888168533,1,311
Ukraine,,,62.358566541,38,86
Philippines,,,58.7583428097,31,95
Chile,,,51.8566324882,8,145
United Kingdom,,,45.1046471442,1,141
Romania,,,38.4000232366,25,55
Morocco,,,37.4214443884,21,56
Israel,,,34.589036462,18,59
Bolivia,,,34.573450838,16,60
Ecuador,,,33.6810983229,3,78
Bangladesh,,,28.9937746113,16,55
Saudi Arabia,,,27.2535503493,9,47
Poland,,,24.3706144368,12,39
Italy,,,20.4140729844,0,95
Honduras,,,18.6411690224,7,35
Czechia,,,16.9626971773,11,24
Egypt,,,16.0705035849,2,44
Netherlands,,,14.677312881,1,38
Moldova,,,11.5817616647,6,18
Panama,,,11.4076474415,4,22
Germany,,,11.2314666004,0,41
Canada,,,11.0291957755,1,31
Hungary,,,9.81187937768,6,14
Belgium,,,8.71894508504,0,35
Pakistan,,,8.1547133081,1,21
Japan,,,6.54839646695,2,12
Portugal,,,6.41399390292,1,12
Bulgaria,,,6.09085962126,3,9
Dominican Republic,,,5.61268882789,1,11
Belarus,,,5.44330659686,2,11
Algeria,,,5.11384328882,1,12
Greece,,,4.38040265148,2,7
Australia,,,3.55297972333,1,7
Austria,,,3.20768072996,0,7
Croatia,,,2.93496564389,1,6
South Korea,,,2.78214516416,0,6
Kuwait,,,2.66749445979,0,6
Nigeria,,,2.64514043618,0,8
Sweden,,,2.53606237832,0,9
Switzerland,,,2.43859031733,0,7
United Arab Emirates,,,2.05965123033,0,5
Ireland,,,1.49703566467,0,6
Denmark,,,1.23352056003,0,3
Malta,,,1.12790341734,0,2
Slovenia,,,1.02164696726,0,2
Slovakia,,,0.900446377146,0,2
Serbia,,,0.739773044893,0,2
Norway,,,0.729176006915,0,2
Cuba,,,0.657003972155,0,2
Malaysia,,,0.538338649947,0,2
Finland,,,0.507646138638,0,1
Lithuania,,,0.471005965285,0,1
China,,,0.352329588477,0,3
Luxembourg,,,0.244085910963,0,1
Estonia,,,0.208397252879,0,1
Latvia,,,0.150829577132,0,1
Cyprus,,,0.0588128066016,0,1
Iceland,,,0.0374811061625,0,1
