country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,639,426,871
France,,526,299,863
Italy,,416,279,584
Spain,,342,232,491
Brazil,,294,222,362
Germany,,204,137,251
Belgium,,203,134,290
Turkey,,136,87,227
Canada,,131,83,182
Netherlands,,112,68,154
Sweden,,106,78,137
Ireland,,104,85,143
Mexico,,102,71,146
Iran,,86,53,126
Russia,,54,39,73
India,,40,21,60
Switzerland,,34,21,50
Portugal,,29,20,37
Romania,,21,16,27
Indonesia,,21,12,32
Poland,,19,12,28
Hungary,,13,8,19
Austria,,13,7,20
Philippines,,11,4,19
Denmark,,9,5,13
Finland,,9,5,13
Czechia,,6,4,8
Norway,,5,3,9
Greece,,3,1,4
Bulgaria,,2,1,4
Croatia,,2,1,4
Slovenia,,2,1,4
Luxembourg,,2,1,3
Estonia,,1,1,2
Lithuania,,1,0,2
Slovakia,,1,0,2
Latvia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
