country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
US,NY,New York City,23485,24397,23557,27214,2020-04-07,814,83.5,2020-11-01
US,CA,Los Angeles,4360,8241,5423,11570,2020-04-18,79,5.7,2020-11-01
Canada,,Quebec,5667,5954,5706,6677,2020-05-31,202,123.4,2020-11-01
US,IL,Cook,4830,5818,4986,7326,2020-05-13,140,83.7,2020-11-01
US,AZ,Maricopa,1808,4569,3334,5815,2020-07-15,79,3.3,2020-11-01
US,MI,Wayne,2782,3058,2849,3572,2020-04-22,173,,2020-11-01
Canada,,Ontario,2806,3054,2827,3687,2020-05-04,120,16.1,2020-11-01
US,FL,Miami-Dade,1388,2727,1991,3623,2020-07-16,44,2.2,2020-11-01
US,NV,Clark,601,2376,1450,3571,2020-07-21,26,,2020-11-01
US,MA,Middlesex,1957,2244,2004,2770,2020-04-25,201,22.5,2020-11-01
US,NY,Nassau,2193,2223,2200,2325,2020-04-07,338,,2020-11-01
US,NJ,Essex,2103,2189,2130,2339,2020-06-25,247,23.6,2020-11-01
US,NJ,Bergen,2044,2156,2073,2345,2020-06-25,265,,2020-11-01
US,TX,Harris,645,2148,1245,3265,2020-07-25,22,2.0,2020-11-01
US,NY,Suffolk,1996,2044,2005,2153,2020-05-06,226,,2020-11-01
US,PA,Philadelphia,1676,1873,1713,2281,2020-05-01,97,,2020-11-01
US,CA,Orange,564,1814,948,2883,2020-07-09,26,7.1,2020-11-01
US,FL,Broward,605,1767,1138,2434,2020-07-25,34,0.6,2020-11-01
US,CA,San Diego,533,1707,1014,2773,2020-04-22,24,1.5,2020-11-01
US,FL,Palm Beach,755,1699,1224,2305,2020-07-17,21,4.3,2020-11-01
US,TX,Dallas,605,1583,1032,2218,2020-07-22,30,12.2,2020-11-01
US,NJ,Hudson,1501,1574,1523,1695,2020-04-19,178,11.8,2020-11-01
US,CA,Riverside,637,1572,954,2432,2020-07-22,28,,2020-11-01
US,NY,Westchester,1443,1472,1450,1552,2020-04-06,144,,2020-11-01
US,TX,Bexar,322,1285,768,1884,2020-07-16,28,,2020-11-01
US,MA,Suffolk,1048,1150,1065,1377,2020-04-25,106,13.6,2020-11-01
US,CA,San Bernardino,383,1123,711,1716,2020-07-23,21,0.7,2020-11-01
US,TX,Tarrant,344,920,555,1399,2020-07-25,15,,2020-11-01
US,WA,King,644,898,690,1368,2020-03-28,27,,2020-11-01
US,FL,Hillsborough,295,893,537,1312,2020-07-16,40,0.5,2020-11-01
US,FL,Orange,173,813,458,1244,2020-07-23,18,,2020-11-01
US,LA,Orleans,552,605,568,665,2020-04-14,32,3.4,2020-11-01
US,CA,Alameda,178,481,275,847,2020-04-15,13,,2020-11-01
Canada,,Alberta,178,458,233,944,2020-05-04,9,,2020-11-01
US,CA,Sacramento,108,356,170,752,2020-04-09,11,0.7,2020-11-01
US,CA,Santa Clara,184,308,211,487,2020-07-14,13,,2020-11-01
US,NV,Washoe,107,258,160,395,2020-05-25,6,0.8,2020-11-01
Canada,,British Columbia,191,251,200,395,2020-04-13,11,,2020-11-01
