country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,1101,659,1378
United Kingdom,,684,421,899
Spain,,632,423,993
Italy,,488,353,649
Belgium,,302,206,383
Germany,,207,136,253
Netherlands,,161,96,217
Brazil,,128,109,145
Iran,,113,74,151
Sweden,,93,72,122
Turkey,,82,48,106
Canada,,60,44,78
Switzerland,,52,31,70
Ireland,,31,21,39
Mexico,,30,24,33
Portugal,,26,19,34
Romania,,25,18,31
India,,25,16,38
Bulgaria,,21,12,37
Greece,,21,12,37
Poland,,19,12,30
Austria,,18,12,25
Philippines,,18,8,32
Denmark,,15,11,20
Hungary,,14,8,22
Indonesia,,11,6,16
Czechia,,9,8,12
Croatia,,9,6,13
Finland,,7,5,10
Slovenia,,6,3,9
Luxembourg,,4,3,6
Estonia,,4,2,4
Lithuania,,3,2,5
Cyprus,,3,2,4
Slovakia,,1,1,2
Latvia,,1,1,1
Malta,,0,0,0
