country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
France,,10343,28380,15122,51498,2020-04-07,1417,0.8
Italy,,17127,21170,19277,24299,2020-03-27,919,1.4
Spain,,14045,20585,16626,36742,2020-04-02,961,1.2
Brazil,,686,19738,5425,65522,2020-04-26,680,5.6
United Kingdom,,6171,15951,9136,40526,2020-04-07,786,0.9
Belgium,,2035,8687,5197,14501,2020-04-07,403,1.0
Mexico,,125,6438,1356,21562,2020-04-27,219,7.1
Iran,,3872,5994,4500,7289,2020-04-04,158,1.1
Germany,,2016,5802,3244,12782,2020-04-06,226,1.0
Netherlands,,2108,5291,2879,9919,2020-04-07,234,0.7
Sweden,,591,4644,1655,10630,2020-04-19,176,1.5
Turkey,,725,2509,1219,6794,2020-04-09,83,1.1
Canada,,375,2105,772,4870,2020-04-06,80,1.9
India,,150,1964,619,5622,2020-04-24,62,4.4
Switzerland,,821,1703,1022,3011,2020-04-04,75,1.0
Ireland,,210,1437,498,3572,2020-04-18,50,1.4
Romania,,197,1308,543,3488,2020-04-18,37,1.8
Portugal,,345,1108,598,1817,2020-04-03,37,0.8
Greece,,81,1032,254,3733,2020-04-20,34,17.0
Bulgaria,,23,923,196,3675,2020-04-19,32,32.0
Poland,,129,816,293,2083,2020-04-16,27,1.2
Hungary,,47,764,172,2357,2020-04-20,25,2.8
Austria,,243,611,328,1296,2020-04-07,23,0.8
Denmark,,203,530,279,978,2020-04-04,22,1.0
Croatia,,18,500,108,1468,2020-04-21,16,8.0
Philippines,,177,494,229,1134,2020-04-03,29,1.3
Czechia,,88,476,270,753,2020-04-06,11,0.9
Finland,,34,424,111,1128,2020-04-21,14,2.0
Indonesia,,221,400,260,696,2020-04-01,21,1.0
Estonia,,21,315,55,1158,2020-04-23,11,5.5
Lithuania,,15,192,43,544,2020-04-21,7,
Cyprus,,9,168,35,485,2020-04-21,6,
Slovenia,,36,167,58,408,2020-04-12,6,1.0
Luxembourg,,44,160,62,416,2020-04-01,6,1.7
Latvia,,2,118,32,300,2020-04-22,4,4.0
Slovakia,,2,107,35,255,2020-04-20,3,
Malta,,0,0,0,0,2020-05-08,0,
