country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
India,,,1083.05392656,632,1471
Brazil,,,708.139250523,444,1195
Mexico,,,416.060631479,296,603
Argentina,,,360.71602926,216,590
Iran,,,184.200290386,112,286
Colombia,,,175.465175434,85,291
Russia,,,133.779843419,94,293
Indonesia,,,113.41306908,76,190
Peru,,,106.973946137,26,208
Spain,,,100.453576124,1,387
South Africa,,,76.2165279574,27,162
Turkey,,,67.3997984724,16,122
France,,,66.1257158737,1,332
Ukraine,,,61.369383776,38,85
Philippines,,,58.1629124593,31,93
Chile,,,47.4299594408,7,135
United Kingdom,,,41.5388642199,1,127
Romania,,,38.7599330253,25,55
Morocco,,,37.5683386562,21,56
Bolivia,,,34.4442021616,17,59
Israel,,,31.9113347803,17,54
Bangladesh,,,30.0761143379,17,58
Ecuador,,,27.907770187,2,65
Saudi Arabia,,,27.5131240604,9,47
Poland,,,23.2075728637,12,38
Italy,,,19.8081015845,0,93
Honduras,,,17.4980606292,6,33
Egypt,,,16.0842759357,2,44
Czechia,,,15.5707319851,10,23
Netherlands,,,14.7839388954,1,40
Panama,,,11.0049448176,4,21
Moldova,,,10.9373942683,6,17
Germany,,,10.2980006548,0,39
Canada,,,10.124796432,1,28
Hungary,,,8.73196721587,5,13
Belgium,,,8.47132801499,0,33
Pakistan,,,7.15457156687,1,18
Bulgaria,,,6.79196742994,4,10
Japan,,,6.74001797089,2,13
Portugal,,,6.40684728621,1,12
Dominican Republic,,,5.7761063644,2,11
Belarus,,,5.31405128398,2,10
Algeria,,,5.30272714785,1,12
Greece,,,4.92204041635,3,8
Australia,,,3.77434550592,1,8
Austria,,,3.23059382255,0,7
South Korea,,,3.04472051948,0,7
Croatia,,,2.88431110723,1,6
Sweden,,,2.83085959425,0,11
Kuwait,,,2.76093310032,0,6
Switzerland,,,2.69648657397,0,7
Nigeria,,,2.379040911,0,7
United Arab Emirates,,,1.92005333643,0,5
Ireland,,,1.43298532703,0,6
Malta,,,1.23193568451,0,3
Denmark,,,1.21794196374,0,3
Slovakia,,,0.992882408539,0,2
Slovenia,,,0.873650090538,0,2
Norway,,,0.816533672297,0,2
Serbia,,,0.72528110602,0,2
Cuba,,,0.66491273254,0,2
Malaysia,,,0.601595596591,0,2
Lithuania,,,0.539696313516,0,1
Finland,,,0.499912608052,0,1
China,,,0.348181364603,0,3
Luxembourg,,,0.22397355898,0,1
Estonia,,,0.193083648892,0,1
Latvia,,,0.151727510488,0,1
Cyprus,,,0.0590302049379,0,1
Iceland,,,0.0369861428995,0,1
