country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,1473,930,2105
US,NY,208,119,352
US,NJ,166,95,241
US,MA,121,78,171
US,IL,117,88,140
US,PA,110,76,146
US,CA,76,43,109
US,CT,59,35,89
US,MI,57,36,84
US,MD,50,31,67
US,OH,41,28,52
US,IN,41,27,55
US,FL,41,23,57
US,TX,37,26,48
US,CO,31,21,42
US,LA,31,19,44
US,GA,27,16,39
US,VA,26,16,36
US,AZ,24,18,33
US,MN,22,15,29
US,NC,18,12,24
US,MO,15,11,20
US,AL,14,10,18
US,MS,14,10,18
US,IA,13,11,17
US,RI,11,8,15
US,WA,11,6,19
US,DE,10,7,12
US,DC,9,6,13
US,NM,9,6,12
US,WI,8,5,12
US,SC,8,5,11
US,NH,6,4,9
US,NV,6,4,9
US,TN,6,3,8
US,KY,5,2,7
US,NE,4,3,6
US,KS,3,1,5
US,OK,3,1,5
US,OR,2,1,3
US,PR,2,1,3
US,UT,2,1,3
US,WV,2,1,3
US,AR,2,1,2
US,SD,2,0,3
US,ID,1,0,2
US,ME,1,0,2
US,ND,1,0,2
US,AK,0,0,1
US,GU,0,0,1
US,HI,0,0,1
US,MP,0,0,1
US,MT,0,0,1
US,VI,0,0,1
US,VT,0,0,1
US,WY,0,0,1
US,AS,,,
