country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,1695,1144,2336
US,NY,344,218,515
US,NJ,221,152,297
US,MA,155,117,201
US,MI,111,76,145
US,PA,102,69,139
US,IL,90,65,111
US,CT,79,54,103
US,CA,69,45,95
US,MD,52,37,69
US,LA,45,30,61
US,FL,39,24,55
US,OH,37,27,51
US,IN,37,26,50
US,GA,32,22,43
US,TX,28,19,37
US,CO,26,18,35
US,VA,25,16,34
US,MN,20,13,27
US,NC,16,12,22
US,WA,13,7,21
US,MO,12,8,16
US,RI,11,8,15
US,AZ,10,7,14
US,AL,10,7,13
US,DC,10,7,13
US,MS,10,6,13
US,SC,9,6,13
US,IA,8,6,11
US,DE,7,5,10
US,NV,7,5,10
US,WI,7,4,11
US,KY,7,4,10
US,OK,7,4,9
US,NM,6,4,9
US,TN,4,3,6
US,KS,4,2,6
US,NE,3,2,5
US,NH,3,2,5
US,AR,3,2,4
US,OR,3,1,4
US,PR,2,1,4
US,ME,2,1,3
US,UT,2,1,3
US,WV,2,1,3
US,ID,1,0,2
US,ND,1,0,2
US,SD,1,0,2
US,VT,1,0,2
US,HI,1,0,1
US,AK,0,0,1
US,GU,0,0,1
US,MP,0,0,1
US,MT,0,0,1
US,VI,0,0,1
US,WY,0,0,1
US,AS,,,
