country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,14962,170577,41439,366182,2020-08-04,3357,3.5
United Kingdom,,34078,51296,39256,74485,2020-04-29,4421,2.1
Mexico,,4767,50227,12069,108983,2020-07-28,1053,3.6
Italy,,31610,39285,34565,48173,2020-03-27,919,3.2
India,,2753,38128,7418,143616,2020-08-04,754,7.2
France,,27532,33337,29144,48509,2020-04-15,1440,8.4
Spain,,27459,32077,29099,38425,2020-04-02,961,6.1
Russia,,2418,24763,5551,83907,2020-07-22,408,3.6
Canada,,5679,16587,8885,28162,2020-04-16,251,1.8
Germany,,7897,11232,8712,16978,2020-04-15,510,17.5
Iran,,6902,10994,7739,17348,2020-04-04,158,3.0
Belgium,,8959,10430,9332,12834,2020-04-10,496,5.6
Peru,,2392,9228,3589,17201,2020-05-15,125,0.8
Sweden,,3646,8298,5876,14223,2020-04-21,185,0.7
Ecuador,,2594,8284,3736,16110,2020-05-10,410,0.4
Netherlands,,5662,7716,6270,11253,2020-04-07,234,2.9
Turkey,,4055,5611,4637,8399,2020-04-19,127,2.5
Colombia,,546,5448,1953,12109,2020-08-04,98,4.7
Pakistan,,834,5189,1329,12652,2020-08-04,80,1.2
Ukraine,,476,4875,1634,9669,2020-08-03,88,4.4
China,,4637,4642,4637,4669,2020-04-17,1290,
South Africa,,247,4384,1523,9661,2020-08-04,89,9.9
Egypt,,592,3089,982,9964,2020-08-02,47,2.2
Romania,,1070,3044,1903,4942,2020-05-08,35,1.6
Bangladesh,,298,2758,772,7519,2020-08-04,50,3.3
Poland,,907,2701,1367,5330,2020-04-24,40,1.1
Chile,,394,2646,1042,5359,2020-08-02,41,1.6
Japan,,713,2627,942,5575,2020-05-04,49,2.2
Argentina,,356,2455,751,6498,2020-08-04,53,17.7
Saudi Arabia,,292,2448,918,6018,2020-08-03,42,4.7
Switzerland,,1878,2193,1978,2743,2020-04-04,75,9.8
Philippines,,806,2126,1024,4011,2020-04-12,50,1.6
Indonesia,,1076,2090,1345,3723,2020-04-14,60,0.7
Ireland,,1518,2010,1649,3247,2020-04-24,220,4.3
Portugal,,1190,1874,1473,2674,2020-04-03,37,5.2
Moldova,,202,1434,564,3234,2020-07-15,21,2.6
Dominican Republic,,424,856,539,1516,2020-04-12,38,5.0
Hungary,,442,825,525,1598,2020-04-24,23,2.2
Panama,,266,807,374,1824,2020-04-29,11,1.3
Austria,,628,785,689,971,2020-04-08,30,10.0
Denmark,,537,746,628,989,2020-04-04,22,
Nigeria,,171,675,288,1680,2020-05-02,17,1.8
Algeria,,536,643,568,863,2020-04-09,30,2.7
Finland,,293,609,366,1140,2020-04-21,43,1.3
Serbia,,225,432,308,702,2020-04-30,54,5.0
Czechia,,295,411,363,487,2020-04-14,18,4.5
Bulgaria,,102,364,203,661,2020-04-29,6,1.3
Israel,,266,355,301,438,2020-04-18,13,9.0
South Korea,,262,327,289,387,2020-03-02,11,3.0
Norway,,232,288,254,348,2020-04-20,16,
Morocco,,190,225,207,256,2020-03-27,12,
Greece,,160,218,188,262,2020-04-03,10,1.0
Croatia,,95,206,130,354,2020-04-19,8,2.0
Malaysia,,112,151,130,172,2020-03-29,8,
Luxembourg,,104,133,118,154,2020-04-11,8,3.0
Slovenia,,103,132,113,166,2020-04-07,6,
Estonia,,63,97,85,112,2020-04-02,6,2.0
Lithuania,,54,80,67,96,2020-04-10,6,
Slovakia,,27,39,31,49,2020-04-15,4,
Latvia,,19,36,34,40,2020-04-21,4,
Cyprus,,17,24,23,27,2020-03-30,2,
Iceland,,10,13,12,15,2020-04-06,2,
Malta,,6,10,9,11,2020-05-13,1,
