country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,7051,71523,19963,201663,2020-08-04,801,2.8
United Kingdom,,28520,54488,34598,110010,2020-04-29,4421,2.6
Italy,,28884,42777,33068,65025,2020-03-27,919,4.4
France,,24900,37741,27377,80856,2020-04-15,1440,6.1
Spain,,25264,32812,27616,45275,2020-04-02,961,5.1
Germany,,6866,16167,8797,38176,2020-04-15,510,4.0
Canada,,3795,12675,6212,18875,2020-04-16,251,1.3
Belgium,,7844,11185,9007,18267,2020-04-10,496,3.8
Netherlands,,5072,9565,6241,17309,2020-04-07,234,2.1
Iran,,6203,9357,7228,12671,2020-04-04,158,3.0
Russia,,1280,8721,3871,20496,2020-05-13,124,2.1
Mexico,,2154,8184,4191,15559,2020-04-23,212,1.2
Sweden,,2679,8139,4349,21257,2020-04-21,185,8.6
India,,1391,6787,3197,13447,2020-05-02,100,1.3
Turkey,,3397,5836,4307,11227,2020-04-19,127,2.0
Romania,,790,3184,1730,6203,2020-04-25,34,1.5
Ireland,,1303,3144,1691,7769,2020-04-24,220,2.9
Poland,,678,2706,1019,6024,2020-04-24,40,1.9
Portugal,,1043,2534,1646,4376,2020-04-03,37,1.4
Switzerland,,1762,2533,2015,3998,2020-04-04,75,
Indonesia,,845,1930,1076,3941,2020-04-14,60,1.7
Philippines,,607,1479,736,2742,2020-04-12,50,3.8
Austria,,598,974,714,1548,2020-04-08,30,9.5
Finland,,230,933,330,2193,2020-04-21,43,0.9
Hungary,,340,879,449,2222,2020-04-24,23,2.6
Denmark,,484,823,615,1264,2020-04-04,22,1.7
Czechia,,248,411,351,520,2020-04-14,18,3.0
Croatia,,79,380,166,834,2020-04-19,8,2.0
Norway,,211,360,263,629,2020-04-20,16,
Bulgaria,,73,290,129,663,2020-04-29,6,3.0
Greece,,144,232,182,323,2020-04-03,10,4.0
Slovenia,,96,151,114,237,2020-04-07,6,1.5
Luxembourg,,96,149,117,195,2020-04-11,8,0.8
Estonia,,55,110,90,127,2020-04-02,6,1.0
Lithuania,,46,88,66,114,2020-04-10,6,
Latvia,,16,56,42,72,2020-04-21,4,
Slovakia,,24,49,32,83,2020-04-15,4,
Cyprus,,15,26,20,32,2020-03-30,2,
Malta,,4,11,9,12,2020-04-25,1,
