country,region,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
US,,38030,18007,67469,2020-04-09,1854,1.71
Italy,,22149,20005,25601,2020-03-29,826,1.09
US,NY,10832,6452,18020,2020-04-07,669,1.55
US,NJ,6016,2283,12167,2020-04-10,368,2.02
US,MI,3925,1525,7857,2020-04-10,189,2.36
US,MA,2385,892,4752,2020-04-12,117,3.66
US,LA,1487,855,2432,2020-04-07,56,1.51
US,CT,1468,456,3069,2020-04-12,72,2.67
US,GA,1038,481,1908,2020-04-10,50,2.08
US,FL,862,452,1485,2020-04-10,42,1.02
US,AL,728,359,1219,2020-04-11,28,4.67
US,OH,699,290,1293,2020-04-09,29,1.81
US,IL,645,427,936,2020-04-05,30,1.88
US,PA,642,378,984,2020-04-09,26,1.62
US,IN,574,265,1025,2020-04-11,28,2.15
US,TX,552,239,1008,2020-04-11,27,2.25
US,CA,540,356,790,2020-04-02,23,0.719
US,WA,445,302,652,2020-03-30,27,1.17
US,CO,411,214,677,2020-04-07,18,1.64
US,NV,302,141,500,2020-04-09,14,1.17
US,MD,302,111,557,2020-04-08,14,2.8
US,NC,292,75,531,2020-04-09,10,1.67
US,TN,270,115,459,2020-04-09,11,1.38
US,WI,210,91,337,2020-04-08,9,1.29
US,OK,208,85,335,2020-04-07,9,2.25
US,RI,204,102,244,2020-04-08,5,2.5
US,AZ,196,75,325,2020-04-07,8,2.67
US,VA,192,98,277,2020-04-06,8,1.14
US,KS,177,81,268,2020-04-06,9,3
US,SC,170,83,244,2020-04-05,7,1.4
US,KY,159,72,233,2020-04-05,7,2.33
US,OR,158,71,232,2020-04-05,7,7
US,MS,136,59,188,2020-04-06,5,1.25
US,MO,130,53,185,2020-04-05,5,5
US,VT,130,51,185,2020-04-05,5,5
US,PR,122,39,186,2020-04-08,5,5
US,MN,118,48,161,2020-04-05,4,4
US,ND,116,39,129,2020-04-04,2,
US,DC,110,33,162,2020-04-04,4,4
US,IA,105,36,140,2020-04-09,4,2
US,ID,103,34,138,2020-04-09,4,
US,UT,97,29,135,2020-04-07,4,
US,AR,93,29,122,2020-04-06,3,1.5
US,NH,85,21,114,2020-04-06,3,
US,DE,83,23,103,2020-04-04,2,2
US,NM,82,18,107,2020-04-09,3,3
US,ME,77,20,95,2020-04-05,2,
US,NE,75,18,93,2020-04-05,2,2
US,SD,68,16,81,2020-03-28,2,
US,MT,62,5,72,2020-03-29,1,
US,WV,60,2,76,2020-03-31,1,1
US,HI,60,1,71,2020-04-02,1,
US,GU,23,3,51,2020-04-09,2,
US,AK,5,3,14,2020-04-07,1,
US,MP,1,1,45,2020-03-08,0,0
US,AS,0,0,0,2020-03-09,0,
US,VI,0,0,0,2020-03-09,0,
US,WY,0,0,0,2020-03-09,0,
